regime_signal,regime_column,regime_bucket,threshold,population,observations,mean_sweep_p,realised_sweep_rate_500ms,p_next_move_follows_sweep,markout_500ms_observed,markout_500ms_mean_ticks,markout_500ms_median_ticks,markout_500ms_mean_bps,markout_500ms_frac_favourable
depth_event_intensity,depth_event_count_1000ms,1,,all,4258,0.3409932166,0.3414748708,0.5,4258,0,0,0,0.2618600282
depth_event_intensity,depth_event_count_1000ms,1,0.3,score_at_or_above,1968,0.6311058392,0.6087398374,0.5619918699,1968,5.831554878,0,0.08694614604,0.4613821138
depth_event_intensity,depth_event_count_1000ms,1,0.5,score_at_or_above,1346,0.7391703239,0.6827637444,0.5787518574,1346,5.921619614,1,0.08819931493,0.5044576523
depth_event_intensity,depth_event_count_1000ms,1,0.7,score_at_or_above,746,0.8513630017,0.7908847185,0.6313672922,746,-1.927613941,16.5,-0.02424900088,0.5335120643
depth_event_intensity,depth_event_count_1000ms,1,0.9,score_at_or_above,267,0.9493827276,0.9288389513,0.6554307116,267,-8.698501873,29,-0.1211578984,0.5617977528
spread_state,spread_ticks,0,,all,4285294,0.1032099024,0.1032323541,0.5,4285236,0,0,0,0.0931857662
spread_state,spread_ticks,0,0.3,score_at_or_above,433209,0.5543339727,0.5215254566,0.722195511,433208,16.75627758,0,0.2402281032,0.4640519104
spread_state,spread_ticks,0,0.5,score_at_or_above,205444,0.7406752159,0.7103152197,0.7928966992,205444,28.14240864,19,0.4037782513,0.6261122252
spread_state,spread_ticks,0,0.7,score_at_or_above,102708,0.8965220697,0.887603692,0.8797775354,102708,43.68666511,36,0.628202696,0.78248043
spread_state,spread_ticks,0,0.9,score_at_or_above,62716,0.9624432816,0.9720804898,0.9480968858,62716,56.40374067,44,0.8106235321,0.8751355316
