threshold,measure,population,crossings,resolved,resolution_rate,p10_ms,p25_ms,p50_ms,p75_ms,p90_ms,mean_ms,frac_le_0ms,frac_0_25ms,frac_25_50ms,frac_50_100ms,frac_100_250ms,frac_250_500ms,frac_gt_500ms
0.7,lead_to_same_direction_move_ms,threatened_bid_downward,46406,46242,0.9964659742,9.062811,23.0163815,50.1443345,93.07451775,700.9796487,12673.18785,0,0.2712036677,0.2274771852,0.2772803944,0.06857402361,0.0394446607,0.1160200683
0.7,lead_to_consumption_ms,all,91941,82222,0.8942909039,-69.9277824,-48.364736,-23.769728,-3.898944,51.1294208,36.95560986,0.8022791953,0.06158935565,0.03486901316,0.03219333025,0.02780277785,0.01534869013,0.02591763762
0.7,lead_to_consumption_ms,consumed,82222,82222,1,-69.9277824,-48.364736,-23.769728,-3.898944,51.1294208,36.95560986,0.8022791953,0.06158935565,0.03486901316,0.03219333025,0.02780277785,0.01534869013,0.02591763762
0.7,lead_to_consumption_ms,not_consumed,9719,0,0,,,,,,,,,,,,,
0.7,lead_to_consumption_ms,threatened_ask_upward,45535,40835,0.8967826946,-70.3190016,-48.896,-24.414464,-4.66432,45.8245632,34.93155616,0.8121709318,0.05857720093,0.03369658381,0.03166401371,0.02441532999,0.01400759153,0.02546834823
0.7,lead_to_consumption_ms,threatened_bid_downward,46406,41387,0.891845882,-69.4872064,-47.78688,-23.050496,-3.111552,56.5372416,38.95266771,0.7925193901,0.06456133569,0.0360258052,0.03271558702,0.03114504555,0.0166719018,0.02636093459
0.9,lead_to_same_direction_move_ms,all,61349,61304,0.9992664917,6.3285418,16.35162975,34.7983605,60.11948175,85.5170197,6226.917387,0,0.3750815607,0.2880073078,0.2700965679,0.02162990996,0.01003197181,0.03515268172
0.9,lead_to_same_direction_move_ms,consumed,60764,60721,0.9992923442,6.291505,16.237031,34.579898,59.497143,84.695715,6145.771604,0,0.3777276395,0.2891421419,0.2677656824,0.02108002174,0.009815385122,0.0344691293
0.9,lead_to_same_direction_move_ms,not_consumed,585,583,0.9965811966,25.3880218,46.67079,74.477159,97.4986885,635.7424714,14678.46648,0,0.09948542024,0.1698113208,0.512864494,0.07890222985,0.03259005146,0.1063464837
0.9,lead_to_same_direction_move_ms,threatened_ask_upward,30788,30783,0.9998375991,6.416426,16.5728645,35.067145,60.5877595,86.4006514,8331.855824,0,0.3723483741,0.2847025956,0.2724880616,0.02270733847,0.01046031901,0.03729331124
0.9,lead_to_same_direction_move_ms,threatened_bid_downward,30561,30521,0.9986911423,6.170766,16.044998,34.584737,59.43546,84.568034,4103.909625,0,0.3778382098,0.2913403886,0.2676845451,0.02054323253,0.009599947577,0.03299367649
0.9,lead_to_consumption_ms,all,61349,60764,0.9904643922,-73.5237376,-54.043456,-31.980416,-14.369088,-4.8021248,-49.31812972,0.9775360411,0.01211243499,0.005381475874,0.003439536568,0.0007076558489,0.0001974853532,0.000625370285
0.9,lead_to_consumption_ms,consumed,60764,60764,1,-73.5237376,-54.043456,-31.980416,-14.369088,-4.8021248,-49.31812972,0.9775360411,0.01211243499,0.005381475874,0.003439536568,0.0007076558489,0.0001974853532,0.000625370285
0.9,lead_to_consumption_ms,not_consumed,585,0,0,,,,,,,,,,,,,
0.9,lead_to_consumption_ms,threatened_ask_upward,30788,30497,0.9905482656,-73.4501888,-54.207744,-32.283648,-14.622464,-4.9103872,-55.11601804,0.978325737,0.01183722989,0.005016886907,0.003606912155,0.0006230120996,0.0001639505525,0.0004262714365
0.9,lead_to_consumption_ms,threatened_bid_downward,30561,30267,0.9903798959,-73.5745024,-53.932416,-31.667456,-14.147456,-4.6766592,-43.47618305,0.9767403443,0.01238973139,0.005748835365,0.003270889087,0.000792942809,0.000231274986,0.0008259820927
