grouping,threshold,population,horizon_ms,observations,gross_directional_bps,gross_directional_ticks,one_way_hurdle_bps,net_of_one_way_hurdle_bps,net_of_round_trip_hurdle_bps,clears_one_way,clears_round_trip,decile
decile,,,1000,428529,-0.07872220077,-5.538625347,5,-5.078722201,-10.0787222,False,False,4
decile,,,1000,428529,-0.07872220077,-5.538625347,7.5,-7.578722201,-15.0787222,False,False,4
decile,,,1000,428529,-0.07872220077,-5.538625347,10,-10.0787222,-20.0787222,False,False,4
decile,,,1000,428529,-0.07746764788,-5.537528354,1,-1.077467648,-2.077467648,False,False,5
decile,,,1000,428529,-0.07746764788,-5.537528354,2,-2.077467648,-4.077467648,False,False,5
decile,,,1000,428529,-0.07746764788,-5.537528354,3,-3.077467648,-6.077467648,False,False,5
decile,,,1000,428529,-0.07746764788,-5.537528354,5,-5.077467648,-10.07746765,False,False,5
decile,,,1000,428529,-0.07746764788,-5.537528354,7.5,-7.577467648,-15.07746765,False,False,5
decile,,,1000,428529,-0.07746764788,-5.537528354,10,-10.07746765,-20.07746765,False,False,5
decile,,,1000,428530,-0.04999990319,-3.647608735,1,-1.049999903,-2.049999903,False,False,6
decile,,,1000,428530,-0.04999990319,-3.647608735,2,-2.049999903,-4.049999903,False,False,6
decile,,,1000,428530,-0.04999990319,-3.647608735,3,-3.049999903,-6.049999903,False,False,6
decile,,,1000,428530,-0.04999990319,-3.647608735,5,-5.049999903,-10.0499999,False,False,6
decile,,,1000,428530,-0.04999990319,-3.647608735,7.5,-7.549999903,-15.0499999,False,False,6
decile,,,1000,428530,-0.04999990319,-3.647608735,10,-10.0499999,-20.0499999,False,False,6
decile,,,1000,428529,0.00185564624,0.001388522635,1,-0.9981443538,-1.998144354,False,False,7
decile,,,1000,428529,0.00185564624,0.001388522635,2,-1.998144354,-3.998144354,False,False,7
decile,,,1000,428529,0.00185564624,0.001388522635,3,-2.998144354,-5.998144354,False,False,7
decile,,,1000,428529,0.00185564624,0.001388522635,5,-4.998144354,-9.998144354,False,False,7
decile,,,1000,428529,0.00185564624,0.001388522635,7.5,-7.498144354,-14.99814435,False,False,7
decile,,,1000,428529,0.00185564624,0.001388522635,10,-9.998144354,-19.99814435,False,False,7
decile,,,1000,428529,0.08527098892,5.896716327,1,-0.9147290111,-1.914729011,False,False,8
decile,,,1000,428529,0.08527098892,5.896716327,2,-1.914729011,-3.914729011,False,False,8
decile,,,1000,428529,0.08527098892,5.896716327,3,-2.914729011,-5.914729011,False,False,8
decile,,,1000,428529,0.08527098892,5.896716327,5,-4.914729011,-9.914729011,False,False,8
decile,,,1000,428529,0.08527098892,5.896716327,7.5,-7.414729011,-14.91472901,False,False,8
decile,,,1000,428529,0.08527098892,5.896716327,10,-9.914729011,-19.91472901,False,False,8
decile,,,1000,428530,0.3061744816,21.35998138,1,-0.6938255184,-1.693825518,False,False,9
decile,,,1000,428530,0.3061744816,21.35998138,2,-1.693825518,-3.693825518,False,False,9
decile,,,1000,428530,0.3061744816,21.35998138,3,-2.693825518,-5.693825518,False,False,9
decile,,,1000,428530,0.3061744816,21.35998138,5,-4.693825518,-9.693825518,False,False,9
decile,,,1000,428530,0.3061744816,21.35998138,7.5,-7.193825518,-14.69382552,False,False,9
decile,,,1000,428530,0.3061744816,21.35998138,10,-9.693825518,-19.69382552,False,False,9
