entry_ts,exit_ts,side,entry_price,exit_price,qty,gross_pnl,entry_fee,exit_fee,total_fee,net_pnl,hold_sec,exit_reason
1774569600.065,1774569602.043,BUY,68790.05,68796.34999999999,0.001,0.006299999999988358,0.027516020000000006,0.027518539999999998,0.05503456,-0.04873456000001164,1.9779999256134033,imbalance_reversal
1774569639.953,1774569728.793,SELL,68728.34999999999,68722.35,0.001,-0.005999999999985448,0.02749134,0.027488940000000003,0.054980280000000006,-0.060980279999985454,88.83999991416931,imbalance_reversal
1774569837.233,1774569927.919,BUY,68780.95,68752.95,0.001,-0.028,0.027512380000000003,0.02750118,0.05501356,-0.08301356,90.6859998703003,timeout_exit
1774569940.882,1774570030.943,BUY,68774.45,68841.55,0.001,0.06710000000000582,0.02750978,0.02753662,0.0550464,0.012053600000005823,90.06100010871887,timeout_exit
1774570030.943,1774570121.049,BUY,68841.65000000001,68853.95,0.001,0.012299999999988358,0.027536660000000008,0.02754158,0.05507824000000001,-0.04277824000001165,90.10599994659424,timeout_exit
1774570121.049,1774570210.952,BUY,68854.05,68889.34999999999,0.001,0.03529999999998836,0.027541620000000003,0.02755574,0.05509736,-0.01979736000001164,89.90299987792969,imbalance_reversal
1774570333.444,1774570412.943,SELL,68905.95,68888.95,0.001,-0.017,0.027562380000000004,0.02755558,0.05511796000000001,-0.07211796000000001,79.49900007247925,imbalance_reversal
1774570442.698,1774570532.757,BUY,68914.85,68876.34999999999,0.001,-0.03850000000001455,0.02756594,0.027550539999999995,0.055116479999999995,-0.09361648000001455,90.05900001525879,timeout_exit
1774570576.779,1774570590.256,BUY,68886.65000000001,68859.95,0.001,-0.02670000000001164,0.02755466000000001,0.02754398,0.055098640000000004,-0.08179864000001165,13.476999998092651,opposite_signal
1774570590.256,1774570650.814,SELL,68859.95,68869.85,0.001,0.009900000000008732,0.02754398,0.027547940000000007,0.05509192,-0.045191919999991274,60.55799984931946,opposite_signal
1774570650.814,1774570740.887,BUY,68869.85,68902.55,0.001,0.03269999999999709,0.027547940000000007,0.027561020000000002,0.05510896000000001,-0.022408960000002916,90.07300019264221,timeout_exit
1774571178.985,1774571269.864,SELL,68725.95,68750.65000000001,0.001,0.024700000000011643,0.027490380000000002,0.027500260000000006,0.05499064000000001,-0.030290639999988364,90.87900018692017,timeout_exit
1774571505.661,1774571566.635,SELL,68658.55,68705.65000000001,0.001,0.047100000000005825,0.027463420000000002,0.027482260000000005,0.05494568000000001,-0.007845679999994182,60.973999977111816,imbalance_reversal
1774571695.99,1774571786.283,SELL,68701.05,68623.65000000001,0.001,-0.07739999999999418,0.027480420000000005,0.027449460000000005,0.054929880000000014,-0.13232987999999418,90.29299998283386,timeout_exit
1774571868.728,1774571936.237,SELL,68500.95,68547.95,0.001,0.047,0.027400380000000002,0.02741918,0.05481956,-0.007819560000000003,67.5090000629425,imbalance_reversal
1774572037.136,1774572127.385,BUY,68612.25,68732.25,0.001,0.12,0.0274449,0.027492900000000004,0.05493780000000001,0.0650622,90.24900007247925,timeout_exit
1774572571.809,1774572661.966,BUY,68611.85,68638.95,0.001,0.02709999999999127,0.027444740000000002,0.02745558,0.05490032,-0.027800320000008732,90.15700006484985,timeout_exit
1774572661.966,1774572752.596,BUY,68639.05,68662.25,0.001,0.02319999999999709,0.02745562,0.0274649,0.05492052,-0.03172052000000291,90.62999987602234,timeout_exit
1774572797.607,1774572843.238,BUY,68733.95,68719.25,0.001,-0.01469999999999709,0.02749358,0.027487700000000004,0.05498128000000001,-0.0696812799999971,45.63099980354309,imbalance_reversal
1774573174.069,1774573264.484,BUY,68750.05,68789.55,0.001,0.0395,0.027500020000000003,0.027515820000000003,0.05501584000000001,-0.015515840000000006,90.41499996185303,timeout_exit
1774573494.482,1774573573.621,SELL,68755.25,68720.35,0.001,-0.03489999999999418,0.0275021,0.027488140000000005,0.05499024000000001,-0.08989023999999418,79.13899993896484,imbalance_reversal
1774573615.252,1774573666.64,BUY,68716.95,68674.55,0.001,-0.04239999999999418,0.02748678,0.027469820000000006,0.05495660000000001,-0.09735659999999419,51.38800001144409,imbalance_reversal
1774573779.898,1774573869.9,BUY,68745.15000000001,68795.84999999999,0.001,0.05069999999998254,0.027498060000000005,0.027518339999999995,0.0550164,-0.004316400000017463,90.00200009346008,timeout_exit
1774574157.362,1774574216.729,SELL,68817.45,68850.05,0.001,0.03260000000000582,0.02752698,0.027540020000000005,0.055067000000000005,-0.022466999999994186,59.367000102996826,imbalance_reversal
1774574227.022,1774574317.025,BUY,68854.75,68859.95,0.001,0.00519999999999709,0.0275419,0.02754398,0.055085880000000004,-0.04988588000000291,90.00300002098083,timeout_exit
1774574356.623,1774574394.72,SELL,68812.45,68825.95,0.001,0.0135,0.02752498,0.027530379999999997,0.05505536,-0.04155536,38.09700012207031,imbalance_reversal
1774574416.618,1774574462.274,BUY,68822.15000000001,68813.05,0.001,-0.00910000000000582,0.027528860000000006,0.027525220000000003,0.055054080000000005,-0.06415408000000583,45.65599989891052,imbalance_reversal
1774574513.688,1774574574.225,SELL,68813.75,68854.95,0.001,0.04119999999999709,0.0275255,0.02754198,0.05506748,-0.013867480000002909,60.53699994087219,imbalance_reversal
1774574684.539,1774574774.601,BUY,68883.35,68890.75,0.001,0.0073999999999941795,0.027553340000000003,0.0275563,0.05510964,-0.047709640000005826,90.06200003623962,timeout_exit
1774574886.266,1774574976.935,SELL,68873.84999999999,68877.15000000001,0.001,0.0033000000000174626,0.027549539999999997,0.027550860000000007,0.05510040000000001,-0.05180039999998254,90.66899991035461,timeout_exit
1774575079.497,1774575131.802,SELL,68869.15,68890.05,0.001,0.02090000000000873,0.027547659999999998,0.02755602,0.05510368,-0.03420367999999127,52.3050000667572,opposite_signal
1774575131.802,1774575192.043,BUY,68890.05,68864.45,0.001,-0.025600000000005823,0.02755602,0.027545780000000002,0.055101800000000006,-0.08070180000000583,60.240999937057495,opposite_signal
1774575192.043,1774575245.615,SELL,68864.45,68871.75,0.001,0.007300000000002911,0.027545780000000002,0.027548700000000002,0.05509448,-0.04779447999999709,53.57200002670288,imbalance_reversal
1774575296.637,1774575359.392,SELL,68849.84999999999,68850.15000000001,0.001,0.0003000000000174623,0.027539939999999995,0.027540060000000005,0.055080000000000004,-0.05477999999998254,62.75499987602234,imbalance_reversal
1774575408.56,1774575470.695,BUY,68866.85,68853.25,0.001,-0.013600000000005821,0.027546740000000007,0.0275413,0.055088040000000005,-0.06868804000000583,62.13499999046326,imbalance_reversal
1774575472.574,1774575558.748,SELL,68849.95,68855.45,0.001,0.0055,0.02753998,0.027542180000000003,0.055082160000000005,-0.04958216,86.17400002479553,imbalance_reversal
1774576104.114,1774576194.451,BUY,68876.55,68941.55,0.001,0.065,0.027550620000000005,0.027576620000000003,0.05512724000000001,0.009872759999999994,90.33699989318848,timeout_exit
1774576398.349,1774576434.504,SELL,68900.05,68910.45,0.001,0.01039999999999418,0.027560020000000005,0.02756418,0.055124200000000005,-0.04472420000000583,36.15499997138977,imbalance_reversal
1774576471.147,1774576561.232,BUY,68930.45,68987.45,0.001,0.057,0.027572179999999998,0.027594979999999998,0.05516715999999999,0.0018328400000000057,90.08500003814697,timeout_exit
1774576600.686,1774576690.747,BUY,68999.05,68983.55,0.001,-0.0155,0.027599620000000005,0.027593420000000004,0.05519304000000001,-0.07069304000000001,90.0609998703003,timeout_exit
1774576709.355,1774576790.848,SELL,68994.15,69008.45,0.001,0.014300000000002911,0.027597659999999996,0.02760338,0.05520103999999999,-0.040901039999997085,81.49300003051758,imbalance_reversal
1774577144.582,1774577235.176,SELL,69017.05,69039.75,0.001,0.02269999999999709,0.02760682,0.0276159,0.05522272,-0.032522720000002905,90.59400010108948,timeout_exit
1774577314.153,1774577374.265,SELL,69011.95,69043.35,0.001,0.03140000000000873,0.027604780000000002,0.027617340000000004,0.055222120000000006,-0.023822119999991273,60.11199998855591,imbalance_reversal
