entry_ts,exit_ts,side,entry_price,exit_price,qty,gross_pnl,entry_fee,exit_fee,total_fee,net_pnl,hold_sec,exit_reason,mfe,mae,mfe_pct,mae_pct
1774569600.065,1774569690.167,BUY,68790.25,68731.65,0.001,-0.05860000000000582,0.0275161,0.027492660000000002,0.055008760000000004,-0.11360876000000583,90.10199999809265,timeout_exit,0.01425,-0.14635000000000584,0.00020715144951501121,-0.002127481728878814
1774569998.381,1774570088.522,BUY,68804.85,68830.95,0.001,0.02609999999999127,0.02752194,0.027532380000000002,0.055054320000000004,-0.028954320000008735,90.14100003242493,timeout_exit,0.03675,0.0,0.0005341193244371581,0.0
1774570336.267,1774570427.273,SELL,68852.84999999999,68900.05,0.001,0.04720000000001164,0.02754114,0.027560020000000005,0.05510116,-0.00790115999998836,91.00600004196167,timeout_exit,0.02954999999998836,-0.05945000000001164,0.00042917613432106824,-0.0008634355731100695
1774570708.443,1774570798.65,BUY,68922.55,68879.15,0.001,-0.04340000000000873,0.027569020000000003,0.02755166,0.055120680000000005,-0.09852068000000874,90.20700001716614,timeout_exit,0.00034999999999126886,-0.04335000000000582,5.0781638228891536e-06,-0.0006289668620793313
1774572041.297,1774572131.321,BUY,68673.95,68732.25,0.001,0.05830000000000291,0.027469580000000004,0.027492900000000004,0.05496248000000001,0.003337520000002904,90.02400016784668,timeout_exit,0.07844999999999709,0.0,0.0011423545609360914,0.0
1774572582.662,1774572672.775,BUY,68614.25,68640.75,0.001,0.0265,0.0274457,0.0274563,0.054902,-0.028402,90.11300015449524,timeout_exit,0.035750000000000004,-0.00675,0.0005210287950389315,-9.837606619616188e-05
1774573192.478,1774573282.596,BUY,68746.35,68822.15,0.001,0.07579999999998836,0.027498540000000005,0.02752886,0.055027400000000004,0.020772599999988362,90.11800003051758,timeout_exit,0.07584999999999127,-5.000000000291039e-05,0.0011033313041345651,-7.273113409353424e-07
1774573497.973,1774573588.075,SELL,68753.55,68716.95,0.001,-0.03660000000000582,0.027501420000000002,0.02748678,0.0549882,-0.09158820000000582,90.10199999809265,timeout_exit,0.03915000000000873,-0.006149999999994179,0.0005694251424109552,-8.944992658552436e-05
1774573822.4,1774573912.504,BUY,68800.25,68807.25,0.001,0.007,0.027520100000000002,0.0275229,0.055043,-0.048043,90.10399985313416,timeout_exit,0.04294999999999709,-0.00644999999999709,0.0006242709873873581,-9.374965933985835e-05
1774574441.065,1774574531.186,BUY,68830.85,68820.75,0.001,-0.010100000000005821,0.027532340000000006,0.027528300000000002,0.05506064000000001,-0.06516064000000583,90.12100005149841,timeout_exit,4.999999998835847e-05,-0.037550000000002914,7.264184589956169e-07,-0.0005455402628327692
