entry_ts,exit_ts,side,entry_price,exit_price,qty,gross_pnl,entry_fee,exit_fee,total_fee,net_pnl,hold_sec,exit_reason
1774569600.065,1774569720.1,BUY,68790.15000000001,68722.25,0.01,-0.6790000000000873,0.27516060000000003,0.274889,0.5500496,-1.2290496000000872,120.03499984741211,timeout_exit
1774569849.521,1774569970.299,BUY,68783.85,68799.95,0.01,0.16099999999991269,0.27513540000000003,0.2751998,0.5503352,-0.38933520000008737,120.77800011634827,timeout_exit
1774569971.475,1774570091.689,BUY,68799.95,68830.84999999999,0.01,0.3089999999999418,0.2751998,0.2753234,0.5505232,-0.24152320000005817,120.21399998664856,timeout_exit
1774570121.301,1774570241.655,BUY,68858.75,68909.84999999999,0.01,0.5109999999999127,0.275435,0.2756394,0.5510744,-0.04007440000008722,120.35399985313416,timeout_exit
1774570333.446,1774570453.836,SELL,68883.45,68915.75,0.01,0.3230000000000291,0.2755338,0.27566300000000005,0.5511968,-0.22819679999997095,120.3899998664856,timeout_exit
1774570653.064,1774570773.15,BUY,68869.95,68902.55,0.01,0.3260000000000582,0.2754798,0.2756102,0.5510900000000001,-0.22508999999994184,120.0860002040863,timeout_exit
1774571704.417,1774571824.932,SELL,68697.55,68624.25,0.01,-0.7330000000000291,0.27479020000000004,0.27449700000000005,0.5492872000000001,-1.2822872000000292,120.5149998664856,timeout_exit
1774572038.861,1774572159.024,BUY,68656.05,68716.84999999999,0.01,0.6079999999998836,0.27462420000000004,0.2748674,0.5494916000000001,0.05850839999988361,120.16299986839294,timeout_exit
1774572571.813,1774572692.062,BUY,68611.95,68647.75,0.01,0.35800000000002913,0.2744478,0.274591,0.5490387999999999,-0.19103879999997087,120.24900007247925,timeout_exit
1774573179.05,1774573299.097,BUY,68757.25,68766.75,0.01,0.095,0.275029,0.275067,0.550096,-0.45509600000000006,120.04699993133545,timeout_exit
1774573497.973,1774573618.588,SELL,68753.75,68717.05,0.01,-0.3669999999999709,0.275015,0.27486820000000006,0.5498832,-0.9168831999999709,120.61500000953674,timeout_exit
1774573795.676,1774573915.893,BUY,68772.65000000001,68807.34999999999,0.01,0.3469999999998254,0.2750906000000001,0.2752294,0.5503200000000001,-0.2033200000001747,120.21699976921082,timeout_exit
1774574170.131,1774574240.95,SELL,68813.84999999999,68868.95,0.01,0.5510000000000582,0.2752554,0.2754758,0.5507312,0.00026880000005824467,70.81900000572205,opposite_signal
1774574241.904,1774574356.64,BUY,68869.05,68804.75,0.01,-0.6430000000000291,0.2754762,0.275219,0.5506952,-1.193695200000029,114.73600006103516,opposite_signal
1774574356.66,1774574416.76,SELL,68804.75,68822.15000000001,0.01,0.1740000000000873,0.275219,0.27528860000000005,0.5505076,-0.37650759999991273,60.09999990463257,opposite_signal
1774574417.218,1774574537.233,BUY,68822.25,68834.55,0.01,0.1230000000000291,0.275289,0.27533820000000003,0.5506272000000001,-0.42762719999997095,120.01500010490417,timeout_exit
1774575192.753,1774575312.754,SELL,68864.45,68849.95,0.01,-0.145,0.27545780000000003,0.27539980000000003,0.5508576000000001,-0.6958576000000001,120.00099992752075,timeout_exit
1774575313.641,1774575434.458,SELL,68849.84999999999,68851.35,0.01,0.01500000000014552,0.27539939999999996,0.2754054,0.5508048,-0.5358047999998545,120.81699991226196,timeout_exit
1774576123.734,1774576244.132,BUY,68888.85,68938.55,0.01,0.4969999999999709,0.2755554,0.27575420000000006,0.5513096000000001,-0.05430960000002916,120.39800000190735,timeout_exit
1774577401.402,1774577521.46,BUY,69084.75,69073.55,0.01,-0.1119999999999709,0.276339,0.2762942,0.5526332,-0.6646331999999708,120.05800008773804,timeout_exit
1774578393.404,1774578513.554,SELL,68930.65,68983.15000000001,0.01,0.5250000000001456,0.2757226,0.2759326000000001,0.5516552000000001,-0.026655199999854495,120.14999985694885,timeout_exit
1774578973.956,1774579094.032,SELL,68950.05,68933.95,0.01,-0.1610000000000582,0.2758002,0.2757358,0.551536,-0.7125360000000582,120.07599997520447,timeout_exit
1774579169.51,1774579289.668,SELL,68909.45,68875.15000000001,0.01,-0.34299999999988356,0.27563780000000004,0.27550060000000004,0.5511384000000001,-0.8941383999998835,120.1579999923706,timeout_exit
1774579485.343,1774579605.712,BUY,68908.55,68899.55,0.01,-0.09,0.2756342,0.2755982,0.5512324,-0.6412324,120.36899995803833,timeout_exit
1774579631.719,1774579751.837,BUY,68903.05,68882.05,0.01,-0.21,0.27561220000000003,0.2755282,0.5511404,-0.7611404,120.117999792099,timeout_exit
1774579870.769,1774579991.715,BUY,68938.45,68922.84999999999,0.01,-0.1560000000000582,0.2757538,0.2756914,0.5514452,-0.7074452000000582,120.94599986076355,timeout_exit
1774580074.594,1774580194.817,SELL,68922.84999999999,68919.45,0.01,-0.03399999999994179,0.2756914,0.2756778,0.5513691999999999,-0.5853691999999417,120.22299981117249,timeout_exit
1774580350.112,1774580470.363,SELL,68839.25,68865.05,0.01,0.2580000000000291,0.275357,0.27546020000000004,0.5508172,-0.29281719999997097,120.25099992752075,timeout_exit
1774580481.952,1774580602.178,SELL,68853.95,68842.15000000001,0.01,-0.11799999999988359,0.2754158,0.2753686000000001,0.5507844000000001,-0.6687843999998837,120.2260000705719,timeout_exit
1774580710.335,1774580830.396,SELL,68811.95,68765.25,0.01,-0.4669999999999709,0.27524780000000004,0.275061,0.5503088,-1.017308799999971,120.0609998703003,timeout_exit
1774580847.455,1774580967.559,SELL,68710.05,68688.85,0.01,-0.2119999999999709,0.27484020000000003,0.27475540000000004,0.5495956000000001,-0.7615955999999711,120.10400009155273,timeout_exit
1774581179.895,1774581300.052,BUY,68703.75,68711.15,0.01,0.07399999999994179,0.27481500000000003,0.2748446,0.5496596,-0.47565960000005825,120.15700006484985,timeout_exit
1774582434.894,1774582494.489,SELL,68766.15,68800.05,0.01,0.33900000000008734,0.2750646,0.2752002,0.5502648,-0.21126479999991266,59.59500002861023,opposite_signal
1774582494.494,1774582614.572,BUY,68800.35,68863.15,0.01,0.6279999999998837,0.27520140000000004,0.2754526,0.550654,0.07734599999988362,120.07800006866455,timeout_exit
1774583521.738,1774583642.433,BUY,68808.65000000001,68812.75,0.01,0.04099999999991269,0.27523460000000005,0.275251,0.5504856,-0.5094856000000874,120.69500017166138,timeout_exit
1774583706.757,1774583827.595,SELL,68776.84999999999,68727.85,0.01,-0.4899999999998545,0.2751074,0.2749114000000001,0.5500188000000001,-1.0400187999998547,120.83800005912781,timeout_exit
1774584008.69,1774584087.776,BUY,68753.35,68546.95,0.01,-2.0640000000000875,0.2750134000000001,0.27418780000000004,0.5492012000000002,-2.6132012000000877,79.08599996566772,stop_loss
1774584514.01,1774584634.084,SELL,68302.25,68317.55,0.01,0.1530000000000291,0.27320900000000004,0.2732702,0.5464792,-0.39347919999997094,120.07400012016296,timeout_exit
1774585666.326,1774585786.915,BUY,68485.35,68492.05,0.01,0.0669999999999709,0.27394140000000006,0.27396820000000005,0.5479096000000001,-0.4809096000000292,120.58899998664856,timeout_exit
1774586027.244,1774586147.468,BUY,68539.15000000001,68564.84999999999,0.01,0.25699999999982537,0.27415660000000003,0.2742594,0.548416,-0.29141600000017465,120.22399997711182,timeout_exit
1774586486.097,1774586606.553,BUY,68567.35,68549.75,0.01,-0.17600000000005822,0.27426940000000005,0.274199,0.5484684000000001,-0.7244684000000583,120.45600008964539,timeout_exit
1774586955.488,1774587075.702,BUY,68560.15000000001,68575.84999999999,0.01,0.1569999999998254,0.27424060000000006,0.2743034,0.548544,-0.39154400000017464,120.21399998664856,timeout_exit
1774587235.85,1774587355.871,BUY,68584.95,68589.84999999999,0.01,0.04899999999994179,0.2743398,0.2743594,0.5486991999999999,-0.4996992000000582,120.02100014686584,timeout_exit
1774587460.637,1774587582.036,SELL,68545.75,68550.05,0.01,0.043000000000029105,0.274183,0.2742002,0.5483832,-0.505383199999971,121.3989999294281,timeout_exit
1774587827.142,1774587947.213,SELL,68525.05,68517.35,0.01,-0.0769999999999709,0.2741002,0.2740694000000001,0.5481696,-0.6251695999999709,120.07100009918213,timeout_exit
1774588099.544,1774588219.664,BUY,68590.15000000001,68689.55,0.01,0.9939999999999418,0.2743606,0.27475820000000006,0.5491188,0.4448811999999417,120.12000012397766,timeout_exit
1774588454.159,1774588574.319,BUY,68780.75,68814.34999999999,0.01,0.3359999999999127,0.275123,0.2752574,0.5503804,-0.2143804000000873,120.16000008583069,timeout_exit
1774589735.476,1774589855.621,BUY,68587.95,68650.25,0.01,0.6230000000000291,0.27435180000000003,0.27460100000000004,0.5489528000000001,0.07404720000002901,120.14499998092651,timeout_exit
1774590307.109,1774590427.408,SELL,68563.84999999999,68566.45,0.01,0.02600000000005821,0.2742554,0.2742658,0.5485211999999999,-0.5225211999999417,120.29900002479553,timeout_exit
1774590771.152,1774590891.192,BUY,68560.15000000001,68562.05,0.01,0.018999999999941793,0.27424060000000006,0.2742482,0.5484888000000001,-0.5294888000000583,120.03999996185303,timeout_exit
1774591787.371,1774591907.488,BUY,68663.45,68674.95,0.01,0.115,0.2746538,0.2746998,0.5493536,-0.4343536,120.11699986457825,timeout_exit
1774591948.692,1774592068.726,SELL,68643.05,68707.55,0.01,0.645,0.27457220000000004,0.2748302,0.5494024000000001,0.09559759999999995,120.03400015830994,timeout_exit
1774592681.604,1774592801.722,BUY,68750.15000000001,68740.95,0.01,-0.09200000000011642,0.27500060000000004,0.2749638,0.5499644,-0.6419644000001165,120.117999792099,timeout_exit
1774592998.117,1774593119.368,SELL,68769.34999999999,68747.75,0.01,-0.2159999999999127,0.2750774,0.274991,0.5500684,-0.7660683999999127,121.25099992752075,timeout_exit
1774593940.891,1774594060.911,SELL,68653.05,68631.45,0.01,-0.2160000000000582,0.27461220000000003,0.2745258,0.549138,-0.7651380000000583,120.01999998092651,timeout_exit
1774594495.079,1774594615.275,BUY,68678.05,68666.05,0.01,-0.12,0.2747122,0.2746642,0.5493764000000001,-0.6693764,120.19600009918213,timeout_exit
1774594717.91,1774594838.3,SELL,68620.05,68624.05,0.01,0.04,0.2744802,0.2744962,0.5489764,-0.5089764,120.3899998664856,timeout_exit
1774594914.724,1774595035.11,BUY,68654.05,68629.45,0.01,-0.2460000000000582,0.27461620000000003,0.2745178,0.549134,-0.7951340000000582,120.38599991798401,timeout_exit
1774595217.494,1774595338.5,SELL,68638.15,68586.15000000001,0.01,-0.5199999999998545,0.2745526,0.27434460000000005,0.5488972000000001,-1.0688971999998544,121.00600004196167,timeout_exit
1774595485.081,1774595605.13,BUY,68684.95,68853.55,0.01,1.6860000000000583,0.27473980000000003,0.27541420000000005,0.550154,1.135846000000058,120.04900002479553,timeout_exit
1774599810.739,1774599931.025,SELL,68301.75,68325.65000000001,0.01,0.2390000000000873,0.27320700000000003,0.27330260000000006,0.5465096,-0.3075095999999128,120.28600001335144,timeout_exit
1774600077.777,1774600197.82,SELL,68299.84999999999,68201.85,0.01,-0.9799999999998545,0.2731994,0.27280740000000003,0.5460068,-1.5260067999998546,120.04299998283386,timeout_exit
1774600547.292,1774600578.822,SELL,68050.45,67744.25,0.01,-3.061999999999971,0.2722018,0.270977,0.5431788,-3.6051787999999707,31.52999997138977,take_profit
1774603847.434,1774603967.491,SELL,67873.25,67836.35,0.01,-0.3689999999999418,0.271493,0.2713454,0.5428383999999999,-0.9118383999999418,120.0569999217987,timeout_exit
1774604618.07,1774604738.495,SELL,67704.45,67693.85,0.01,-0.10599999999991269,0.2708178,0.27077540000000005,0.5415932000000001,-0.6475931999999127,120.42499995231628,timeout_exit
1774604809.607,1774604929.857,BUY,67750.05,67764.25,0.01,0.1419999999999709,0.2710002,0.27105700000000005,0.5420572000000001,-0.4000572000000292,120.25,timeout_exit
1774605358.771,1774605478.779,SELL,67764.95,67641.55,0.01,-1.2339999999999418,0.2710598,0.27056620000000003,0.541626,-1.7756259999999418,120.00800013542175,timeout_exit
1774612783.136,1774612903.242,SELL,66660.25,66621.75,0.01,-0.385,0.266641,0.26648700000000003,0.533128,-0.918128,120.10600018501282,timeout_exit
1774612922.32,1774613042.425,SELL,66618.15,66640.15000000001,0.01,0.22000000000014552,0.2664726,0.26656060000000004,0.5330332,-0.3130331999998545,120.10500001907349,timeout_exit
1774616932.133,1774617052.187,SELL,66537.75,66487.85,0.01,-0.4989999999999418,0.266151,0.2659514,0.5321024000000001,-1.0311023999999418,120.05400013923645,timeout_exit
1774623359.217,1774623479.228,BUY,66100.35,66161.45,0.01,0.6109999999999127,0.2644014,0.26464580000000004,0.5290472,0.08195279999991267,120.01099991798401,timeout_exit
1774624548.938,1774624668.997,SELL,66168.65,66167.85,0.01,-0.007999999999883585,0.2646746,0.26467140000000006,0.5293460000000001,-0.5373459999998836,120.05900001525879,timeout_exit
1774624786.731,1774624906.739,SELL,66091.75,65986.95,0.01,-1.0480000000000291,0.264367,0.2639478,0.5283148,-1.576314800000029,120.00800013542175,timeout_exit
1774626383.06,1774626503.324,SELL,66289.34999999999,66334.35,0.01,0.4500000000001455,0.2651574,0.26533740000000006,0.5304948,-0.08049479999985454,120.26399993896484,timeout_exit
1774629629.949,1774629750.108,SELL,65787.95,65860.95,0.01,0.73,0.2631518,0.2634438,0.5265956,0.20340439999999999,120.15900015830994,timeout_exit
1774629814.884,1774629934.964,BUY,65984.55,66010.75,0.01,0.2619999999999709,0.2639382,0.26404299999999997,0.5279811999999999,-0.26598120000002906,120.07999992370605,timeout_exit
1774632038.927,1774632159.021,SELL,65962.34999999999,65938.85,0.01,-0.2349999999998545,0.26384939999999996,0.26375540000000003,0.5276048,-0.7626047999998544,120.0939998626709,timeout_exit
1774635240.042,1774635360.093,SELL,65607.75,65619.35,0.01,0.11600000000005821,0.262431,0.2624774,0.5249084,-0.40890839999994183,120.05099987983704,timeout_exit
1774635584.782,1774635704.796,BUY,65800.05,65774.55,0.01,-0.255,0.2632002,0.2630982,0.5262983999999999,-0.7812984000000001,120.01399993896484,timeout_exit
1774636467.735,1774636587.997,BUY,65804.95,65765.84999999999,0.01,-0.3910000000000582,0.2632198,0.26306339999999995,0.5262832,-0.9172832000000581,120.26200008392334,timeout_exit
1774638294.705,1774638414.918,SELL,65729.55,65696.15000000001,0.01,-0.3339999999999418,0.26291820000000005,0.26278460000000003,0.5257028000000001,-0.8597027999999418,120.21300005912781,timeout_exit
1774639303.666,1774639423.776,SELL,65853.45,65877.95,0.01,0.245,0.26341380000000003,0.2635118,0.5269256,-0.28192560000000005,120.1100001335144,timeout_exit
1774639689.251,1774639809.497,BUY,65856.75,65929.95,0.01,0.7319999999999709,0.263427,0.2637198,0.5271468,0.20485319999997087,120.24600005149841,timeout_exit
1774640451.394,1774640562.133,SELL,65858.75,65883.85,0.01,0.25100000000005823,0.26343500000000003,0.26353540000000003,0.5269704000000001,-0.27597039999994183,110.73899984359741,opposite_signal
