alpha_pct,beta_pct,eligible_opportunities,filled,fill_rate_30000ms,at_quote_fills,trade_through_fills,at_quote_rate_given_fill,trade_through_rate_given_fill,fill_evaluable_500ms,fill_rate_500ms,fill_evaluable_1000ms,fill_rate_1000ms,fill_evaluable_5000ms,fill_rate_5000ms,median_time_to_fill_ms,markout_100ms_observed,markout_100ms_censored,markout_100ms_mean_ticks,markout_100ms_median_ticks,markout_100ms_p10_ticks,markout_100ms_p25_ticks,markout_100ms_p50_ticks,markout_100ms_p75_ticks,markout_100ms_p90_ticks,markout_100ms_frac_favourable,markout_100ms_frac_non_negative,required_benefit_100ms_ticks,required_benefit_100ms_usd_per_btc,required_benefit_100ms_bps,markout_500ms_observed,markout_500ms_censored,markout_500ms_mean_ticks,markout_500ms_median_ticks,markout_500ms_p10_ticks,markout_500ms_p25_ticks,markout_500ms_p50_ticks,markout_500ms_p75_ticks,markout_500ms_p90_ticks,markout_500ms_frac_favourable,markout_500ms_frac_non_negative,required_benefit_500ms_ticks,required_benefit_500ms_usd_per_btc,required_benefit_500ms_bps,markout_1000ms_observed,markout_1000ms_censored,markout_1000ms_mean_ticks,markout_1000ms_median_ticks,markout_1000ms_p10_ticks,markout_1000ms_p25_ticks,markout_1000ms_p50_ticks,markout_1000ms_p75_ticks,markout_1000ms_p90_ticks,markout_1000ms_frac_favourable,markout_1000ms_frac_non_negative,required_benefit_1000ms_ticks,required_benefit_1000ms_usd_per_btc,required_benefit_1000ms_bps,markout_5000ms_observed,markout_5000ms_censored,markout_5000ms_mean_ticks,markout_5000ms_median_ticks,markout_5000ms_p10_ticks,markout_5000ms_p25_ticks,markout_5000ms_p50_ticks,markout_5000ms_p75_ticks,markout_5000ms_p90_ticks,markout_5000ms_frac_favourable,markout_5000ms_frac_non_negative,required_benefit_5000ms_ticks,required_benefit_5000ms_usd_per_btc,required_benefit_5000ms_bps,median_spread_ticks,mean_spread_ticks,required_benefit_1s_in_half_spreads,required_benefit_1s_in_full_spreads
50,0,514078,334138,0.6499752956,152540,181598,0.4565179656,0.5434820344,514068,0.1029396889,514062,0.1574265361,513998,0.3648671785,3839.10552,334138,0,-28.77238596,-22.5,-69.5,-42.5,-22.5,-1.5,0.5,0.2193734325,0.2193794181,28.77238596,2.877238596,0.4225021974,334135,3,-44.53859817,-32.5,-113.5,-67.5,-32.5,-3.5,0.5,0.2074101785,0.2074131713,44.53859817,4.453859817,0.6546886453,334119,19,-48.26251425,-34.5,-131.5,-75.5,-34.5,-3.5,0.5,0.213795085,0.2137980779,48.26251425,4.826251425,0.7095075593,334085,53,-57.41799991,-40.5,-202.5,-106.5,-40.5,0.5,59.5,0.2594190101,0.2594190101,57.41799991,5.741799991,0.8461321647,1,1.033578562,93.38915498,46.69457749
50,25,514078,340166,0.6617011426,188965,151201,0.5555081931,0.4444918069,514068,0.1056202681,514062,0.1617120114,513998,0.3740753855,3773.244942,340166,0,-27.1339787,-20.5,-68.5,-40.5,-20.5,0.5,0.5,0.2631979681,0.2632038475,27.1339787,2.71339787,0.3984671736,340163,3,-42.26141291,-29.5,-110.5,-65.5,-29.5,-0.5,0.5,0.2459556154,0.2459556154,42.26141291,4.226141291,0.6212542911,340145,21,-45.92645489,-32.5,-128.5,-72.5,-32.5,-0.5,0.5,0.2484146467,0.2484175866,45.92645489,4.592645489,0.6752038412,340109,57,-54.88265086,-39.5,-199.5,-103.5,-39.5,0.5,60.5,0.281015792,0.281015792,54.88265086,5.488265086,0.8088783002,1,1.033578562,88.86882252,44.43441126
50,50,514078,355083,0.69071814,305419,49664,0.8601341095,0.1398658905,514068,0.1115416637,514062,0.1725861861,513998,0.3989743151,3584.607099,355083,0,-22.80207304,-11.5,-63.5,-37.5,-11.5,0.5,0.5,0.3783622421,0.3783678746,22.80207304,2.280207304,0.3347121836,355076,7,-36.49094982,-21.5,-104.5,-58.5,-21.5,0.5,0.5,0.345250031,0.345250031,36.49094982,3.649094982,0.5362846422,355052,31,-40.10587041,-24.5,-121.5,-66.5,-24.5,0.5,0.5,0.335908543,0.3359113595,40.10587041,4.010587041,0.5895020045,355018,65,-48.80062279,-32.5,-190.5,-95.5,-32.5,0.5,63.5,0.3331464883,0.3331464883,48.80062279,4.880062279,0.7193601636,1,1.033578562,77.60584803,38.80292402
50,75,514078,374630,0.7287415528,336561,38069,0.898382404,0.101617596,514068,0.1263937845,514062,0.1987036583,513998,0.4470328678,3060.531665,374630,0,-18.22734431,0.5,-57.5,-30.5,0.5,0.5,0.5,0.5027600566,0.5027653952,18.22734431,1.822734431,0.2669937144,374619,11,-29.94392836,-6.5,-96.5,-48.5,-6.5,0.5,0.5,0.4583376711,0.4583376711,29.94392836,2.994392836,0.4392819985,374595,35,-33.36072825,-10.5,-111.5,-55.5,-10.5,0.5,0.5,0.4390822088,0.4390848783,33.36072825,3.336072825,0.4895689789,374558,72,-41.99791221,-22.5,-179.5,-86.5,-22.5,0.5,64.5,0.3993186636,0.3993186636,41.99791221,4.199791221,0.6186111464,1,1.033578562,64.55383167,32.27691583
50,100,514078,385945,0.7507518314,350668,35277,0.9085957844,0.09140421563,514068,0.1375421151,514062,0.2167481743,513998,0.4776108078,2755.986874,385945,0,-16.35037764,0.5,-54.5,-27.5,0.5,0.5,0.5,0.5522937206,0.5522989027,16.35037764,1.635037764,0.2393015601,385934,11,-27.05642804,0.5,-92.5,-43.5,0.5,0.5,0.5,0.5065244316,0.5065244316,27.05642804,2.705642804,0.3966307052,385915,30,-30.2868611,-1.5,-106.5,-50.5,-1.5,0.5,0.5,0.4848114222,0.4848140134,30.2868611,3.02868611,0.4441554617,385878,67,-38.58534822,-16.5,-173.5,-80.5,-16.5,0.5,64.5,0.4330487874,0.4330487874,38.58534822,3.858534822,0.5680724437,1,1.033578562,58.60582293,29.30291147
75,0,514078,324343,0.6309217667,108169,216174,0.3335018792,0.6664981208,514068,0.09717780527,514062,0.1484042781,513998,0.3483379313,4008.382822,324343,0,-31.44164511,-25.5,-71.5,-44.5,-25.5,-6.5,0.5,0.1495207234,0.1495268897,31.44164511,3.144164511,0.4615519322,324340,3,-48.45231393,-36.5,-118.5,-71.5,-36.5,-10.5,0.5,0.1440402047,0.1440402047,48.45231393,4.845231393,0.7120039411,324327,16,-52.45807164,-38.5,-136.5,-79.5,-38.5,-10.5,0.5,0.1565087088,0.1565117921,52.45807164,5.245807164,0.7709558944,324292,51,-61.97362254,-45.5,-208.5,-111.5,-45.5,-3.5,56.5,0.2230952352,0.2230952352,61.97362254,6.197362254,0.9129420905,1,1.033578562,101.507662,50.75383098
75,25,514078,327058,0.6362030665,124829,202229,0.3816723639,0.6183276361,514068,0.09835080184,514062,0.1503787481,513998,0.3522912541,3982.918878,327058,0,-30.67279657,-24.5,-71.5,-43.5,-24.5,-5.5,0.5,0.1702297452,0.1702358603,30.67279657,3.067279657,0.4502817302,327055,3,-47.33172249,-35.5,-117.5,-70.5,-35.5,-8.5,0.5,0.1626209659,0.1626209659,47.33172249,4.733172249,0.6955812174,327042,16,-51.28247901,-37.5,-135.5,-78.5,-37.5,-8.5,0.5,0.172974725,0.1729777827,51.28247901,5.128247901,0.7537327041,327008,50,-60.69383929,-44.5,-206.5,-109.5,-44.5,-1.5,57.5,0.2332603484,0.2332603484,60.69383929,6.069383929,0.8941859956,1,1.033578562,99.23286123,49.61643062
75,50,514078,331242,0.6443419092,154670,176572,0.4669395789,0.5330604211,514068,0.1001268315,514062,0.153222763,513998,0.3585150137,3936.561563,331242,0,-29.45950997,-23.5,-70.5,-42.5,-23.5,-2.5,0.5,0.2029724491,0.202978487,29.45950997,2.945950997,0.432482577,331239,3,-45.6376408,-33.5,-115.5,-68.5,-33.5,-5.5,0.5,0.1912244633,0.1912244633,45.6376408,4.56376408,0.6707244304,331226,16,-49.50205751,-35.5,-132.5,-76.5,-35.5,-5.5,0.5,0.1984928719,0.198495891,49.50205751,4.950205751,0.7276126982,331190,52,-58.78650624,-42.5,-204.5,-107.5,-42.5,-0.5,58.5,0.2489326369,0.2489326369,58.78650624,5.878650624,0.8662017255,1,1.033578562,95.78770173,47.89385087
75,75,514078,342086,0.6654359844,274784,67302,0.8032599989,0.1967400011,514068,0.1041593719,514062,0.160330855,513998,0.3754606049,3807.110415,342086,0,-25.97446256,-18.5,-67.5,-39.5,-18.5,0.5,0.5,0.2945808949,0.2945867413,25.97446256,2.597446256,0.3812730787,342078,8,-41.08637504,-28.5,-109.5,-64.5,-28.5,0.5,0.5,0.2692982302,0.2693011535,41.08637504,4.108637504,0.603786465,342062,24,-44.91430062,-30.5,-127.5,-71.5,-30.5,0.5,0.5,0.2668609784,0.2668639019,44.91430062,4.491430062,0.6601397088,342028,58,-53.99598279,-38.5,-198.5,-101.5,-38.5,0.5,60.5,0.2883389664,0.2883389664,53.99598279,5.399598279,0.7957344656,1,1.033578562,86.91027905,43.45513953
75,100,514078,358795,0.6979388342,309295,49500,0.8620382112,0.1379617888,514068,0.1150859419,514062,0.1801825461,513998,0.4146650376,3352.679845,358795,0,-21.22985549,-7.5,-62.5,-35.5,-7.5,0.5,0.5,0.4244735852,0.4244791594,21.22985549,2.122985549,0.3111026987,358788,7,-34.48812948,-17.5,-102.5,-54.5,-17.5,0.5,0.5,0.3843300222,0.3843300222,34.48812948,3.448812948,0.5061129196,358768,27,-38.18821077,-20.5,-118.5,-63.5,-20.5,0.5,0.5,0.370219752,0.3702225394,38.18821077,3.818821077,0.5606090764,358736,59,-47.30183756,-29.5,-187.5,-93.5,-29.5,0.5,62.5,0.3510548147,0.3510548147,47.30183756,4.730183756,0.6967449205,1,1.033578562,73.89512935,36.94756467
100,0,514078,319014,0.6205556355,68666,250348,0.215244472,0.784755528,514068,0.0944271964,514062,0.1442938789,513998,0.3399565757,4089.384776,319014,0,-33.0665347,-26.5,-73.5,-46.5,-26.5,-9.5,0.5,0.1079889911,0.1079952604,33.0665347,3.30665347,0.485256172,319012,2,-50.73651305,-38.5,-120.5,-73.5,-38.5,-14.5,0.5,0.1074912542,0.1074912542,50.73651305,5.073651305,0.7454053035,318998,16,-54.82600361,-39.5,-139.5,-81.5,-39.5,-14.5,0.5,0.1240446649,0.1240477997,54.82600361,5.482600361,0.8055972661,318964,50,-64.46653071,-48.5,-212.5,-114.5,-48.5,-7.5,54.5,0.2026372882,0.2026372882,64.46653071,6.446653071,0.9494693858,1,1.033578562,106.0896687,53.04483435
100,25,514078,320412,0.6232750672,79962,240450,0.2495599416,0.7504400584,514068,0.09500299571,514062,0.1451556427,513998,0.3418631979,4078.834324,320412,0,-32.64886615,-26.5,-72.5,-45.5,-26.5,-8.5,0.5,0.1190748162,0.1190810581,32.64886615,3.264886615,0.4791610331,320410,2,-50.15551169,-37.5,-119.5,-72.5,-37.5,-13.5,0.5,0.1170156986,0.1170156986,50.15551169,5.015551169,0.7369184165,320396,16,-54.23830198,-39.5,-138.5,-81.5,-39.5,-13.5,0.5,0.1322894168,0.132292538,54.23830198,5.423830198,0.7970065672,320362,50,-63.822262,-47.5,-211.5,-113.5,-47.5,-6.5,55.5,0.2078492455,0.2078492455,63.822262,6.3822262,0.9400382098,1,1.033578562,104.9524516,52.47622578
100,50,514078,322457,0.6272530628,92777,229680,0.2877189827,0.7122810173,514068,0.0958958737,514062,0.1466068295,513998,0.3447211857,4060.046171,322457,0,-32.02835882,-25.5,-72.5,-45.5,-25.5,-7.5,0.5,0.1351715112,0.1351777136,32.02835882,3.202835882,0.4700994898,322454,3,-49.29157802,-37.5,-119.5,-72.5,-37.5,-12.5,0.5,0.1311287812,0.1311287812,49.29157802,4.929157802,0.7242785073,322440,17,-53.34271492,-39.5,-137.5,-80.5,-39.5,-12.5,0.5,0.1448951743,0.1448982756,53.34271492,5.334271492,0.7839016069,322407,50,-62.8668872,-46.5,-209.5,-112.5,-46.5,-5.5,55.5,0.2155474292,0.2155474292,62.8668872,6.28668872,0.9260403416,1,1.033578562,103.2194685,51.60973426
100,75,514078,325603,0.6333727567,114258,211345,0.3509120002,0.6490879998,514068,0.09721282009,514062,0.1487369228,513998,0.349180347,4027.209591,325603,0,-31.08962295,-25.5,-71.5,-44.5,-25.5,-6.5,0.5,0.1604469246,0.1604530671,31.08962295,3.108962295,0.4563297548,325600,3,-47.96313729,-35.5,-117.5,-71.5,-35.5,-9.5,0.5,0.1533445946,0.1533445946,47.96313729,4.796313729,0.7047885128,325586,17,-51.96204075,-38.5,-135.5,-79.5,-38.5,-9.5,0.5,0.164497245,0.1645003164,51.96204075,5.196204075,0.7636602652,325551,52,-61.37542505,-44.5,-207.5,-110.5,-44.5,-2.5,56.5,0.2275588157,0.2275588157,61.37542505,6.137542505,0.9042008134,1,1.033578562,100.54783,50.27391498
100,100,514078,333646,0.6490182424,203756,129890,0.6106951679,0.3893048321,514068,0.1000568018,514062,0.1534581432,513998,0.3607193024,3948.653083,333646,0,-28.50216697,-21.5,-69.5,-41.5,-21.5,-0.5,0.5,0.2283408163,0.2283468107,28.50216697,2.850216697,0.4183247254,333638,8,-44.60180195,-32.5,-114.5,-67.5,-32.5,-3.5,0.5,0.2112649039,0.2112649039,44.60180195,4.460180195,0.6554009667,333624,22,-48.45798114,-34.5,-131.5,-75.5,-34.5,-3.5,0.5,0.2153562094,0.2153592068,48.45798114,4.845798114,0.7121394158,333591,55,-57.6496788,-40.5,-203.5,-106.5,-40.5,0.5,58.5,0.2577167849,0.2577167849,57.6496788,5.76496788,0.8494147099,1,1.033578562,93.76738822,46.88369411
