alpha_pct,beta_pct,fill_quintile,toxicity_quintile,eligible_opportunities,filled,fill_rate_30000ms,at_quote_fills,trade_through_fills,at_quote_rate_given_fill,trade_through_rate_given_fill,fill_evaluable_500ms,fill_rate_500ms,fill_evaluable_1000ms,fill_rate_1000ms,fill_evaluable_5000ms,fill_rate_5000ms,median_time_to_fill_ms,markout_100ms_observed,markout_100ms_censored,markout_100ms_mean_ticks,markout_100ms_median_ticks,markout_100ms_p10_ticks,markout_100ms_p25_ticks,markout_100ms_p50_ticks,markout_100ms_p75_ticks,markout_100ms_p90_ticks,markout_100ms_frac_favourable,markout_100ms_frac_non_negative,required_benefit_100ms_ticks,required_benefit_100ms_usd_per_btc,required_benefit_100ms_bps,markout_500ms_observed,markout_500ms_censored,markout_500ms_mean_ticks,markout_500ms_median_ticks,markout_500ms_p10_ticks,markout_500ms_p25_ticks,markout_500ms_p50_ticks,markout_500ms_p75_ticks,markout_500ms_p90_ticks,markout_500ms_frac_favourable,markout_500ms_frac_non_negative,required_benefit_500ms_ticks,required_benefit_500ms_usd_per_btc,required_benefit_500ms_bps,markout_1000ms_observed,markout_1000ms_censored,markout_1000ms_mean_ticks,markout_1000ms_median_ticks,markout_1000ms_p10_ticks,markout_1000ms_p25_ticks,markout_1000ms_p50_ticks,markout_1000ms_p75_ticks,markout_1000ms_p90_ticks,markout_1000ms_frac_favourable,markout_1000ms_frac_non_negative,required_benefit_1000ms_ticks,required_benefit_1000ms_usd_per_btc,required_benefit_1000ms_bps,markout_5000ms_observed,markout_5000ms_censored,markout_5000ms_mean_ticks,markout_5000ms_median_ticks,markout_5000ms_p10_ticks,markout_5000ms_p25_ticks,markout_5000ms_p50_ticks,markout_5000ms_p75_ticks,markout_5000ms_p90_ticks,markout_5000ms_frac_favourable,markout_5000ms_frac_non_negative,required_benefit_5000ms_ticks,required_benefit_5000ms_usd_per_btc,required_benefit_5000ms_bps,median_spread_ticks,mean_spread_ticks,required_benefit_1s_in_half_spreads,required_benefit_1s_in_full_spreads
50,50,1,1,17767,10609,0.5971182529,9221,1388,0.8691676878,0.1308323122,17766,0.020938872,17766,0.04469210852,17764,0.2186444494,7610.143978,10609,0,-24.5941182,-17.5,-62.5,-38.5,-17.5,0.5,0.5,0.3424450938,0.3424450938,24.5941182,2.45941182,0.3644381003,10609,0,-42.31440287,-29.5,-105.5,-64.5,-29.5,0.5,0.5,0.3113394288,0.3113394288,42.31440287,4.231440287,0.6269190171,10608,1,-46.86562029,-32.5,-120.5,-72.5,-32.5,0.5,0.5,0.3009992459,0.3009992459,46.86562029,4.686562029,0.6940734833,10608,1,-58.12179487,-39.5,-182.5,-96.5,-39.5,0.5,20.5,0.2994909502,0.2994909502,58.12179487,5.812179487,0.8616155161,1,1.000787978,93.6574406,46.8287203
50,50,1,2,19871,12428,0.6254340496,10741,1687,0.8642581268,0.1357418732,19871,0.02425645413,19871,0.05017361985,19868,0.2375176163,7205.048047,12428,0,-23.63300612,-16.5,-60.5,-39.5,-16.5,0.5,0.5,0.3535564854,0.3535564854,23.63300612,2.363300612,0.3508194464,12428,0,-40.95952687,-27.5,-106.5,-63.5,-27.5,0.5,0.5,0.3243482459,0.3243482459,40.95952687,4.095952687,0.6079558132,12427,1,-44.93952684,-29.5,-117.5,-69.5,-29.5,0.5,0.5,0.3201899091,0.3201899091,44.93952684,4.493952684,0.6667339969,12422,6,-55.48398004,-38.5,-174.5,-93.5,-38.5,0.5,25.5,0.3110610208,0.3110610208,55.48398004,5.548398004,0.8238910862,1,1.000201298,89.86096481,44.9304824
50,50,1,3,18565,11587,0.6241314301,10241,1346,0.8838353327,0.1161646673,18564,0.02095453566,18564,0.04826546003,18562,0.2268613296,7611.34207,11587,0,-19.65374989,-8.5,-52.5,-33.5,-8.5,0.5,0.5,0.4126175887,0.4126175887,19.65374989,1.965374989,0.2968102903,11585,2,-32.55308589,-18.5,-91.5,-49.5,-18.5,0.5,0.5,0.3819594303,0.3819594303,32.55308589,3.255308589,0.4917639721,11585,2,-35.56905481,-20.5,-100.5,-54.5,-20.5,0.5,0.5,0.3722054381,0.3722054381,35.56905481,3.556905481,0.5370583007,11585,2,-45.08640483,-29.5,-139.5,-74.5,-29.5,0.5,0.5,0.3278377212,0.3278377212,45.08640483,4.508640483,0.6810798119,1,1.00134662,71.04244245,35.52122123
50,50,1,4,13213,8778,0.6643457201,7863,915,0.8957621326,0.1042378674,13213,0.02270491183,13213,0.0472262166,13213,0.2394611368,7749.272199,8778,0,-14.33435862,-0.5,-42.5,-24.5,-0.5,0.5,0.5,0.4716336295,0.4716336295,14.33435862,1.433435862,0.2206018087,8778,0,-23.48165869,-5.5,-73.5,-36.5,-5.5,0.5,0.5,0.4387104124,0.4387104124,23.48165869,2.348165869,0.3612701552,8778,0,-26.60480747,-7.5,-80.5,-39.5,-7.5,0.5,0.5,0.4204830257,0.4204830257,26.60480747,2.660480747,0.4093776064,8778,0,-33.34005468,-15.5,-103.5,-57.25,-15.5,0.5,0.5,0.3807245386,0.3807245386,33.34005468,3.334005468,0.5129479572,1,1.000454098,53.18546352,26.59273176
50,50,2,0,16947,11988,0.7073818375,10514,1474,0.8770437104,0.1229562896,16947,0.04337050805,16947,0.09376290789,16943,0.3611520982,4818.792141,11988,0,-32.37779446,-21.5,-83.8,-49.5,-21.5,0.5,0.5,0.3054721388,0.3054721388,32.37779446,3.237779446,0.4636186806,11988,0,-51.36782616,-34.5,-138.5,-80.5,-34.5,0.5,0.5,0.2844511178,0.2844511178,51.36782616,5.136782616,0.7369393439,11988,0,-56.95499666,-38.5,-161.5,-91.5,-38.5,0.5,0.5,0.2778611945,0.2778611945,56.95499666,5.695499666,0.8171094423,11988,0,-65.17475809,-45,-241.8,-130.5,-45,0.5,74.5,0.3099766433,0.3099766433,65.17475809,6.517475809,0.9374442534,1,1.000177022,113.8898323,56.94491613
50,50,2,1,19004,14206,0.7475268365,12160,2046,0.855976348,0.144023652,19003,0.04941325054,19003,0.1079303268,19003,0.4005683313,4478.801677,14206,0,-26.38149374,-18.5,-68.5,-42.5,-18.5,0.5,0.5,0.3320427988,0.3320427988,26.38149374,2.638149374,0.3850891413,14206,0,-44.68587217,-30.5,-115.5,-70.5,-30.5,0.5,0.5,0.2979726876,0.2979726876,44.68587217,4.468587217,0.6536712195,14205,1,-49.19848645,-34.5,-135.5,-77.5,-34.5,0.5,0.5,0.2895459345,0.2895459345,49.19848645,4.919848645,0.7199858444,14204,2,-58.76165165,-44.5,-206.5,-117.5,-44.5,0.5,66.5,0.3083638412,0.3083638412,58.76165165,5.876165165,0.8613789297,1,1.003946538,98.01017207,49.00508604
50,50,2,2,16950,13078,0.7715634218,11306,1772,0.864505276,0.135494724,16950,0.06100294985,16950,0.1246017699,16948,0.4304342695,4134.384562,13078,0,-24.81556813,-15.5,-66.5,-40.5,-15.5,0.5,0.5,0.3605291329,0.3605291329,24.81556813,2.481556813,0.3639904732,13078,0,-41.22159352,-27.5,-112.5,-66.5,-27.5,0.5,0.5,0.3269613091,0.3269613091,41.22159352,4.122159352,0.604880721,13076,2,-44.60381615,-30.5,-125.5,-74.5,-30.5,0.5,0.5,0.318369532,0.318369532,44.60381615,4.460381615,0.6546181792,13071,7,-56.15335475,-39.5,-201.5,-107.5,-39.5,0.5,64.5,0.3261418407,0.3261418407,56.15335475,5.615335475,0.8248336283,1,1.001297935,89.09199667,44.54599834
50,50,2,3,15539,12004,0.7725078834,10623,1381,0.884955015,0.115044985,15538,0.05644227056,15538,0.1146222165,15536,0.4216658084,4343.073353,12004,0,-20.54077807,-8.5,-58.5,-34.75,-8.5,0.5,0.5,0.41961013,0.4196934355,20.54077807,2.054077807,0.3044155595,12004,0,-34.47863212,-19.5,-99.5,-53.5,-19.5,0.5,0.5,0.3775408197,0.3775408197,34.47863212,3.447863212,0.5108968284,12002,2,-37.5117897,-22.5,-110.5,-60.5,-22.5,0.5,0.5,0.3668555241,0.3668555241,37.5117897,3.75117897,0.5556897287,11999,5,-46.32144345,-32.5,-167.5,-90.5,-32.5,0.5,43.5,0.3366947246,0.3366947246,46.32144345,4.632144345,0.6866038096,1,1.006306712,74.55339262,37.27669631
50,50,2,4,17266,14210,0.8230047492,12644,1566,0.8897959184,0.1102040816,17266,0.05583227152,17266,0.1139812348,17261,0.4259312902,4742.736128,14210,0,-15.16203378,-2.5,-44.5,-25.5,-2.5,0.5,0.5,0.4581280788,0.4581280788,15.16203378,1.516203378,0.2302396137,14210,0,-24.4257917,-7.5,-73.5,-38.5,-7.5,0.5,0.5,0.4213933849,0.4213933849,24.4257917,2.44257917,0.3708968449,14210,0,-26.86871921,-9.5,-80.5,-40.5,-9.5,0.5,0.5,0.4033075299,0.4033075299,26.86871921,2.686871921,0.4080316331,14210,0,-35.12308234,-20.5,-114.5,-61.5,-20.5,0.5,0.5,0.3510907811,0.3510907811,35.12308234,3.512308234,0.5334842142,1,1.005096722,53.46494248,26.73247124
50,50,3,0,21592,17843,0.8263708781,14975,2868,0.8392646976,0.1607353024,21592,0.1116154131,21591,0.2134222593,21589,0.5740423364,2467.885772,17843,0,-35.21069887,-26.5,-87.5,-55.5,-26.5,0.5,0.5,0.2854901082,0.2854901082,35.21069887,3.521069887,0.4934184182,17843,0,-53.15882979,-39.5,-142.5,-87,-39.5,0.5,0.5,0.2717592333,0.2717592333,53.15882979,5.315882979,0.7452807921,17843,0,-56.83542566,-44.5,-169.5,-99.5,-44.5,0.5,20.5,0.2779241159,0.2779241159,56.83542566,5.683542566,0.796925879,17843,0,-60.32295578,-52.5,-268.5,-153.5,-52.5,24.5,143.5,0.3423191167,0.3423191167,60.32295578,6.032295578,0.8471795715,1,1.001528344,113.4973883,56.74869414
50,50,3,1,17396,14536,0.8355943895,12387,2149,0.8521601541,0.1478398459,17396,0.120085077,17396,0.2236721085,17392,0.5911338546,2408.942101,14536,0,-27.80548294,-18.5,-72.5,-43.5,-18.5,0.5,0.5,0.3342735278,0.3343423225,27.80548294,2.780548294,0.3994180628,14536,0,-46.24054073,-32.5,-124.5,-72.5,-32.5,0.5,0.5,0.2967804073,0.2967804073,46.24054073,4.624054073,0.6658783858,14533,3,-50.83678525,-36.5,-149.5,-84.5,-36.5,0.5,0.5,0.2919562375,0.2919562375,50.83678525,5.083678525,0.7325578264,14533,3,-56.84191151,-45.5,-237.5,-134.5,-45.5,10.5,114.5,0.3420491296,0.3420491296,56.84191151,5.684191151,0.8204448934,1,1.007070591,100.9597256,50.47986279
50,50,3,2,13660,11792,0.863250366,10132,1660,0.8592265943,0.1407734057,13658,0.1453360668,13658,0.2607995314,13657,0.6341070513,2126.351588,11792,0,-24.62703528,-13.5,-68.5,-41.5,-13.5,0.5,0.5,0.3833955224,0.3833955224,24.62703528,2.462703528,0.3575849208,11790,2,-40.97909245,-26.5,-118.5,-68.5,-26.5,0.5,0.5,0.3374893978,0.3374893978,40.97909245,4.097909245,0.5959893552,11789,3,-45.2209687,-30.5,-138.5,-77.5,-30.5,0.5,0.5,0.3285265926,0.3285265926,45.2209687,4.52209687,0.6578650902,11788,4,-54.10850017,-39.5,-230.15,-123.5,-39.5,0.5,107.5,0.3446725484,0.3446725484,54.10850017,5.410850017,0.789472373,1,1.003587116,90.1186713,45.05933565
50,50,3,3,13175,11447,0.8688425047,10147,1300,0.8864331266,0.1135668734,13173,0.1459804145,13173,0.2541562286,13171,0.6422443247,2150.54172,11447,0,-21.11754171,-6.5,-62.5,-35.5,-6.5,0.5,0.5,0.4267493666,0.4267493666,21.11754171,2.111754171,0.3079774606,11447,0,-36.23656853,-18.5,-106.5,-58.5,-18.5,0.5,0.5,0.3755569145,0.3755569145,36.23656853,3.623656853,0.5291222897,11447,0,-39.56259282,-22.5,-119.5,-67.5,-22.5,0.5,0.5,0.3572114965,0.3572114965,39.56259282,3.956259282,0.5778361682,11443,4,-50.49864546,-36.5,-197.5,-106.5,-36.5,0.5,78.5,0.3391593114,0.3391593114,50.49864546,5.049864546,0.7377979456,1,1.032485769,76.63561867,38.31780934
50,50,3,4,19884,18015,0.906004828,16127,1888,0.8951984457,0.1048015543,19883,0.1303123271,19883,0.234874013,19877,0.6387281783,2484.743805,18015,0,-15.89458784,-1.5,-49.5,-26.5,-1.5,0.5,0.5,0.4673327782,0.4673327782,15.89458784,1.589458784,0.2362366044,18014,1,-26.07502498,-7.5,-80.5,-39.5,-7.5,0.5,0.5,0.4176196292,0.4176196292,26.07502498,2.607502498,0.3869316508,18014,1,-29.47796159,-10.5,-92.5,-45.5,-10.5,0.5,0.5,0.3939158432,0.3939158432,29.47796159,2.947796159,0.4373346944,18010,5,-38.62287618,-22.5,-149.5,-73.5,-22.5,0.5,34.5,0.3465297057,0.3465297057,38.62287618,3.862287618,0.5744646771,1,1.020016093,57.79901274,28.89950637
50,50,4,0,16026,14761,0.9210657681,10713,4048,0.7257638371,0.2742361629,16026,0.3964183202,16026,0.5367527767,16024,0.8079131303,699.886322,14761,0,-38.38506876,-30.5,-97.5,-61.5,-30.5,0.5,0.5,0.2801300725,0.2801300725,38.38506876,3.838506876,0.5386654508,14761,0,-53.32606192,-43.5,-157.5,-95.5,-43.5,0.5,24.5,0.2827721699,0.2827721699,53.32606192,5.332606192,0.7480252266,14761,0,-57.2112323,-47.5,-192.5,-112.5,-47.5,0.5,66.5,0.3003184066,0.3003184066,57.2112323,5.72112323,0.8028549274,14761,0,-63.07651921,-55.5,-342.5,-191.5,-55.5,61.5,219.5,0.3814104735,0.3814104735,63.07651921,6.307651921,0.8859472962,1,1.110632722,103.0245754,51.5122877
50,50,4,1,15797,14740,0.9330885611,11468,3272,0.7780189959,0.2219810041,15797,0.4132430208,15797,0.5618155346,15796,0.8320460876,649.061929,14740,0,-30.35858209,-21.5,-78.5,-48.5,-21.5,0.5,0.5,0.3257123474,0.3257123474,30.35858209,3.035858209,0.4270694447,14740,0,-44.47469471,-33.5,-130.5,-75.5,-33.5,0.5,3.5,0.3059701493,0.3059701493,44.47469471,4.447469471,0.62620606,14740,0,-48.80400271,-37.5,-161.5,-90.5,-37.5,0.5,47.5,0.3113297151,0.3113297151,48.80400271,4.880400271,0.6874912822,14739,1,-54.83435104,-47.5,-289.5,-159.5,-47.5,50.5,178.5,0.3716670059,0.3716670059,54.83435104,5.483435104,0.7724655337,1,1.12464392,86.79014194,43.39507097
50,50,4,2,13811,13039,0.944102527,10216,2823,0.7834956668,0.2165043332,13811,0.4329157918,13811,0.5778727102,13810,0.849384504,612.316758,13039,0,-27.66860956,-17.5,-75.5,-43.5,-17.5,0.5,0.5,0.3449651047,0.3449651047,27.66860956,2.766860956,0.3943372336,13038,1,-42.92947538,-29.5,-127.5,-72.5,-29.5,0.5,0.5,0.3087896917,0.3087896917,42.92947538,4.292947538,0.6124615437,13038,1,-47.08398527,-35.5,-154.5,-87.5,-35.5,0.5,37.5,0.3044178555,0.3044178555,47.08398527,4.708398527,0.6716743694,13037,2,-54.02772877,-45.5,-276.5,-149.5,-45.5,36.5,170.5,0.3593618164,0.3593618164,54.02772877,5.402772877,0.7728236202,1,1.144305264,82.29270066,41.14635033
50,50,4,3,15094,14332,0.9495163641,11319,3013,0.7897711415,0.2102288585,15094,0.4505101365,15094,0.5910957997,15092,0.8651603499,568.7501905,14332,0,-22.4539492,-13.5,-67.4,-39.5,-13.5,0.5,0.5,0.3652665364,0.3652665364,22.4539492,2.24539492,0.3232931212,14332,0,-35.81412224,-25.5,-115.5,-63.5,-25.5,0.5,0.5,0.3185877756,0.3185877756,35.81412224,3.581412224,0.5163757382,14331,1,-40.57525644,-30.5,-144.5,-76.5,-30.5,0.5,24.5,0.3073058405,0.3073756193,40.57525644,4.057525644,0.5852750099,14328,4,-50.19371161,-40.5,-260.5,-132.5,-40.5,21.5,149.5,0.3481295366,0.3481295366,50.19371161,5.019371161,0.7248136068,1,1.261030873,64.35251872,32.17625936
