alpha_pct,beta_pct,side,eligible_opportunities,filled,fill_rate_30000ms,at_quote_fills,trade_through_fills,at_quote_rate_given_fill,trade_through_rate_given_fill,fill_evaluable_500ms,fill_rate_500ms,fill_evaluable_1000ms,fill_rate_1000ms,fill_evaluable_5000ms,fill_rate_5000ms,median_time_to_fill_ms,markout_100ms_observed,markout_100ms_censored,markout_100ms_mean_ticks,markout_100ms_median_ticks,markout_100ms_p10_ticks,markout_100ms_p25_ticks,markout_100ms_p50_ticks,markout_100ms_p75_ticks,markout_100ms_p90_ticks,markout_100ms_frac_favourable,markout_100ms_frac_non_negative,required_benefit_100ms_ticks,required_benefit_100ms_usd_per_btc,required_benefit_100ms_bps,markout_500ms_observed,markout_500ms_censored,markout_500ms_mean_ticks,markout_500ms_median_ticks,markout_500ms_p10_ticks,markout_500ms_p25_ticks,markout_500ms_p50_ticks,markout_500ms_p75_ticks,markout_500ms_p90_ticks,markout_500ms_frac_favourable,markout_500ms_frac_non_negative,required_benefit_500ms_ticks,required_benefit_500ms_usd_per_btc,required_benefit_500ms_bps,markout_1000ms_observed,markout_1000ms_censored,markout_1000ms_mean_ticks,markout_1000ms_median_ticks,markout_1000ms_p10_ticks,markout_1000ms_p25_ticks,markout_1000ms_p50_ticks,markout_1000ms_p75_ticks,markout_1000ms_p90_ticks,markout_1000ms_frac_favourable,markout_1000ms_frac_non_negative,required_benefit_1000ms_ticks,required_benefit_1000ms_usd_per_btc,required_benefit_1000ms_bps,markout_5000ms_observed,markout_5000ms_censored,markout_5000ms_mean_ticks,markout_5000ms_median_ticks,markout_5000ms_p10_ticks,markout_5000ms_p25_ticks,markout_5000ms_p50_ticks,markout_5000ms_p75_ticks,markout_5000ms_p90_ticks,markout_5000ms_frac_favourable,markout_5000ms_frac_non_negative,required_benefit_5000ms_ticks,required_benefit_5000ms_usd_per_btc,required_benefit_5000ms_bps,median_spread_ticks,mean_spread_ticks,required_benefit_1s_in_half_spreads,required_benefit_1s_in_full_spreads
0,0,0,257039,248055,0.9650481055,241006,7049,0.9715829151,0.02841708492,257034,0.5281130123,257031,0.6895938622,256999,0.9221397749,423.021645,248055,0,-2.981141279,0.5,-5.5,0.5,0.5,0.5,0.5,0.8861341235,0.8861381548,2.981141279,0.2981141279,0.0431817109,248053,2,-4.653862279,0.5,-30.5,0.5,0.5,0.5,0.5,0.8420498845,0.8420498845,4.653862279,0.4653862279,0.0676601503,248047,8,-4.904510032,0.5,-43.5,0.5,0.5,0.5,7.5,0.8075001915,0.807504223,4.904510032,0.4904510032,0.07132389604,248017,38,-4.807364011,0.5,-107.5,-25.5,0.5,1.5,92.5,0.6862513457,0.6862513457,4.807364011,0.4807364011,0.07015100115,1,1.033578562,9.490347832,4.745173916
0,0,1,257039,248128,0.9653321091,241082,7046,0.971603366,0.028396634,257034,0.5359057557,257031,0.7009582502,256999,0.9275172277,415.017883,248128,0,-2.980344822,0.5,-6.5,0.5,0.5,0.5,0.5,0.8874572801,0.8874613103,2.980344822,0.2980344822,0.0430798731,248125,3,-4.990655919,0.5,-31.5,0.5,0.5,0.5,0.5,0.8446831234,0.8446831234,4.990655919,0.4990655919,0.07237854547,248121,7,-5.675944398,0.5,-46.5,0.5,0.5,0.5,6.5,0.8097944148,0.8097944148,5.675944398,0.5675944398,0.082411861,248088,40,-8.219172229,0.5,-113.5,-26.5,0.5,0.5,87.5,0.6875100771,0.6875100771,8.219172229,0.8219172229,0.1199561528,1,1.033578562,10.98309235,5.491546174
0,25,0,257039,248055,0.9650481055,241006,7049,0.9715829151,0.02841708492,257034,0.5281130123,257031,0.6895938622,256999,0.9221397749,423.021645,248055,0,-2.981141279,0.5,-5.5,0.5,0.5,0.5,0.5,0.8861341235,0.8861381548,2.981141279,0.2981141279,0.0431817109,248053,2,-4.653862279,0.5,-30.5,0.5,0.5,0.5,0.5,0.8420498845,0.8420498845,4.653862279,0.4653862279,0.0676601503,248047,8,-4.904510032,0.5,-43.5,0.5,0.5,0.5,7.5,0.8075001915,0.807504223,4.904510032,0.4904510032,0.07132389604,248017,38,-4.807364011,0.5,-107.5,-25.5,0.5,1.5,92.5,0.6862513457,0.6862513457,4.807364011,0.4807364011,0.07015100115,1,1.033578562,9.490347832,4.745173916
0,25,1,257039,248128,0.9653321091,241082,7046,0.971603366,0.028396634,257034,0.5359057557,257031,0.7009582502,256999,0.9275172277,415.017883,248128,0,-2.980344822,0.5,-6.5,0.5,0.5,0.5,0.5,0.8874572801,0.8874613103,2.980344822,0.2980344822,0.0430798731,248125,3,-4.990655919,0.5,-31.5,0.5,0.5,0.5,0.5,0.8446831234,0.8446831234,4.990655919,0.4990655919,0.07237854547,248121,7,-5.675944398,0.5,-46.5,0.5,0.5,0.5,6.5,0.8097944148,0.8097944148,5.675944398,0.5675944398,0.082411861,248088,40,-8.219172229,0.5,-113.5,-26.5,0.5,0.5,87.5,0.6875100771,0.6875100771,8.219172229,0.8219172229,0.1199561528,1,1.033578562,10.98309235,5.491546174
0,50,0,257039,248055,0.9650481055,241006,7049,0.9715829151,0.02841708492,257034,0.5281130123,257031,0.6895938622,256999,0.9221397749,423.021645,248055,0,-2.981141279,0.5,-5.5,0.5,0.5,0.5,0.5,0.8861341235,0.8861381548,2.981141279,0.2981141279,0.0431817109,248053,2,-4.653862279,0.5,-30.5,0.5,0.5,0.5,0.5,0.8420498845,0.8420498845,4.653862279,0.4653862279,0.0676601503,248047,8,-4.904510032,0.5,-43.5,0.5,0.5,0.5,7.5,0.8075001915,0.807504223,4.904510032,0.4904510032,0.07132389604,248017,38,-4.807364011,0.5,-107.5,-25.5,0.5,1.5,92.5,0.6862513457,0.6862513457,4.807364011,0.4807364011,0.07015100115,1,1.033578562,9.490347832,4.745173916
0,50,1,257039,248128,0.9653321091,241082,7046,0.971603366,0.028396634,257034,0.5359057557,257031,0.7009582502,256999,0.9275172277,415.017883,248128,0,-2.980344822,0.5,-6.5,0.5,0.5,0.5,0.5,0.8874572801,0.8874613103,2.980344822,0.2980344822,0.0430798731,248125,3,-4.990655919,0.5,-31.5,0.5,0.5,0.5,0.5,0.8446831234,0.8446831234,4.990655919,0.4990655919,0.07237854547,248121,7,-5.675944398,0.5,-46.5,0.5,0.5,0.5,6.5,0.8097944148,0.8097944148,5.675944398,0.5675944398,0.082411861,248088,40,-8.219172229,0.5,-113.5,-26.5,0.5,0.5,87.5,0.6875100771,0.6875100771,8.219172229,0.8219172229,0.1199561528,1,1.033578562,10.98309235,5.491546174
0,75,0,257039,248055,0.9650481055,241006,7049,0.9715829151,0.02841708492,257034,0.5281130123,257031,0.6895938622,256999,0.9221397749,423.021645,248055,0,-2.981141279,0.5,-5.5,0.5,0.5,0.5,0.5,0.8861341235,0.8861381548,2.981141279,0.2981141279,0.0431817109,248053,2,-4.653862279,0.5,-30.5,0.5,0.5,0.5,0.5,0.8420498845,0.8420498845,4.653862279,0.4653862279,0.0676601503,248047,8,-4.904510032,0.5,-43.5,0.5,0.5,0.5,7.5,0.8075001915,0.807504223,4.904510032,0.4904510032,0.07132389604,248017,38,-4.807364011,0.5,-107.5,-25.5,0.5,1.5,92.5,0.6862513457,0.6862513457,4.807364011,0.4807364011,0.07015100115,1,1.033578562,9.490347832,4.745173916
0,75,1,257039,248128,0.9653321091,241082,7046,0.971603366,0.028396634,257034,0.5359057557,257031,0.7009582502,256999,0.9275172277,415.017883,248128,0,-2.980344822,0.5,-6.5,0.5,0.5,0.5,0.5,0.8874572801,0.8874613103,2.980344822,0.2980344822,0.0430798731,248125,3,-4.990655919,0.5,-31.5,0.5,0.5,0.5,0.5,0.8446831234,0.8446831234,4.990655919,0.4990655919,0.07237854547,248121,7,-5.675944398,0.5,-46.5,0.5,0.5,0.5,6.5,0.8097944148,0.8097944148,5.675944398,0.5675944398,0.082411861,248088,40,-8.219172229,0.5,-113.5,-26.5,0.5,0.5,87.5,0.6875100771,0.6875100771,8.219172229,0.8219172229,0.1199561528,1,1.033578562,10.98309235,5.491546174
0,100,0,257039,248055,0.9650481055,241006,7049,0.9715829151,0.02841708492,257034,0.5281130123,257031,0.6895938622,256999,0.9221397749,423.021645,248055,0,-2.981141279,0.5,-5.5,0.5,0.5,0.5,0.5,0.8861341235,0.8861381548,2.981141279,0.2981141279,0.0431817109,248053,2,-4.653862279,0.5,-30.5,0.5,0.5,0.5,0.5,0.8420498845,0.8420498845,4.653862279,0.4653862279,0.0676601503,248047,8,-4.904510032,0.5,-43.5,0.5,0.5,0.5,7.5,0.8075001915,0.807504223,4.904510032,0.4904510032,0.07132389604,248017,38,-4.807364011,0.5,-107.5,-25.5,0.5,1.5,92.5,0.6862513457,0.6862513457,4.807364011,0.4807364011,0.07015100115,1,1.033578562,9.490347832,4.745173916
0,100,1,257039,248128,0.9653321091,241082,7046,0.971603366,0.028396634,257034,0.5359057557,257031,0.7009582502,256999,0.9275172277,415.017883,248128,0,-2.980344822,0.5,-6.5,0.5,0.5,0.5,0.5,0.8874572801,0.8874613103,2.980344822,0.2980344822,0.0430798731,248125,3,-4.990655919,0.5,-31.5,0.5,0.5,0.5,0.5,0.8446831234,0.8446831234,4.990655919,0.4990655919,0.07237854547,248121,7,-5.675944398,0.5,-46.5,0.5,0.5,0.5,6.5,0.8097944148,0.8097944148,5.675944398,0.5675944398,0.082411861,248088,40,-8.219172229,0.5,-113.5,-26.5,0.5,0.5,87.5,0.6875100771,0.6875100771,8.219172229,0.8219172229,0.1199561528,1,1.033578562,10.98309235,5.491546174
