alpha_pct,beta_pct,side,horizon_ms,observed_fills,p_trade_through_given_fill,p_at_quote_given_fill,mean_markout_trade_through_ticks,mean_markout_at_quote_ticks,mean_markout_total_ticks,reconstructed_mean_ticks,reconstruction_error_ticks,required_benefit_ticks
25,0,0,500,180175,0.3634188983,0.6365811017,-49.22559141,-27.61768937,-35.47040932,-35.47040932,0,35.47040932
25,0,0,1000,180153,0.3634244226,0.6365755774,-53.07122892,-30.56324064,-38.74319329,-38.74319329,0,38.74319329
25,0,0,5000,180149,0.3634213901,0.6365786099,-60.36774859,-36.89475841,-45.42534513,-45.42534513,0,45.42534513
25,0,1,100,177568,0.3549457109,0.6450542891,-34.10543894,-18.07171231,-23.76281481,-23.76281481,0,23.76281481
25,0,1,500,177563,0.3549444423,0.6450555577,-52.91069417,-29.316873,-37.6913687,-37.6913687,-7.105427358e-15,37.6913687
25,0,1,1000,177562,0.3549464412,0.6450535588,-57.27529552,-32.21291373,-41.10871696,-41.10871696,-7.105427358e-15,41.10871696
25,0,1,5000,177528,0.354901762,0.645098238,-69.6026109,-40.25769059,-50.67225452,-50.67225452,0,50.67225452
25,25,0,100,190466,0.09532409984,0.9046759002,-31.11695858,-16.24113807,-17.65916227,-17.65916227,0,17.65916227
25,25,0,500,190462,0.09532610179,0.9046738982,-46.08135052,-26.51192646,-28.37740337,-28.37740337,0,28.37740337
25,25,0,1000,190435,0.09533436606,0.9046656339,-49.87185348,-29.49369341,-31.43643238,-31.43643238,3.552713679e-15,31.43643238
25,25,0,5000,190429,0.09533736983,0.9046626302,-52.48763426,-36.5566075,-38.07542969,-38.07542969,7.105427358e-15,38.07542969
25,25,1,100,188294,0.08806972076,0.9119302792,-32.01028161,-17.26159943,-18.56051175,-18.56051175,0,18.56051175
25,25,1,500,188288,0.08806190517,0.9119380948,-48.2272179,-28.84560618,-30.55238783,-30.55238783,-3.552713679e-15,30.55238783
25,25,1,1000,188287,0.08806237287,0.9119376271,-52.260117,-32.10527297,-33.88015636,-33.88015636,0,33.88015636
25,25,1,5000,188253,0.08804109363,0.9119589064,-64.65871244,-41.20159717,-43.26678725,-43.26678725,0,43.26678725
25,50,0,100,201130,0.07234624372,0.9276537563,-31.85241564,-12.17047471,-13.5943892,-13.5943892,1.776356839e-15,13.5943892
25,50,0,500,201126,0.07234768255,0.9276523175,-46.32805305,-20.45260083,-22.32462983,-22.32462983,0,22.32462983
25,50,0,1000,201104,0.07235062455,0.9276493754,-50.05405498,-23.17529777,-25.11999264,-25.11999264,0,25.11999264
25,50,0,5000,201092,0.07235494202,0.927645058,-50.83446735,-29.9356204,-31.44775526,-31.44775526,0,31.44775526
25,50,1,100,200412,0.06735624613,0.9326437539,-32.38502852,-12.99306629,-14.29923607,-14.29923607,0,14.29923607
25,50,1,500,200406,0.06734828299,0.932651717,-48.09016819,-22.48386381,-24.20840444,-24.20840444,3.552713679e-15,24.20840444
25,50,1,1000,200405,0.06734861905,0.932651381,-51.99507298,-25.51478267,-27.29819366,-27.29819366,0,27.29819366
25,50,1,5000,200375,0.06732875858,0.9326712414,-63.85449559,-34.01811819,-36.02696444,-36.02696444,0,36.02696444
25,75,0,100,205658,0.06715517996,0.93284482,-31.95499964,-10.85592686,-12.27283889,-12.27283889,0,12.27283889
25,75,0,500,205654,0.06715648614,0.9328435139,-46.30124538,-18.40839906,-20.2815846,-20.2815846,0,20.2815846
25,75,0,1000,205636,0.0671575016,0.9328424984,-49.88106445,-21.01589983,-22.95441217,-22.95441217,0,22.95441217
25,75,0,5000,205622,0.0671620741,0.9328379259,-50.30988414,-27.41336048,-28.9511385,-28.9511385,3.552713679e-15,28.9511385
25,75,1,100,204838,0.06312793525,0.9368720648,-32.39312505,-11.65147181,-12.96084955,-12.96084955,-1.776356839e-15,12.96084955
25,75,1,500,204833,0.06311971216,0.9368802878,-47.8934179,-20.31323735,-22.05409041,-22.05409041,0,22.05409041
