regime,signal_column,alpha_pct,beta_pct,bucket,eligible_opportunities,filled,fill_rate_30000ms,at_quote_fills,trade_through_fills,at_quote_rate_given_fill,trade_through_rate_given_fill,fill_evaluable_500ms,fill_rate_500ms,fill_evaluable_1000ms,fill_rate_1000ms,fill_evaluable_5000ms,fill_rate_5000ms,median_time_to_fill_ms,markout_100ms_observed,markout_100ms_censored,markout_100ms_mean_ticks,markout_100ms_median_ticks,markout_100ms_p10_ticks,markout_100ms_p25_ticks,markout_100ms_p50_ticks,markout_100ms_p75_ticks,markout_100ms_p90_ticks,markout_100ms_frac_favourable,markout_100ms_frac_non_negative,required_benefit_100ms_ticks,required_benefit_100ms_usd_per_btc,required_benefit_100ms_bps,markout_500ms_observed,markout_500ms_censored,markout_500ms_mean_ticks,markout_500ms_median_ticks,markout_500ms_p10_ticks,markout_500ms_p25_ticks,markout_500ms_p50_ticks,markout_500ms_p75_ticks,markout_500ms_p90_ticks,markout_500ms_frac_favourable,markout_500ms_frac_non_negative,required_benefit_500ms_ticks,required_benefit_500ms_usd_per_btc,required_benefit_500ms_bps,markout_1000ms_observed,markout_1000ms_censored,markout_1000ms_mean_ticks,markout_1000ms_median_ticks,markout_1000ms_p10_ticks,markout_1000ms_p25_ticks,markout_1000ms_p50_ticks,markout_1000ms_p75_ticks,markout_1000ms_p90_ticks,markout_1000ms_frac_favourable,markout_1000ms_frac_non_negative,required_benefit_1000ms_ticks,required_benefit_1000ms_usd_per_btc,required_benefit_1000ms_bps,markout_5000ms_observed,markout_5000ms_censored,markout_5000ms_mean_ticks,markout_5000ms_median_ticks,markout_5000ms_p10_ticks,markout_5000ms_p25_ticks,markout_5000ms_p50_ticks,markout_5000ms_p75_ticks,markout_5000ms_p90_ticks,markout_5000ms_frac_favourable,markout_5000ms_frac_non_negative,required_benefit_5000ms_ticks,required_benefit_5000ms_usd_per_btc,required_benefit_5000ms_bps,median_spread_ticks,mean_spread_ticks,required_benefit_1s_in_half_spreads,required_benefit_1s_in_full_spreads,signal_mean
trade_intensity,trade_count_1000ms,50,50,1,64812,40056,0.6180336975,36654,3402,0.9150689035,0.08493109646,64812,0.0401160279,64812,0.07523298155,64800,0.2703395062,6258.808611,40056,0,-19.38438686,-7.5,-53.5,-32.5,-7.5,0.5,0.5,0.4156680647,0.4156680647,19.38438686,1.938438686,0.2911072625,40056,0,-31.31962752,-15.5,-88.5,-47.5,-15.5,0.5,0.5,0.3829388856,0.3829388856,31.31962752,3.131962752,0.4700220477,40052,4,-34.50996205,-18.5,-97.5,-53.5,-18.5,0.5,0.5,0.3677219615,0.3677219615,34.50996205,3.450996205,0.5177770702,40048,8,-43.88779714,-27.5,-134.5,-73.5,-27.5,0.5,0.5,0.3266330404,0.3266330404,43.88779714,4.388779714,0.6597100456,1,1,69.0199241,34.50996205,3
trade_intensity,trade_count_1000ms,50,50,2,82804,57964,0.7000144921,53023,4941,0.9147574356,0.08524256435,82798,0.06378173386,82796,0.1163824339,82784,0.3748188056,4408.153593,57964,0,-21.75772031,-9.5,-60.5,-36.5,-9.5,0.5,0.5,0.4065109378,0.4065109378,21.75772031,2.175772031,0.3202960823,57960,4,-36.05916149,-19.5,-100.5,-55.5,-19.5,0.5,0.5,0.3669427191,0.3669427191,36.05916149,3.605916149,0.5311208488,57958,6,-39.87234722,-23.5,-114.5,-63.5,-23.5,0.5,0.5,0.3491666379,0.3491666379,39.87234722,3.987234722,0.5872689591,57952,12,-49.59360333,-33.5,-169.5,-90.5,-33.5,0.5,31.5,0.3209552733,0.3209552733,49.59360333,4.959360333,0.7323222503,1,1.000193227,79.72928855,39.86464428,4.417854309
trade_intensity,trade_count_1000ms,50,50,3,101526,81895,0.8066406635,72874,9021,0.889846755,0.110153245,101526,0.1457262179,101524,0.2446416611,101510,0.5650182248,2266.233508,81895,0,-24.8985286,-12.5,-69.5,-39.5,-12.5,0.5,0.5,0.3760302827,0.3760302827,24.8985286,2.48985286,0.3593574352,81893,2,-41.48280683,-24.5,-117.5,-66.5,-24.5,0.5,0.5,0.328391926,0.328391926,41.48280683,4.148280683,0.6000163679,81887,8,-46.13547938,-29.5,-138.5,-76.5,-29.5,0.5,0.5,0.3133464408,0.3133464408,46.13547938,4.613547938,0.6675863625,81876,19,-55.27969735,-40.5,-222.5,-120.5,-40.5,0.5,94.5,0.3255288485,0.3255288485,55.27969735,5.527969735,0.8016991099,1,1.000906172,92.18742112,46.09371056,9.631089211
trade_intensity,trade_count_1000ms,50,50,4,102702,87150,0.8485715955,62604,24546,0.7183476764,0.2816523236,102700,0.2989581305,102700,0.4068743914,102690,0.6672996397,1118.348166,87150,0,-28.34779116,-19.5,-76.5,-45.5,-19.5,0.5,0.5,0.2962478485,0.2962707975,28.34779116,2.834779116,0.407067993,87150,0,-43.17893287,-31.5,-128.5,-72.5,-31.5,0.5,0.5,0.2763166954,0.2763166954,43.17893287,4.317893287,0.6215014136,87146,4,-46.9346958,-35.5,-155.5,-86.5,-35.5,0.5,34.5,0.2843848255,0.2843963005,46.9346958,4.69346958,0.6760070072,87134,16,-54.48085133,-43.5,-277.5,-143.5,-43.5,29.5,158.5,0.3489223495,0.3489223495,54.48085133,5.448085133,0.7863552367,1,1.167026932,80.43464037,40.21732018,83.75034332
trade_intensity,trade_count_1000ms,100,0,0,162234,71893,0.4431438539,15024,56869,0.2089772301,0.7910227699,162232,0.01989126683,162230,0.03750847562,162214,0.1489575499,8687.938115,71893,0,-27.51354096,-23.5,-57.5,-38.5,-23.5,-8.5,0.5,0.1028890156,0.1028890156,27.51354096,2.751354096,0.4208508379,71893,0,-42.05439333,-32.5,-94.5,-58.5,-32.5,-13.5,-0.5,0.08633663917,0.08633663917,42.05439333,4.205439333,0.6428496854,71893,0,-45.22425688,-34.5,-102.5,-63.5,-34.5,-14.5,-0.5,0.08922982766,0.08922982766,45.22425688,4.522425688,0.6910539567,71892,1,-55.05067323,-39.5,-131.5,-80.5,-39.5,-17.5,0.5,0.1074945752,0.1074945752,55.05067323,5.505067323,0.842130045,1,1,90.44851376,45.22425688,1.302920461
trade_intensity,trade_count_1000ms,100,0,1,64812,34253,0.528497809,7613,26640,0.2222579044,0.7777420956,64812,0.03221625625,64812,0.06003517867,64800,0.2154783951,6948.432942,34253,0,-29.64667328,-25.5,-64.5,-39.5,-25.5,-8.5,0.5,0.1068519546,0.1068519546,29.64667328,2.964667328,0.4450723069,34253,0,-45.99597116,-34.5,-102.5,-64.5,-34.5,-14.5,-0.5,0.09187516422,0.09187516422,45.99597116,4.599597116,0.6899744876,34250,3,-49.78913869,-36.5,-113.5,-70.5,-36.5,-15.5,-0.5,0.09661313869,0.09661313869,49.78913869,4.978913869,0.7467115193,34246,7,-60.40157975,-43.5,-154.5,-91.5,-43.5,-16.5,0.5,0.1352858728,0.1352858728,60.40157975,6.040157975,0.9071179721,1,1,99.57827737,49.78913869,3
trade_intensity,trade_count_1000ms,100,0,2,82804,51554,0.6226027728,11521,40033,0.2234744152,0.7765255848,82798,0.05089494915,82796,0.09274602638,82784,0.303222845,5241.604033,51554,0,-33.04610699,-27.5,-71.5,-45.5,-27.5,-9.5,0.5,0.1039104628,0.1039104628,33.04610699,3.304610699,0.4861620517,51553,1,-52.0225981,-39.5,-118.5,-73.5,-39.5,-15.5,-0.5,0.09291408841,0.09291408841,52.0225981,5.20225981,0.7657061526,51551,3,-56.34029408,-40.5,-132.5,-80.5,-40.5,-16.5,0.5,0.1008515839,0.1008515839,56.34029408,5.634029408,0.8293829549,51544,10,-67.47043303,-50.5,-189.5,-108.5,-50.5,-13.5,14.5,0.1678371876,0.1678371876,67.47043303,6.747043303,0.995186148,1,1.000193227,112.6588194,56.32940969,4.417854309
trade_intensity,trade_count_1000ms,100,0,3,101526,77054,0.7589582964,18684,58370,0.2424793002,0.7575206998,101526,0.1174083486,101524,0.1948800284,101510,0.4795685154,2974.106927,77054,0,-35.84987152,-28.5,-80.5,-50.5,-28.5,-9.5,0.5,0.1122459574,0.1122459574,35.84987152,3.584987152,0.517484474,77053,1,-56.82697624,-41.5,-135.5,-83.5,-41.5,-14.5,0.5,0.1098334912,0.1098334912,56.82697624,5.682697624,0.8218327909,77047,7,-61.75555181,-45.5,-156.5,-93.5,-45.5,-14.5,0.5,0.1293106805,0.1293106805,61.75555181,6.175555181,0.89341176,77036,18,-71.76220858,-57.5,-240.5,-138.5,-57.5,-1.5,79.5,0.2375902176,0.2375902176,71.76220858,7.176220858,1.040418045,1,1.000906172,123.3992827,61.69964133,9.631089211
trade_intensity,trade_count_1000ms,100,0,4,102702,84260,0.8204319293,15824,68436,0.1877996677,0.8122003323,102700,0.2638072055,102700,0.3577020448,102690,0.6118219885,1407.091039,84260,0,-36.66192737,-30.5,-84.5,-53.5,-30.5,-10.5,0.5,0.1114051745,0.1114289105,36.66192737,3.666192737,0.5265176164,84260,0,-53.71504866,-41.5,-139.5,-83.5,-41.5,-13.5,0.5,0.1386660337,0.1386660337,53.71504866,5.371504866,0.773130985,84257,3,-57.80316769,-45.5,-168.5,-97.5,-45.5,-11.5,25.5,0.1742763213,0.1742881897,57.80316769,5.780316769,0.832416161,84246,14,-65.64486741,-55.5,-291.5,-156.5,-55.5,18.5,150.5,0.300536524,0.300536524,65.64486741,6.564486741,0.947148334,1,1.167026932,99.0605548,49.5302774,83.75034332
spread_state,spread_ticks,0,100,0,514078,496183,0.9651901073,482088,14095,0.971593142,0.02840685795,514068,0.532009384,514062,0.6952760562,513998,0.9248285013,418.975522,496183,0,-2.980742992,0.5,-6.5,0.5,0.5,0.5,0.5,0.8867957991,0.8867998299,2.980742992,0.2980742992,0.04313078451,496178,5,-4.822283535,0.5,-30.5,0.5,0.5,0.5,0.5,0.843366695,0.843366695,4.822283535,0.4822283535,0.07001969023,496168,15,-5.290284742,0.5,-44.5,0.5,0.5,0.5,6.5,0.8086474742,0.8086494897,5.290284742,0.5290284742,0.07686870537,496105,78,-6.513512261,0.5,-110.5,-25.5,0.5,1.5,90.5,0.6868808014,0.6868808014,6.513512261,0.6513512261,0.09505714091,1,1.033578562,10.23683141,5.118415703,1.033578562
spread_state,spread_ticks,50,50,0,514078,355083,0.69071814,305419,49664,0.8601341095,0.1398658905,514068,0.1115416637,514062,0.1725861861,513998,0.3989743151,3584.607099,355083,0,-22.80207304,-11.5,-63.5,-37.5,-11.5,0.5,0.5,0.3783622421,0.3783678746,22.80207304,2.280207304,0.3347121836,355076,7,-36.49094982,-21.5,-104.5,-58.5,-21.5,0.5,0.5,0.345250031,0.345250031,36.49094982,3.649094982,0.5362846422,355052,31,-40.10587041,-24.5,-121.5,-66.5,-24.5,0.5,0.5,0.335908543,0.3359113595,40.10587041,4.010587041,0.5895020045,355018,65,-48.80062279,-32.5,-190.5,-95.5,-32.5,0.5,63.5,0.3331464883,0.3331464883,48.80062279,4.880062279,0.7193601636,1,1.033578562,77.60584803,38.80292402,1.033578562
spread_state,spread_ticks,100,0,0,514078,319014,0.6205556355,68666,250348,0.215244472,0.784755528,514068,0.0944271964,514062,0.1442938789,513998,0.3399565757,4089.384776,319014,0,-33.0665347,-26.5,-73.5,-46.5,-26.5,-9.5,0.5,0.1079889911,0.1079952604,33.0665347,3.30665347,0.485256172,319012,2,-50.73651305,-38.5,-120.5,-73.5,-38.5,-14.5,0.5,0.1074912542,0.1074912542,50.73651305,5.073651305,0.7454053035,318998,16,-54.82600361,-39.5,-139.5,-81.5,-39.5,-14.5,0.5,0.1240446649,0.1240477997,54.82600361,5.482600361,0.8055972661,318964,50,-64.46653071,-48.5,-212.5,-114.5,-48.5,-7.5,54.5,0.2026372882,0.2026372882,64.46653071,6.446653071,0.9494693858,1,1.033578562,106.0896687,53.04483435,1.033578562
