regime,signal_column,alpha_pct,beta_pct,bucket,eligible_opportunities,filled,fill_rate_30000ms,at_quote_fills,trade_through_fills,at_quote_rate_given_fill,trade_through_rate_given_fill,fill_evaluable_500ms,fill_rate_500ms,fill_evaluable_1000ms,fill_rate_1000ms,fill_evaluable_5000ms,fill_rate_5000ms,median_time_to_fill_ms,markout_100ms_observed,markout_100ms_censored,markout_100ms_mean_ticks,markout_100ms_median_ticks,markout_100ms_p10_ticks,markout_100ms_p25_ticks,markout_100ms_p50_ticks,markout_100ms_p75_ticks,markout_100ms_p90_ticks,markout_100ms_frac_favourable,markout_100ms_frac_non_negative,required_benefit_100ms_ticks,required_benefit_100ms_usd_per_btc,required_benefit_100ms_bps,markout_500ms_observed,markout_500ms_censored,markout_500ms_mean_ticks,markout_500ms_median_ticks,markout_500ms_p10_ticks,markout_500ms_p25_ticks,markout_500ms_p50_ticks,markout_500ms_p75_ticks,markout_500ms_p90_ticks,markout_500ms_frac_favourable,markout_500ms_frac_non_negative,required_benefit_500ms_ticks,required_benefit_500ms_usd_per_btc,required_benefit_500ms_bps,markout_1000ms_observed,markout_1000ms_censored,markout_1000ms_mean_ticks,markout_1000ms_median_ticks,markout_1000ms_p10_ticks,markout_1000ms_p25_ticks,markout_1000ms_p50_ticks,markout_1000ms_p75_ticks,markout_1000ms_p90_ticks,markout_1000ms_frac_favourable,markout_1000ms_frac_non_negative,required_benefit_1000ms_ticks,required_benefit_1000ms_usd_per_btc,required_benefit_1000ms_bps,markout_5000ms_observed,markout_5000ms_censored,markout_5000ms_mean_ticks,markout_5000ms_median_ticks,markout_5000ms_p10_ticks,markout_5000ms_p25_ticks,markout_5000ms_p50_ticks,markout_5000ms_p75_ticks,markout_5000ms_p90_ticks,markout_5000ms_frac_favourable,markout_5000ms_frac_non_negative,required_benefit_5000ms_ticks,required_benefit_5000ms_usd_per_btc,required_benefit_5000ms_bps,median_spread_ticks,mean_spread_ticks,required_benefit_1s_in_half_spreads,required_benefit_1s_in_full_spreads,signal_mean
depth_event_intensity,depth_event_count_1000ms,50,50,0,513708,354770,0.6906063367,305213,49557,0.860312315,0.139687685,513698,0.1113377899,513692,0.1723561979,513628,0.398773042,3588.311976,354770,0,-22.78432928,-11.5,-63.5,-37.5,-11.5,0.5,0.5,0.3783239846,0.378329622,22.78432928,2.278432928,0.3344517297,354763,7,-36.47630108,-21.5,-104.5,-58.5,-21.5,0.5,0.5,0.3452332966,0.3452332966,36.47630108,3.647630108,0.536068065,354739,31,-40.11043894,-24.5,-120.5,-66.5,-24.5,0.5,0.5,0.3358863841,0.3358863841,40.11043894,4.011043894,0.5895614511,354705,65,-48.84027008,-32.5,-189.5,-95.5,-32.5,0.5,62.5,0.3330852398,0.3330852398,48.84027008,4.884027008,0.7199297664,1,1.029962547,77.88717962,38.94358981,9.801268578
depth_event_intensity,depth_event_count_1000ms,50,50,1,370,313,0.8459459459,206,107,0.6581469649,0.3418530351,370,0.3945945946,370,0.4918918919,370,0.6783783784,639.343198,313,0,-42.91373802,-12.5,-93.3,-45.5,-12.5,0.5,38.7,0.4217252396,0.4217252396,42.91373802,4.291373802,0.6299237103,313,0,-53.0942492,-22.5,-180.7,-88.5,-22.5,0.5,92.3,0.3642172524,0.3642172524,53.0942492,5.30942492,0.781759386,313,0,-34.92811502,-29.5,-218.1,-103.5,-29.5,0.5,130.5,0.3610223642,0.3642172524,34.92811502,3.492811502,0.5221281053,313,0,-3.870607029,-32.5,-410.3,-195.5,-32.5,89.5,440.9,0.4025559105,0.4025559105,3.870607029,0.3870607029,0.07386190603,1,6.054054054,11.53875228,5.769376141,11.60540581
depth_event_intensity,depth_event_count_1000ms,100,0,0,513708,318717,0.6204244435,68623,250094,0.2153101341,0.7846898659,513698,0.09425966229,513692,0.144084393,513628,0.3397478331,4093.359853,318717,0,-33.04947493,-26.5,-73.5,-46.5,-26.5,-9.5,0.5,0.1078574409,0.1078637161,33.04947493,3.304947493,0.4850045445,318715,2,-50.72289349,-38.5,-120.5,-73.5,-38.5,-14.5,0.5,0.1073655146,0.1073655146,50.72289349,5.072289349,0.7452005053,318701,16,-54.83200084,-39.5,-139.5,-81.5,-39.5,-14.5,0.5,0.123921795,0.123921795,54.83200084,5.483200084,0.805673982,318667,50,-64.51337132,-48.5,-211.5,-114.5,-48.5,-7.5,54.5,0.2024966501,0.2024966501,64.51337132,6.451337132,0.9501380843,1,1.029962547,106.4737762,53.23688809,9.801268578
depth_event_intensity,depth_event_count_1000ms,100,0,1,370,297,0.8027027027,43,254,0.1447811448,0.8552188552,370,0.327027027,370,0.4351351351,370,0.6297297297,799.337983,297,0,-51.37373737,-27.5,-100.1,-53.5,-27.5,-0.5,40.7,0.2491582492,0.2491582492,51.37373737,5.137373737,0.7552829737,297,0,-65.35185185,-38.5,-205.5,-99.5,-38.5,-0.5,91.9,0.2424242424,0.2424242424,65.35185185,6.535185185,0.9651771302,297,0,-48.39057239,-42.5,-262.9,-119.5,-42.5,0.5,128.7,0.2558922559,0.2592592593,48.39057239,4.839057239,0.7232759667,297,0,-14.20875421,-49.5,-420.5,-209.5,-49.5,89.5,500.3,0.3535353535,0.3535353535,14.20875421,1.420875421,0.2319873919,1,6.054054054,15.98617124,7.993085618,11.60540581
trade_intensity,trade_count_1000ms,0,100,0,162234,156450,0.9643477939,156309,141,0.9990987536,0.0009012464046,162232,0.3208121702,162230,0.5109720767,162214,0.9078439592,904.08298,156450,0,-0.9100287632,0.5,0.5,0.5,0.5,0.5,0.5,0.9482646213,0.9482646213,0.9100287632,0.09100287632,0.01378278832,156450,0,-1.702422499,0.5,0.5,0.5,0.5,0.5,0.5,0.9325918824,0.9325918824,1.702422499,0.1702422499,0.02579992003,156447,3,-1.966499837,0.5,0.5,0.5,0.5,0.5,0.5,0.9158437043,0.9158437043,1.966499837,0.1966499837,0.02980816494,156438,12,-2.599186259,0.5,-36.5,0.5,0.5,0.5,21.5,0.8226326084,0.8226326084,2.599186259,0.2599186259,0.03962092465,1,1,3.932999674,1.966499837,1.302920461
trade_intensity,trade_count_1000ms,0,100,1,64812,62516,0.9645744615,62406,110,0.9982404504,0.001759549555,64812,0.420523977,64812,0.6249305684,64800,0.9270833333,621.2630475,62516,0,-1.287854309,0.5,0.5,0.5,0.5,0.5,0.5,0.9368161751,0.9368161751,1.287854309,0.1287854309,0.01906286093,62516,0,-2.434768699,0.5,0.5,0.5,0.5,0.5,0.5,0.9129182929,0.9129182929,2.434768699,0.2434768699,0.03614205754,62516,0,-2.651945102,0.5,-7.5,0.5,0.5,0.5,0.5,0.8886045172,0.8886045172,2.651945102,0.2651945102,0.03934723175,62502,14,-3.729752648,0.5,-59.5,0.5,0.5,0.5,41.5,0.7671114524,0.7671114524,3.729752648,0.3729752648,0.05560684625,1,1,5.303890204,2.651945102,3
trade_intensity,trade_count_1000ms,0,100,2,82804,80355,0.9704241341,80089,266,0.9966896895,0.003310310497,82798,0.5389502162,82796,0.7403014638,82784,0.942513046,427.815713,80355,0,-1.817124012,0.5,0.5,0.5,0.5,0.5,0.5,0.9235517392,0.9235517392,1.817124012,0.1817124012,0.02643241487,80350,5,-3.186857498,0.5,-7.5,0.5,0.5,0.5,0.5,0.8881393902,0.8881393902,3.186857498,0.3186857498,0.04649770842,80349,6,-3.556603069,0.5,-28.5,0.5,0.5,0.5,0.5,0.853426925,0.853426925,3.556603069,0.3556603069,0.05190558813,80338,17,-4.588451293,0.5,-91.5,-20.5,0.5,0.5,75.5,0.7000423212,0.7000423212,4.588451293,0.4588451293,0.06736170187,1,1.000193227,7.111831938,3.555915969,4.417854309
trade_intensity,trade_count_1000ms,0,100,3,101526,98514,0.9703327227,96826,1688,0.9828653795,0.01713462046,101526,0.7279711601,101524,0.8611165833,101510,0.9452073687,220.436394,98514,0,-2.89245691,0.5,-6.5,0.5,0.5,0.5,0.5,0.8829607975,0.8829709483,2.89245691,0.289245691,0.04161454201,98514,0,-5.077831577,0.5,-39.5,0.5,0.5,0.5,0.5,0.8130113486,0.8130113486,5.077831577,0.5077831577,0.07316912265,98509,5,-5.693256454,0.5,-61.5,0.5,0.5,0.5,35.5,0.7549767026,0.7549767026,5.693256454,0.5693256454,0.08210504737,98496,18,-7.079998173,0.5,-154.5,-59.5,0.5,42.5,136.5,0.5840034113,0.5840034113,7.079998173,0.7079998173,0.1024794816,1,1.000906172,11.37620411,5.688102056,9.631089211
trade_intensity,trade_count_1000ms,0,100,4,102702,98348,0.9576054994,86458,11890,0.8791027779,0.1208972221,102700,0.7366699124,102700,0.8305647517,102690,0.9158340637,159.9637155,98348,0,-8.390063855,0.5,-43.5,-3.5,0.5,0.5,0.5,0.7310265588,0.7310367267,8.390063855,0.8390063855,0.1202781888,98348,0,-12.38310388,0.5,-81.5,-27.5,0.5,0.5,37.5,0.6510452678,0.6510452678,12.38310388,1.238310388,0.1779609314,98347,1,-13.26752723,0.5,-105.5,-40.5,0.5,0.5,67.5,0.6044719209,0.6044820889,13.26752723,1.326752723,0.1907319397,98331,17,-15.51574783,0.5,-225.5,-96.5,0.5,65.5,189.5,0.5122087643,0.5122087643,15.51574783,1.551574783,0.2235209868,1,1.167026932,22.73731112,11.36865556,83.75034332
trade_intensity,trade_count_1000ms,50,50,0,162234,88018,0.5425373226,80264,7754,0.9119043832,0.08809561681,162232,0.02441565166,162230,0.04675460766,162214,0.1889171095,8242.268323,88018,0,-17.60353564,-6.5,-47.5,-29.5,-6.5,0.5,0.5,0.4263218887,0.4263218887,17.60353564,1.760353564,0.2694769127,88017,1,-27.86208346,-13.5,-79.5,-41.5,-13.5,0.5,0.5,0.3977527069,0.3977527069,27.86208346,2.786208346,0.426165962,88009,9,-30.43425104,-15.5,-87.5,-45.5,-15.5,0.5,0.5,0.3847106546,0.3847106546,30.43425104,3.043425104,0.4653043785,88008,10,-38.86257499,-24.5,-113.5,-63.5,-24.5,0.5,0.5,0.335605854,0.335605854,38.86257499,3.886257499,0.5950368839,1,1,60.86850209,30.43425104,1.302920461
