queue_cell,threshold,latency_ms,block,eligible_opportunities,baseline_fills,cancelled_opportunities,cancel_rate,fills_prevented,surviving_fills,favourable_fills_sacrificed,adverse_markout_avoided,favourable_markout_sacrificed,net_markout_preserved,net_per_eligible_opportunity,avoidance_efficiency_ticks,avoidance_efficiency_lift,net_markout_lift_over_random,cancel_too_late_rate,catastrophic_25_avoided,catastrophic_25_avoidance_lift,catastrophic_50_avoided,catastrophic_50_avoidance_lift,catastrophic_100_avoided,catastrophic_100_avoidance_lift
midpoint,0.2,25,992858,3600,2652,1610,0.4472222222,771,1881,354,19102.5,1217,17885.5,4.968194444,15.69638455,0.6854828655,0.5432422274,0.5076628352,289,0.7864478156,144,0.646625555,39,0.3933954836
midpoint,0.2,25,992859,3600,3072,2032,0.5644444444,1358,1714,344,80097.5,9415,70682.5,19.63402778,8.507434944,1.059219425,0.9917902033,0.2952776336,845,0.9571942597,621,0.968824336,279,0.9606391349
midpoint,0.2,25,992860,3600,3094,2188,0.6077777778,1518,1576,462,71402.5,9267,62135.5,17.25986111,7.705028596,0.8479278597,0.8816133745,0.2659574468,859,0.9190660456,529,0.8823339781,211,0.8997111372
midpoint,0.2,25,992861,3600,3080,2088,0.58,1349,1731,453,60917,8020,52897,14.69361111,7.59563591,0.9133072684,0.9347971501,0.3258370815,671,0.9462686198,446,0.9679610583,196,0.9381590214
midpoint,0.2,25,992862,3600,3309,2221,0.6169444444,1476,1833,506,110395,66805,43590,12.10833333,1.652496071,0.984347582,0.7630534422,0.3011363636,814,0.9604642704,624,0.9388770666,371,0.8943373547
midpoint,0.2,25,992863,3600,3401,2187,0.6075,1409,1992,528,123955.5,47981,75974.5,21.10402778,2.583428857,1.010711341,0.8750384223,0.3347497639,771,0.9499824471,658,0.9353708826,479,0.9220057208
midpoint,0.2,25,992864,3600,3184,2333,0.6480555556,1749,1435,662,101770.5,21691.5,80079,22.24416667,4.691722564,0.8435271198,0.8130309314,0.2118071203,881,0.8985059089,655,0.8628126554,375,0.8284900664
midpoint,0.2,25,992865,3600,3063,2267,0.6297222222,1681,1382,733,64804,9726.5,55077.5,15.29930556,6.662622732,0.775479615,0.8026003184,0.2317184644,727,0.8491591543,501,0.8652957081,225,0.8990771471
midpoint,0.2,25,992866,3600,3046,2207,0.6130555556,1590,1456,596,71272,10631.5,60640.5,16.84458333,6.703851761,0.7021636436,0.7595866128,0.2453725676,733,0.8536323144,512,0.8072842094,225,0.7368166425
midpoint,0.2,25,992867,3600,3086,2077,0.5769444444,1298,1788,559,54855.5,8819.5,46036,12.78777778,6.219797041,0.7087476705,0.7620539967,0.3500250376,608,0.8945063998,453,0.8777581459,190,0.8023547636
