queue_cell,threshold,population,fills,fills_above_threshold_at_last_instant,share_above_threshold_at_last_instant,share_single_observation,share_two_or_more,share_five_or_more,mean_consecutive_observations,median_run_duration_ms,median_warning_ms
conservative,0.9,catastrophic_50,122171,3077,0.02518600977,0.02467852436,0.0005074854098,1.637049709e-05,1.02599935,0,20.970033
conservative,0.9,catastrophic_100,55011,1690,0.0307211285,0.02977586301,0.0009452654924,3.635636509e-05,1.040828402,0,19.1825
midpoint,0.1,all_fills,305041,137168,0.4496707,0.1498782131,0.2997924869,0.166305513,5.499438645,200,279.861505
midpoint,0.1,adverse_fills,204744,95867,0.4682286172,0.1464316415,0.3217969757,0.1779832376,5.617981161,200,304.529549
midpoint,0.1,catastrophic_25,156132,73911,0.4733879025,0.1472728204,0.3261150821,0.1822176107,5.660388846,200,311.945641
midpoint,0.1,catastrophic_50,104147,50655,0.4863798285,0.1483192027,0.3380606258,0.1928716142,5.775323265,200,339.362514
midpoint,0.1,catastrophic_100,46861,23720,0.5061778451,0.1543287595,0.3518490856,0.203708841,5.79376054,200,381.7101685
midpoint,0.2,all_fills,305041,82434,0.2702390826,0.1248520691,0.1453870135,0.05594985592,3.175097654,100,143.1788775
midpoint,0.2,adverse_fills,204744,59356,0.2899034892,0.1316277888,0.1582757004,0.06082717931,3.227912932,100,148.0353465
midpoint,0.2,catastrophic_25,156132,45757,0.2930661235,0.1320036892,0.1610624344,0.06295954705,3.259107896,100,151.845676
midpoint,0.2,catastrophic_50,104147,31695,0.3043294574,0.1349054702,0.1694239872,0.06712627344,3.323584162,100,161.972047
midpoint,0.2,catastrophic_100,46861,15487,0.3304880391,0.1444271356,0.1860609035,0.07259768251,3.293471944,100,176.432247
midpoint,0.3,all_fills,305041,51634,0.1692690491,0.09542979468,0.0738392544,0.01858438702,2.245826393,0,100.9230245
midpoint,0.3,adverse_fills,204744,37969,0.1854462158,0.1044230844,0.08102313132,0.02041573868,2.25294319,0,101.994213
midpoint,0.3,catastrophic_25,156132,29120,0.1865088515,0.1042707453,0.08223810622,0.02109112802,2.266071429,0,102.6876565
midpoint,0.3,catastrophic_50,104147,20423,0.1960978233,0.1087693357,0.08732848762,0.02287151814,2.298095285,0,106.37233
midpoint,0.3,catastrophic_100,46861,10322,0.2202684535,0.1214656111,0.09880284245,0.02509549519,2.301104437,0,112.989771
