queue_cell,threshold,latency_ms,policy,eligible_opportunities,baseline_fills,baseline_fill_rate,baseline_unfilled,cancelled_opportunities,cancel_rate,orders_unaffected,fills_prevented,surviving_fills,surviving_fill_rate,fill_rate_reduction,adverse_fills_avoided,favourable_fills_sacrificed,non_negative_fills_sacrificed,prevented_fills_markout_censored,cancel_too_late,cancel_too_late_rate,cancel_without_baseline_fill,unnecessary_cancel_rate,total_baseline_negative_ticks,total_baseline_positive_ticks,adverse_markout_avoided,favourable_markout_sacrificed,net_markout_preserved,net_per_eligible_opportunity,net_per_baseline_fill,net_per_cancelled_order,avoidance_efficiency_ticks,fraction_baseline_negative_removed,fraction_baseline_positive_removed,prevented_share_of_baseline_fills,baseline_negative_to_positive_ratio,random_match_adverse_avoided,random_match_favourable_sacrificed,random_match_net_markout,net_markout_lift_over_random,avoidance_efficiency_lift,catastrophic_25_avoided,catastrophic_25_avoidance_efficiency,catastrophic_25_random_match,catastrophic_25_avoidance_lift,catastrophic_50_avoided,catastrophic_50_avoidance_efficiency,catastrophic_50_random_match,catastrophic_50_avoidance_lift,catastrophic_100_avoided,catastrophic_100_avoidance_efficiency,catastrophic_100_random_match,catastrophic_100_avoidance_lift,baseline_observed,baseline_mean,baseline_median,baseline_p1,baseline_p5,baseline_p10,baseline_p25,baseline_p50,baseline_p75,baseline_p90,baseline_frac_favourable,baseline_cat_25_rate,baseline_cat_50_rate,baseline_cat_100_rate,surviving_observed,surviving_mean,surviving_median,surviving_p1,surviving_p5,surviving_p10,surviving_p25,surviving_p50,surviving_p75,surviving_p90,surviving_frac_favourable,surviving_cat_25_rate,surviving_cat_50_rate,surviving_cat_100_rate,baseline_cat_25_per_opportunity,surviving_cat_25_per_opportunity,baseline_cat_50_per_opportunity,surviving_cat_50_per_opportunity,baseline_cat_100_per_opportunity,surviving_cat_100_per_opportunity
midpoint,0.3,50,cancel,428534,305062,0.7118735036,123472,148335,0.34614523,280199,58119,246943,0.5762506592,0.1356228444,36279,21836,21836,4,87554,0.6010310765,2662,0.01794586578,14796323,1950241.5,2678543,546495.5,2132047.5,4.975212002,6.988898978,14.37319244,4.901308428,0.1810276107,0.2802193985,0.1905153706,7.586918338,2818926.961,371550.9822,2447375.978,0.8711565035,0.6460209811,27603,1.264105147,29745.54585,0.927970868,18771,0.8596354644,19841.60431,0.9460424525,8710,0.3988825792,8927.740784,0.9756107632,305041,-42.11263896,-26.5,-299.5,-174.5,-127.5,-70.5,-26.5,0.5,0.5,0.3287951456,0.5118393921,0.341419678,0.1536219721,246926,-43.3896552,-27.5,-300.5,-174.5,-127.5,-71.5,-27.5,0.5,0.5,0.3177470173,0.520516268,0.3457554085,0.1545037785,0.364339819,0.2999271936,0.2430308914,0.1992280659,0.1093518834,0.08902677501
midpoint,0.3,100,cancel,428534,305062,0.7118735036,123472,148335,0.34614523,280199,51140,253922,0.5925364148,0.1193370888,31317,19819,19819,4,94533,0.6489397486,2662,0.01794586578,14796323,1950241.5,2333502,497006,1836496,4.285531603,6.020074608,12.3807328,4.695118369,0.157708236,0.2548433104,0.1676380539,7.586918338,2480426.793,326934.6897,2153492.103,0.8527990409,0.618843931,23959,1.208890459,26173.66463,0.9153857642,16318,0.8233513295,17459.0004,0.9346468656,7570,0.3819567082,7855.686844,0.963633117,305041,-42.11263896,-26.5,-299.5,-174.5,-127.5,-70.5,-26.5,0.5,0.5,0.3287951456,0.5118393921,0.341419678,0.1536219721,253905,-43.36104252,-27.5,-300.5,-174.5,-128.5,-71.5,-27.5,0.5,0.5,0.3169571296,0.5205608397,0.3459128414,0.1547468541,0.364339819,0.3084306029,0.2430308914,0.2049522325,0.1093518834,0.09168700733
midpoint,0.5,0,cancel,428534,305062,0.7118735036,123472,106019,0.2473992729,322515,18676,286386,0.6682923642,0.04358113942,12413,6262,6262,1,86944,0.8231774285,399,0.003763476358,14796323,1950241.5,956903.5,260092,696811.5,1.626035507,2.284163547,6.572515304,3.679096243,0.06467170932,0.1333639962,0.06122034209,7.586918338,905835.9558,119394.4518,786441.504,0.8860309336,0.4849263006,9318,1.488022996,9558.454452,0.9748437937,6439,1.02826573,6375.914968,1.009894271,3174,0.5068668157,2868.846451,1.106368031,305041,-42.11263896,-26.5,-299.5,-174.5,-127.5,-70.5,-26.5,0.5,0.5,0.3287951456,0.5118393921,0.341419678,0.1536219721,286366,-42.42567204,-26.5,-298.5,-174.5,-127.5,-70.5,-26.5,0.5,0.5,0.3283699881,0.5126795779,0.3411997234,0.1525565186,0.364339819,0.34259592,0.2430308914,0.2280052458,0.1093518834,0.1019452366
midpoint,0.5,50,cancel,428534,305062,0.7118735036,123472,106019,0.2473992729,322515,14697,290365,0.6775775084,0.03429599518,9287,5409,5409,1,90923,0.8608502178,399,0.003763476358,14796323,1950241.5,721299.5,214869,506430.5,1.181774375,1.660090408,4.776790009,3.356926779,0.04874856409,0.1101755859,0.04817709187,7.586918338,712843.8125,93956.96391,618886.8486,0.818292554,0.4424624899,6921,1.27953411,7521.985708,0.9201027852,4776,0.8829728231,5017.499587,0.9518685387,2368,0.4377888704,2257.626702,1.048889082,305041,-42.11263896,-26.5,-299.5,-174.5,-127.5,-70.5,-26.5,0.5,0.5,0.3287951456,0.5118393921,0.341419678,0.1536219721,290345,-42.49996039,-27.5,-298.5,-174.5,-127.5,-70.5,-27.5,0.5,0.5,0.3268077632,0.5139093148,0.3422514595,0.153241833,0.364339819,0.3481894085,0.2430308914,0.231885918,0.1093518834,0.1038260675
midpoint,0.5,100,cancel,428534,305062,0.7118735036,123472,106019,0.2473992729,322515,11976,293086,0.683927063,0.02794644066,7277,4699,4699,0,93644,0.886612384,399,0.003763476358,14796323,1950241.5,578897,187990,390907,0.9121959985,1.281401813,3.687140984,3.07940316,0.03912438246,0.09639319028,0.03925759354,7.586918338,580868.0342,76561.78811,504306.2461,0.7751381289,0.4058832615,5460,1.161949351,6129.366594,0.8907935128,3785,0.8054905299,4088.560594,0.9257536761,1872,0.3983826346,1839.650091,1.017584816,305041,-42.11263896,-26.5,-299.5,-174.5,-127.5,-70.5,-26.5,0.5,0.5,0.3287951456,0.5118393921,0.341419678,0.1536219721,293065,-42.49969973,-27.5,-299,-174.5,-127.5,-70.5,-27.5,0.5,0.5,0.32619726,0.5141248528,0.3424564516,0.1535120195,0.364339819,0.3515987063,0.2430308914,0.2341984533,0.1093518834,0.1049835019
midpoint,0.7,0,cancel,428534,305062,0.7118735036,123472,86159,0.2010552255,342375,2713,302349,0.7055426174,0.006330886231,1894,819,819,0,83398,0.9684941529,48,0.0005571095301,14796323,1950241.5,156744.5,59736.5,97008,0.2263717698,0.3179943749,1.12591836,2.623931767,0.0105934765,0.03063030912,0.008893274154,7.586918338,131587.7569,17344.03233,114243.7246,0.8491319795,0.3458494807,1465,1.788766789,1388.52468,1.055076673,1026,1.252747253,926.2078233,1.107742749,543,0.663003663,416.7477201,1.30294654,305041,-42.11263896,-26.5,-299.5,-174.5,-127.5,-70.5,-26.5,0.5,0.5,0.3287951456,0.5118393921,0.341419678,0.1536219721,302328,-42.16967499,-26.5,-299.5,-174.5,-127.5,-70.5,-26.5,0.5,0.5,0.3290366754,0.5115867535,0.3410898097,0.1532044667,0.364339819,0.3609211871,0.2430308914,0.2406366823,0.1093518834,0.1080847727
midpoint,0.7,50,cancel,428534,305062,0.7118735036,123472,86159,0.2010552255,342375,1920,303142,0.7073931123,0.004480391288,1247,673,673,0,84191,0.977703197,48,0.0005571095301,14796323,1950241.5,108171.5,44036.5,64135,0.1496614038,0.210235952,0.7443795773,2.456405482,0.007310701449,0.02258002406,0.006293802571,7.586918338,93125.13574,12274.43497,80850.70078,0.7932522462,0.3237685411,962,1.429420505,982.6639831,0.9789714659,664,0.9866270431,655.4806564,1.012997094,378,0.5616641902,294.9338823,1.281643184,305041,-42.11263896,-26.5,-299.5,-174.5,-127.5,-70.5,-26.5,0.5,0.5,0.3287951456,0.5118393921,0.341419678,0.1536219721,303121,-42.16780263,-26.5,-299.5,-174.5,-127.5,-70.5,-26.5,0.5,0.5,0.3286575328,0.511907786,0.3413917215,0.1533480029,0.364339819,0.3620949563,0.2430308914,0.2414814227,0.1093518834,0.1084698064
midpoint,0.7,100,cancel,428534,305062,0.7118735036,123472,86159,0.2010552255,342375,1426,303636,0.7085458797,0.003327623946,847,579,579,0,84685,0.9834399786,48,0.0005571095301,14796323,1950241.5,78064.5,37034,41030.5,0.09574619517,0.1344988888,0.4762183869,2.107914349,0.005275939164,0.0189894431,0.004674459618,7.586918338,69164.81436,9116.325137,60048.48922,0.6832894638,0.2778353813,646,1.115716753,729.8327291,0.885134325,453,0.7823834197,486.8309458,0.9305078156,251,0.4335060449,219.0498522,1.145857884,305041,-42.11263896,-26.5,-299.5,-174.5,-127.5,-70.5,-26.5,0.5,0.5,0.3287951456,0.5118393921,0.341419678,0.1536219721,303615,-42.17529108,-26.5,-299.5,-174.5,-127.5,-70.5,-26.5,0.5,0.5,0.3284323897,0.5121156728,0.3415312155,0.1535167894,0.364339819,0.362832354,0.2430308914,0.241973799,0.1093518834,0.1087661656
optimistic,0.3,0,cancel,428534,414222,0.9666024166,14312,148335,0.34614523,280199,22125,392097,0.9149729076,0.05162950898,11482,10641,10641,2,126058,0.8506913749,152,0.001024707588,6305727.5,3847558.5,808688,303994.5,504693.5,1.177721021,1.218413073,3.402389861,2.660206023,0.1282465822,0.07900971486,0.05341338702,1.638890611,336810.2634,205511.1313,131299.1322,3.843844903,1.623174851,8529,0.8015224133,3483.727929,2.448239408,5594,0.5257024716,2317.500036,2.413807945,2462,0.2313692322,1037.98235,2.37190931,414208,-5.934624633,0.5,-210.5,-96.5,-53.5,0.5,0.5,0.5,18.5,0.7908900842,0.1574619515,0.1047493047,0.04691604218,392085,-4.982275527,0.5,-205.5,-91.5,-47.5,0.5,0.5,0.5,17.5,0.8083757349,0.1445936468,0.0963923639,0.04328398179,0.1521979586,0.1322952204,0.1012475089,0.08819370225,0.04534762703,0.03960245861
optimistic,0.3,50,cancel,428534,414222,0.9666024166,14312,148335,0.34614523,280199,16414,397808,0.9282997382,0.03830267843,8134,8279,8279,1,131769,0.8892315583,152,0.001024707588,6305727.5,3847558.5,573492.5,219928.5,353564,0.8250547214,0.8535616167,2.383550747,2.607631571,0.09094787239,0.0571605344,0.03962609422,1.638890611,249871.352,152463.7156,97407.6364,3.629735954,1.591095558,6031,0.7284696219,2584.493117,2.333533009,3905,0.4716753231,1719.296976,2.271277187,1697,0.2049764464,770.053889,2.203741874,414208,-5.934624633,0.5,-210.5,-96.5,-53.5,0.5,0.5,0.5,18.5,0.7908900842,0.1574619515,0.1047493047,0.04691604218,397795,-5.290677359,0.5,-207.5,-93.5,-49.5,0.5,0.5,0.5,18.5,0.8027099385,0.1487977476,0.09925464121,0.04458577911,0.1521979586,0.1381243962,0.1012475089,0.09213504646,0.04534762703,0.04138761452
