queue_cell,threshold,latency_ms,policy,eligible_opportunities,baseline_fills,baseline_unfilled,cancelled_opportunities,cancel_rate,fills_prevented,surviving_fills,adverse_fills_avoided,favourable_fills_sacrificed,non_negative_fills_sacrificed,prevented_fills_markout_censored,total_baseline_negative_ticks,total_baseline_positive_ticks,adverse_markout_avoided,favourable_markout_sacrificed,net_markout_preserved,net_per_eligible_opportunity,net_per_baseline_fill,net_per_cancelled_order,avoidance_efficiency_ticks,fraction_baseline_negative_removed,fraction_baseline_positive_removed,prevented_share_of_baseline_fills,baseline_negative_to_positive_ratio,random_match_adverse_avoided,random_match_favourable_sacrificed,random_match_net_markout,net_markout_lift_over_random,avoidance_efficiency_lift,catastrophic_25_avoidance_efficiency,catastrophic_25_random_match,catastrophic_25_avoidance_lift,catastrophic_50_avoidance_efficiency,catastrophic_50_random_match,catastrophic_50_avoidance_lift,catastrophic_100_avoidance_efficiency,catastrophic_100_random_match,catastrophic_100_avoidance_lift
conservative,0.4,0,cancel,428534,276955,151579,122630,0.2861616581,45011,231944,37792,7218,7218,1,17381933,1613046,2821478,406963.5,2414514.5,5.634359234,8.718075139,19.68942755,6.933000134,0.1623224529,0.2522950368,0.1625209872,10.77584458,2824928.91,262153.8283,2562775.082,0.9421484223,0.6433834565,3.954558049,29847.14181,0.9563394773,2.677472984,19855.35152,0.9733396046,1.274868385,8940.442025,1.029255598
conservative,0.4,25,cancel,428534,276955,151579,122630,0.2861616581,42063,234892,35179,6883,6883,1,17381933,1613046,2631613,380607.5,2251005.5,5.252804912,8.12769403,18.35607519,6.914243676,0.1513993294,0.2359557632,0.1518766587,10.77584458,2639909.905,244984.0367,2394925.868,0.9399061281,0.6416428544,3.852680517,27892.30024,0.950728329,2.613250036,18554.92327,0.969392314,1.247130612,8354.88687,1.027422649
conservative,0.4,50,cancel,428534,276955,151579,122630,0.2861616581,39456,237499,32825,6630,6630,1,17381933,1613046,2458929.5,365316.5,2093613,4.885523669,7.559397736,17.07260051,6.730956581,0.1414646748,0.2264761823,0.1424635771,10.77584458,2476292.352,229800.3032,2246492.049,0.9319476563,0.6246337844,3.730015083,26163.5784,0.9452070975,2.53438914,17404.91768,0.965416804,1.207692308,7837.063841,1.021683651
conservative,0.4,100,cancel,428534,276955,151579,122630,0.2861616581,35489,241466,29286,6202,6202,1,17381933,1613046,2196425,339733.5,1856691.5,4.332658552,6.70394649,15.14059773,6.465141059,0.1263625283,0.2106161263,0.1281399505,10.77584458,2227320.035,206695.6346,2020624.4,0.9188701769,0.5999660639,3.555143502,23533.03006,0.9369384201,2.425185424,15654.9859,0.9607801693,1.155756208,7049.106819,1.016866418
conservative,0.5,0,cancel,428534,276955,151579,106019,0.2473992729,24390,252565,20299,4090,4090,1,17381933,1613046,1559324,263381.5,1295942.5,3.024129941,4.679252947,12.2236816,5.920400636,0.08970947017,0.1632820763,0.08806484808,10.77584458,1530737.289,142052.6509,1388684.638,0.9332158393,0.5494140706,3.710513447,16173.19741,0.938342593,2.572616137,10758.97055,0.977974607,1.286552567,4844.535358,1.086172277
conservative,0.5,25,cancel,428534,276955,151579,106019,0.2473992729,22393,254562,18554,3838,3838,1,17381933,1613046,1423870,241763,1182107,2.758490575,4.26822769,11.14995425,5.889528174,0.081916666,0.1498797926,0.08085429041,10.77584458,1405403.859,130421.6897,1274982.169,0.9271557115,0.5465491015,3.597967692,14848.97129,0.9299634118,2.499478895,9878.049513,0.9711431378,1.252475248,4447.87537,1.080740713
conservative,0.5,50,cancel,428534,276955,151579,106019,0.2473992729,20685,256270,17025,3659,3659,1,17381933,1613046,1309721,229965,1079756,2.519650716,3.898669459,10.18455183,5.695305807,0.0753495598,0.1425656801,0.07468722356,10.77584458,1298208.316,120473.9272,1177734.389,0.9168077373,0.5285252366,3.457775348,13716.38329,0.9224005869,2.407215086,9124.612789,0.9653012356,1.203880842,4108.618855,1.072136442
conservative,0.5,100,cancel,428534,276955,151579,106019,0.2473992729,18008,258947,14655,3352,3352,1,17381933,1613046,1135200.5,211534,923666.5,2.155410072,3.335077901,8.712273272,5.366515548,0.06530922079,0.1311394715,0.06502139337,10.77584458,1130197.503,104882.4985,1025315.005,0.9008611947,0.498013451,3.252983294,11941.24391,0.9131376998,2.272673031,7943.728649,0.9589954965,1.131563246,3576.891871,1.060417854
conservative,0.6,0,cancel,428534,276955,151579,94052,0.219473834,11002,265953,9104,1898,1898,0,17381933,1613046,728188.5,138505,589683.5,1.376048342,2.129167193,6.269760345,5.257488899,0.04189341312,0.08586549919,0.03972486505,10.77584458,690494.9427,64078.03467,626416.9081,0.9413594882,0.4878957616,3.647523709,7295.511191,0.9489396724,2.570600632,4853.226488,1.005310593,1.311907271,2185.304551,1.139429284
conservative,0.6,25,cancel,428534,276955,151579,94052,0.219473834,9819,267136,8066,1753,1753,0,17381933,1613046,647519,124371.5,523147.5,1.220784115,1.888925999,5.562321907,5.206329424,0.03725241606,0.0771035048,0.03545341301,10.77584458,616248.8495,57187.98604,559060.8635,0.9357612635,0.4831481546,3.483742156,6511.054753,0.9379432722,2.463776383,4331.378921,0.997142037,1.272675414,1950.327703,1.143910327
conservative,0.6,50,cancel,428534,276955,151579,94052,0.219473834,8880,268075,7247,1633,1633,0,17381933,1613046,585277.5,116564,468713.5,1.093760355,1.692381434,4.983556968,5.021082839,0.03367160028,0.07226328325,0.03206297052,10.77584458,557316.4053,51719.04634,505597.359,0.9270489485,0.4659572436,3.349663197,5888.396599,0.9289455811,2.369871402,3917.165171,0.9879593611,1.227189222,1763.816071,1.136172888
conservative,0.6,100,cancel,428534,276955,151579,94052,0.219473834,7440,269515,5985,1455,1455,0,17381933,1613046,484307.5,105252.5,379055,0.8845389164,1.368651947,4.030270489,4.60138714,0.02786269513,0.065250774,0.02686356989,10.77584458,466940.772,43332.17396,423608.5981,0.8948236691,0.4270094196,3.070103093,4933.521475,0.9054384425,2.189690722,3281.949198,0.9707645695,1.12233677,1477.791843,1.105027076
conservative,0.7,0,cancel,428534,276955,151579,86159,0.2010552255,3790,273165,3141,649,649,0,17381933,1613046,260407.5,63948.5,196459,0.4584443708,0.7093535051,2.280191274,4.072143991,0.01498150407,0.03964456066,0.01368453359,10.77584458,237863.646,22073.78217,215789.8638,0.9104181102,0.3778955756,3.745762712,2513.178278,0.9673010551,2.634822804,1671.853153,1.022817104,1.45146379,752.7998772,1.251328578
conservative,0.7,25,cancel,428534,276955,151579,86159,0.2010552255,3278,273677,2692,586,586,0,17381933,1613046,228128.5,55007.5,173121,0.4039842813,0.625087108,2.009319978,4.147225378,0.0131244609,0.03410163132,0.01183585781,10.77584458,205730.0875,19091.7831,186638.3044,0.9275748651,0.3848631397,3.558020478,2173.667123,0.959208509,2.529010239,1445.998585,1.024897269,1.423208191,651.102374,1.28090456
