queue_cell,threshold,latency_ms,policy,eligible_opportunities,baseline_fills,baseline_unfilled,cancelled_opportunities,cancel_rate,fills_prevented,surviving_fills,adverse_fills_avoided,favourable_fills_sacrificed,non_negative_fills_sacrificed,prevented_fills_markout_censored,total_baseline_negative_ticks,total_baseline_positive_ticks,adverse_markout_avoided,favourable_markout_sacrificed,net_markout_preserved,net_per_eligible_opportunity,net_per_baseline_fill,net_per_cancelled_order,avoidance_efficiency_ticks,fraction_baseline_negative_removed,fraction_baseline_positive_removed,prevented_share_of_baseline_fills,baseline_negative_to_positive_ratio,random_match_adverse_avoided,random_match_favourable_sacrificed,random_match_net_markout,net_markout_lift_over_random,avoidance_efficiency_lift,catastrophic_25_avoidance_efficiency,catastrophic_25_random_match,catastrophic_25_avoidance_lift,catastrophic_50_avoidance_efficiency,catastrophic_50_random_match,catastrophic_50_avoidance_lift,catastrophic_100_avoidance_efficiency,catastrophic_100_random_match,catastrophic_100_avoidance_lift
midpoint,0.6,0,cancel,428534,305062,123472,94052,0.219473834,7873,297189,5416,2457,2457,0,14796323,1950241.5,429577.5,130856,298721.5,0.6970777115,0.9792157004,3.176131289,3.28282616,0.02903271982,0.06709733128,0.02580786856,7.586918338,381861.5592,50331.5763,331529.9829,0.9010391681,0.432695597,1.677248677,4029.434135,1.022724249,1.167277167,2687.812087,1.06703888,0.5836385836,1209.382529,1.185729053
midpoint,0.6,25,cancel,428534,305062,123472,94052,0.219473834,6779,298283,4535,2244,2244,0,14796323,1950241.5,361157.5,112736,248421.5,0.5797007939,0.8143311851,2.641320759,3.203568514,0.024408598,0.05780617426,0.02222171231,7.586918338,328799.6329,43337.70554,285461.9274,0.8702438966,0.422248978,1.525846702,3469.520386,0.9868799197,1.056595365,2314.324672,1.024488927,0.5401069519,1041.33166,1.163894315
midpoint,0.6,50,cancel,428534,305062,123472,94052,0.219473834,5888,299174,3825,2063,2063,0,14796323,1950241.5,310190.5,101567,208623.5,0.4868306832,0.6838724587,2.218171862,3.054048067,0.02096402599,0.05207919122,0.01930099455,7.586918338,285583.7496,37641.60057,247942.149,0.8414200684,0.4025413127,1.398933592,3013.502881,0.9576894775,0.9680077557,2010.14068,0.993462806,0.4992729035,904.4639057,1.138796135
midpoint,0.6,100,cancel,428534,305062,123472,94052,0.219473834,4592,300470,2821,1771,1771,0,14796323,1950241.5,234654.5,86968.5,147686,0.3446307644,0.4841179826,1.570259006,2.698155079,0.01585897388,0.04459370801,0.01505267782,7.586918338,222724.283,29356.35696,193367.926,0.7637564463,0.3556325452,1.195369848,2350.204693,0.9007726035,0.8390739695,1567.691237,0.947890736,0.4251835121,705.3835352,1.067504361
midpoint,0.7,0,cancel,428534,305062,123472,86159,0.2010552255,2713,302349,1894,819,819,0,14796323,1950241.5,156744.5,59736.5,97008,0.2263717698,0.3179943749,1.12591836,2.623931767,0.0105934765,0.03063030912,0.008893274154,7.586918338,131587.7569,17344.03233,114243.7246,0.8491319795,0.3458494807,1.788766789,1388.52468,1.055076673,1.252747253,926.2078233,1.107742749,0.663003663,416.7477201,1.30294654
midpoint,0.7,25,cancel,428534,305062,123472,86159,0.2010552255,2292,302770,1546,746,746,0,14796323,1950241.5,130588,50319,80269,0.1873106918,0.2631235618,0.9316380181,2.595202607,0.008825706224,0.02580141998,0.007513226819,7.586918338,111168.1308,14652.60674,96515.52405,0.8316693173,0.3420628102,1.604557641,1173.05513,1.0204124,1.113941019,782.4800336,1.062007929,0.6112600536,352.077322,1.295170042
midpoint,0.7,50,cancel,428534,305062,123472,86159,0.2010552255,1920,303142,1247,673,673,0,14796323,1950241.5,108171.5,44036.5,64135,0.1496614038,0.210235952,0.7443795773,2.456405482,0.007310701449,0.02258002406,0.006293802571,7.586918338,93125.13574,12274.43497,80850.70078,0.7932522462,0.3237685411,1.429420505,982.6639831,0.9789714659,0.9866270431,655.4806564,1.012997094,0.5616641902,294.9338823,1.281643184
midpoint,0.7,100,cancel,428534,305062,123472,86159,0.2010552255,1426,303636,847,579,579,0,14796323,1950241.5,78064.5,37034,41030.5,0.09574619517,0.1344988888,0.4762183869,2.107914349,0.005275939164,0.0189894431,0.004674459618,7.586918338,69164.81436,9116.325137,60048.48922,0.6832894638,0.2778353813,1.115716753,729.8327291,0.885134325,0.7823834197,486.8309458,0.9305078156,0.4335060449,219.0498522,1.145857884
midpoint,0.8,0,cancel,428534,305062,123472,81009,0.1890375093,779,304283,569,210,210,0,14796323,1950241.5,50770.5,23663,27107.5,0.06325635772,0.08885898604,0.3346233135,2.145564806,0.00343129168,0.01213336912,0.002553579272,7.586918338,37783.58372,4980.096271,32803.48745,0.8263603082,0.2827979306,2.161904762,398.695439,1.138713804,1.519047619,265.9476205,1.199484317,0.7904761905,119.6632783,1.387225909
midpoint,0.8,25,cancel,428534,305062,123472,81009,0.1890375093,642,304420,453,189,189,0,14796323,1950241.5,41215,17579,23636,0.05515548358,0.07747933207,0.2917700502,2.344558849,0.002785489341,0.009013755476,0.002104490235,7.586918338,31138.71726,4104.264192,27034.45307,0.8742917764,0.3090265038,1.936507937,328.5782693,1.113889853,1.343915344,219.1763445,1.158884188,0.6666666667,98.61851689,1.277650526
midpoint,0.8,50,cancel,428534,305062,123472,81009,0.1890375093,490,304572,325,165,165,0,14796323,1950241.5,29425,15300,14125,0.03296121195,0.04630206319,0.1743633423,1.923202614,0.001988669753,0.007845182251,0.001606230865,7.586918338,23766.31068,3132.538091,20633.77259,0.6845573167,0.2534892994,1.515151515,250.7840373,0.9968736553,1.03030303,167.2841258,1.016235098,0.5151515152,75.26958454,1.129274202
midpoint,0.8,100,cancel,428534,305062,123472,81009,0.1890375093,359,304703,215,144,144,0,14796323,1950241.5,21221,12675.5,8545.5,0.01994124154,0.02801233848,0.1054882791,1.674174589,0.001434207674,0.006499451478,0.00117680996,7.586918338,17412.46028,2295.063621,15117.39666,0.5652759,0.2206659561,1.125,183.7376927,0.8816917076,0.7916666667,122.5612269,0.9301473466,0.3888888889,55.14649153,1.015477113
midpoint,0.9,0,cancel,428534,305062,123472,71656,0.1672119365,85,304977,71,14,14,0,14796323,1950241.5,10768.5,7352.5,3416,0.007971362832,0.01119772374,0.04767221168,1.464603876,0.0007277821659,0.003770045915,0.0002786318847,7.586918338,4122.727364,543.3994647,3579.327899,0.9543691152,0.1930433163,4.357142857,43.50335342,1.402190756,3.785714286,29.01867489,1.826410069,2.5,13.05696875,2.680560908
midpoint,0.9,25,cancel,428534,305062,123472,71656,0.1672119365,65,304997,56,9,9,0,14796323,1950241.5,9155,7102,2053,0.004790751726,0.00672977952,0.02865077593,1.2890735,0.0006187348032,0.003641600284,0.0002130714412,7.586918338,3152.673866,415.5407671,2737.133099,0.750054866,0.169907391,5.222222222,33.26727026,1.412800017,4.444444444,22.19075139,1.802552753,3.222222222,9.984740807,2.904431929
midpoint,0.9,50,cancel,428534,305062,123472,71656,0.1672119365,46,305016,37,9,9,0,14796323,1950241.5,7067.5,7102,-34.5,-8.050703095e-05,-0.000113091765,-0.000481467009,0.9951422135,0.0004776524546,0.003641600284,0.0001507890199,7.586918338,2231.123044,294.0750044,1937.048039,-0.01781060629,0.1311655364,3.111111111,23.54299126,1.189313613,2.444444444,15.70422406,1.400896976,2.222222222,7.066124263,2.830405928
midpoint,0.9,100,cancel,428534,305062,123472,71656,0.1672119365,30,305032,21,9,9,0,14796323,1950241.5,5691.5,7102,-1410.5,-0.00329145412,-0.004623650274,-0.01968432511,0.8013939735,0.0003846563771,0.003641600284,9.834066518e-05,7.586918338,1455.080246,191.7880464,1263.2922,-1.116527119,0.1056283906,2,15.35412474,1.172323419,1.444444444,10.24188526,1.269297563,1.444444444,4.608341911,2.820971241
optimistic,,,never,428534,414222,14312,0,0,0,414222,0,0,0,0,6305727.5,3847558.5,0,0,0,0,0,,,0,0,0,1.638890611,0,0,0,,,,0,,,0,,,0,
optimistic,0.1,0,cancel,428534,414222,14312,253139,0.5907092553,87250,326972,31617,55627,55627,6,6305727.5,3847558.5,2110078,869879,1240199,2.894050414,2.994044256,4.899280632,2.425714381,0.3346287958,0.2260859711,0.2106358426,1.638890611,1328212.225,810433.7267,517778.4986,2.395230786,1.480095355,0.422097183,13738.09093,1.709116654,0.2717924749,9139.067939,1.654326251,0.1141352221,4093.28633,1.551076443
optimistic,0.1,25,cancel,428534,414222,14312,253139,0.5907092553,78681,335541,28093,50583,50583,5,6305727.5,3847558.5,1864587,747336,1117251,2.607146691,2.697227574,4.413587002,2.494978162,0.295697364,0.1942364229,0.189948868,1.638890611,1197765.801,730839.3816,466926.4189,2.392777437,1.522357957,0.4117391218,12388.84507,1.681109085,0.2641401261,8241.501485,1.621185172,0.1100171995,3691.276352,1.507608607
optimistic,0.1,50,cancel,428534,414222,14312,253139,0.5907092553,71114,343108,25034,46075,46075,5,6305727.5,3847558.5,1651511,657768,993743,2.318936187,2.399058959,3.925681148,2.510780397,0.2619064969,0.1709572447,0.1716808861,1.638890611,1082572.885,660552.2526,422020.6321,2.354726107,1.531999988,0.4018882257,11197.37075,1.653691783,0.2565599566,7448.890286,1.586947793,0.1065653825,3336.274659,1.471701374
optimistic,0.1,100,cancel,428534,414222,14312,253139,0.5907092553,58866,355356,20355,38507,38507,4,6305727.5,3847558.5,1336621.5,519898.5,816723,1.905853445,1.971703579,3.226381553,2.570927787,0.2119694357,0.1351242613,0.1421122007,1.638890611,896120.8121,546785.0058,349335.8063,2.337930969,1.568700052,0.3909938453,9268.841954,1.624366892,0.2479029787,6165.964164,1.548176367,0.1021113044,2761.666396,1.423778051
optimistic,0.2,0,cancel,428534,414222,14312,189233,0.4415822315,42741,371481,19408,23330,23330,3,6305727.5,3847558.5,1335923,483606.5,852316.5,1.988912198,2.057632139,4.504058489,2.762417379,0.2118586634,0.1256917861,0.1031838,1.638890611,650648.9252,397005.7067,253643.2184,3.360296819,1.685541036,0.6188598371,6729.853803,2.145366069,0.4049721389,4476.938714,2.110370636,0.1731675954,2005.170785,2.014790974
optimistic,0.2,25,cancel,428534,414222,14312,189233,0.4415822315,37621,376601,16719,20900,20900,2,6305727.5,3847558.5,1145693,409964,735729,1.716850938,1.776170749,3.887952947,2.794618552,0.1816908517,0.1065517262,0.09082327834,1.638890611,572706.8439,349447.8766,223258.9673,3.295406267,1.705189189,0.5940191388,5923.67586,2.095827033,0.3868899522,3940.640401,2.051950744,0.1643062201,1764.968768,1.945643494
optimistic,0.2,50,cancel,428534,414222,14312,189233,0.4415822315,33128,381094,14443,18683,18683,2,6305727.5,3847558.5,987052,357554.5,629497.5,1.468955789,1.519710445,3.326573589,2.760563774,0.1565326126,0.09293023095,0.07997643776,1.638890611,504309.6229,307714.0229,196595.6,3.201991804,1.684410025,0.5727666863,5216.223223,2.051484291,0.3714606862,3470.017681,1.999989809,0.1572552588,1554.182115,1.890383355
optimistic,0.2,100,cancel,428534,414222,14312,189233,0.4415822315,26337,387885,11164,15172,15172,1,6305727.5,3847558.5,759817.5,282920,476897.5,1.112858023,1.15130896,2.520160331,2.685626679,0.1204964058,0.07353234525,0.06358184742,1.638890611,400929.8037,244634.8775,156294.9263,3.051266675,1.638685743,0.5445557606,4146.935252,1.992314685,0.3496572634,2758.689196,1.923014745,0.1460585289,1235.586041,1.793480929
optimistic,0.3,0,cancel,428534,414222,14312,148335,0.34614523,22125,392097,11482,10641,10641,2,6305727.5,3847558.5,808688,303994.5,504693.5,1.177721021,1.218413073,3.402389861,2.660206023,0.1282465822,0.07900971486,0.05341338702,1.638890611,336810.2634,205511.1313,131299.1322,3.843844903,1.623174851,0.8015224133,3483.727929,2.448239408,0.5257024716,2317.500036,2.413807945,0.2313692322,1037.98235,2.37190931
optimistic,0.3,25,cancel,428534,414222,14312,148335,0.34614523,19023,395199,9649,9373,9373,1,6305727.5,3847558.5,674955.5,253544,421411.5,0.9833793818,1.017356635,2.840944484,2.662084293,0.1070384821,0.06589737362,0.0459246491,1.638890611,289588.3228,176697.774,112890.5488,3.732920999,1.624320913,0.7612290622,2995.297464,2.382067253,0.4949322522,1992.578675,2.328138938,0.2149791956,892.453706,2.257820194
optimistic,0.3,50,cancel,428534,414222,14312,148335,0.34614523,16414,397808,8134,8279,8279,1,6305727.5,3847558.5,573492.5,219928.5,353564,0.8250547214,0.8535616167,2.383550747,2.607631571,0.09094787239,0.0571605344,0.03962609422,1.638890611,249871.352,152463.7156,97407.6364,3.629735954,1.591095558,0.7284696219,2584.493117,2.333533009,0.4716753231,1719.296976,2.271277187,0.2049764464,770.053889,2.203741874
optimistic,0.3,100,cancel,428534,414222,14312,148335,0.34614523,12608,401614,6050,6558,6558,0,6305727.5,3847558.5,428997.5,171802.5,257195,0.6001740819,0.6209110091,1.733879395,2.497038751,0.06803299064,0.04465234252,0.03043778457,1.638890611,191932.3752,117111.1567,74821.21846,3.437460727,1.523615264,0.6870997255,1985.213185,2.269781419,0.440073193,1320.634597,2.185313036,0.1889295517,591.4974675,2.094683524
optimistic,0.4,0,cancel,428534,414222,14312,122630,0.2861616581,11329,402893,6427,4901,4901,1,6305727.5,3847558.5,478513,190499.5,288013.5,0.6720901959,0.6953119342,2.34863818,2.511885858,0.07588545493,0.0495117878,0.02735006832,1.638890611,172462.0779,105230.9878,67231.09009,4.283933216,1.532674506,0.9822485207,1783.826156,2.698693471,0.649459294,1186.664764,2.682307671,0.2952458682,531.4938777,2.722514898
optimistic,0.4,25,cancel,428534,414222,14312,122630,0.2861616581,9502,404720,5264,4237,4237,1,6305727.5,3847558.5,391436,159728,231708,0.5406992211,0.5593812014,1.889488706,2.45064109,0.06207626321,0.04151411863,0.02293938999,1.638890611,144649.5423,88260.64494,56388.89735,4.109106773,1.495304857,0.9240028322,1496.152894,2.616711177,0.6075053104,995.2942528,2.586169861,0.2718904886,445.7811657,2.584227618
optimistic,0.4,50,cancel,428534,414222,14312,122630,0.2861616581,8059,406163,4362,3696,3696,1,6305727.5,3847558.5,327984,138029,189955,0.4432670453,0.4585825958,1.549009215,2.376196307,0.05201366535,0.0358744383,0.01945575078,1.638890611,122682.6627,74857.13929,47825.52344,3.971833162,1.449880969,0.8777056277,1268.942977,2.556458452,0.5730519481,844.1461149,2.509044302,0.2554112554,378.0836049,2.496802262
optimistic,0.4,100,cancel,428534,414222,14312,122630,0.2861616581,5995,408227,3120,2875,2875,0,6305727.5,3847558.5,240437.5,110205.5,130232,0.3039012074,0.3144014562,1.061991356,2.181719606,0.03813001751,0.0286429693,0.01447291549,1.638890611,91262.26121,55685.38901,35576.8722,3.66058037,1.331217344,0.8093913043,943.9524941,2.46516643,0.528,627.9508573,2.417386619,0.2323478261,281.2521667,2.375092814
optimistic,0.5,0,cancel,428534,414222,14312,106019,0.2473992729,5345,408877,3303,2041,2041,1,6305727.5,3847558.5,254941.5,113612.5,141329,0.3297964689,0.3411914384,1.333053509,2.243956431,0.04043014862,0.02952846591,0.01290370864,1.638890611,81367.27042,49647.77386,31719.49656,4.45558774,1.369192316,1.196472317,841.6056849,2.90159637,0.8123468888,559.8661104,2.961422328,0.3821656051,250.75777,3.110571609
optimistic,0.5,25,cancel,428534,414222,14312,106019,0.2473992729,4374,409848,2641,1732,1732,1,6305727.5,3847558.5,203938.5,93593.5,110345,0.2574941545,0.2663909691,1.040804007,2.178981446,0.03234178768,0.02432542611,0.01055955502,1.638890611,66585.67649,40628.50568,25957.17081,4.251041102,1.329546604,1.113741339,688.7152976,2.800867073,0.752886836,458.1579733,2.846179868,0.3441108545,205.2038327,2.904429182
optimistic,0.5,50,cancel,428534,414222,14312,106019,0.2473992729,3664,410558,2157,1506,1506,1,6305727.5,3847558.5,169183,82558.5,86624.5,0.202141487,0.2091257828,0.817065809,2.049249926,0.02683005252,0.02145737355,0.008845498308,1.638890611,55777.30193,34033.5722,21743.72973,3.983884139,1.250388472,1.045816733,576.9210906,2.730009399,0.7018592297,383.7884806,2.754121224,0.3220451527,171.8945686,2.821496944
optimistic,0.5,100,cancel,428534,414222,14312,106019,0.2473992729,2677,411545,1497,1180,1180,0,6305727.5,3847558.5,124905.5,69758,55147.5,0.1286887388,0.1331351304,0.5201661966,1.790554488,0.01980826162,0.01813045858,0.006462718059,1.638890611,40752.13899,24865.6858,15886.45319,3.471353822,1.092540574,0.9305084746,421.5113973,2.60491177,0.6288135593,280.4044112,2.646178057,0.2906779661,125.59,2.731109164
optimistic,0.6,0,cancel,428534,414222,14312,94052,0.219473834,2039,412183,1359,680,680,0,6305727.5,3847558.5,114031.5,58507,55524.5,0.1295684823,0.1340452704,0.5903595883,1.949023194,0.01808379763,0.01520626652,0.004922481182,1.638890611,31039.82495,18939.53431,12100.29064,4.588691432,1.189233242,1.511764706,321.0540676,3.201952891,1.033823529,213.5766135,3.291558886,0.4941176471,95.6585768,3.512492149
optimistic,0.6,25,cancel,428534,414222,14312,94052,0.219473834,1644,412578,1058,586,586,0,6305727.5,3847558.5,89766.5,47487.5,42279,0.09865961627,0.102068456,0.4495279207,1.890318505,0.01423570873,0.01234224249,0.003968886249,1.638890611,25026.71517,15270.52202,9756.193143,4.333555044,1.153413469,1.341296928,258.858699,3.036405588,0.9215017065,172.2020366,3.135851414,0.433447099,77.12736648,3.293253894
optimistic,0.6,50,cancel,428534,414222,14312,94052,0.219473834,1354,412868,843,511,511,0,6305727.5,3847558.5,75304,42517.5,32786.5,0.07650851508,0.07915200062,0.3485997108,1.771129535,0.01194215893,0.01105051424,0.003268778578,1.638890611,20612.02697,12576.8168,8035.210167,4.080353758,1.080688072,1.244618395,213.1962764,2.983166549,0.8414872798,141.8257649,3.031889165,0.4168297456,63.5221741,3.353159791
optimistic,0.6,100,cancel,428534,414222,14312,94052,0.219473834,984,413238,584,400,400,0,6305727.5,3847558.5,56827.5,37344.5,19483,0.04546430388,0.04703516472,0.2071513631,1.521710024,0.009012045002,0.009706025263,0.002375537755,1.638890611,14979.49375,9140.020482,5839.473268,3.336431063,0.9285000562,1.1025,154.9373235,2.846312239,0.7675,103.0698321,2.978563113,0.365,46.1638252,3.162649529
optimistic,0.7,0,cancel,428534,414222,14312,86159,0.2010552255,620,413602,426,194,194,0,6305727.5,3847558.5,42497,33124,9373,0.02187224351,0.02262796278,0.1087872422,1.282967033,0.006739428559,0.008609095872,0.001496781919,1.638890611,9438.298907,5758.955995,3679.342913,2.547465736,0.7828265197,1.670103093,97.62311031,3.318886265,1.231958763,64.9423739,3.680185766,0.6288659794,29.08696303,4.194318942
optimistic,0.7,25,cancel,428534,414222,14312,86159,0.2010552255,495,413727,329,166,166,0,6305727.5,3847558.5,34386.5,26617.5,7769,0.01812924995,0.01875564311,0.09017049873,1.291875646,0.005453216937,0.006918023469,0.001195011371,1.638890611,7535.416063,4597.876157,2937.539906,2.644730029,0.7882622777,1.463855422,77.94103162,3.117741643,1.102409639,51.84915335,3.529469397,0.5662650602,23.22265597,4.047771286
optimistic,0.7,50,cancel,428534,414222,14312,86159,0.2010552255,404,413818,253,151,151,0,6305727.5,3847558.5,28848.5,24719,4129.5,0.009636341574,0.009969291829,0.04792882926,1.167057729,0.004574967757,0.006424593674,0.0009753224117,1.638890611,6150.117353,3752.610035,2397.507317,1.72241393,0.7121022728,1.264900662,63.61247833,3.002555552,0.9536423841,42.3172888,3.402864505,0.5231788079,18.95344043,4.168108704
optimistic,0.7,100,cancel,428534,414222,14312,86159,0.2010552255,304,413918,178,126,126,0,6305727.5,3847558.5,23089,21812,1277,0.002979926914,0.00308288792,0.01482143479,1.058545755,0.003661591783,0.005669049606,0.0007339059731,1.638890611,4627.811077,2823.746165,1804.064912,0.707845927,0.6458916463,1.031746032,47.86681538,2.715869,0.8253968254,31.84271236,3.266053432,0.4523809524,14.26199478,3.996635877
optimistic,0.8,0,cancel,428534,414222,14312,81009,0.1890375093,181,414041,134,47,47,0,6305727.5,3847558.5,17100.5,14572.5,2528,0.005899181862,0.006103007566,0.03120640916,1.17347744,0.002711899618,0.003787466779,0.0004369637537,1.638890611,2755.374358,1681.243605,1074.130754,2.353530975,0.7160193808,2.234042553,28.49964995,3.684255779,1.723404255,18.95898335,4.272380988,1.021276596,8.491516626,5.652700467
optimistic,0.8,25,cancel,428534,414222,14312,81009,0.1890375093,142,414080,101,41,41,0,6305727.5,3847558.5,13250,9706,3544,0.008270055585,0.008555798581,0.04374822551,1.365134968,0.002101264287,0.002522638707,0.0003428113427,1.638890611,2161.674911,1318.986696,842.6882155,4.205588656,0.8329628342,1.829268293,22.35884139,3.354377746,1.43902439,14.87389854,3.966680279,0.7804878049,6.661852823,4.803468472
optimistic,0.8,50,cancel,428534,414222,14312,81009,0.1890375093,119,414103,80,39,39,0,6305727.5,3847558.5,10916.5,9325,1591.5,0.003713824341,0.003842142619,0.01964596526,1.170670241,0.001731203894,0.002423614872,0.0002872855618,1.638890611,1811.544468,1105.348005,706.1964623,2.253622165,0.7143065154,1.512820513,18.73733891,3.148792914,1.153846154,12.46474596,3.61018188,0.641025641,5.582820323,4.478023392
optimistic,0.8,100,cancel,428534,414222,14312,81009,0.1890375093,92,414130,58,34,34,0,6305727.5,3847558.5,9056.5,8648.5,408,0.0009520831486,0.0009849790692,0.005036477428,1.047175811,0.001436233963,0.002247789085,0.0002221031234,1.638890611,1400.521773,854.5547605,545.9670129,0.747297896,0.6389540607,1.205882353,14.48600992,2.830316991,0.9705882353,9.63661032,3.424440639,0.5,4.316129998,3.938713618
optimistic,0.9,0,cancel,428534,414222,14312,71656,0.1672119365,28,414194,20,8,8,0,6305727.5,3847558.5,5949,7161.5,-1212.5,-0.002829413769,-0.002927174317,-0.01692112314,0.8306918942,0.0009434280184,0.001861310231,6.759660279e-05,1.638890611,426.2457571,260.0818836,166.1638735,-7.297013332,0.5068623181,2.25,4.408785627,4.082756914,2.25,2.932881402,6.137309197,1.875,1.313604782,11.41895965
optimistic,0.9,25,cancel,428534,414222,14312,71656,0.1672119365,21,414201,14,7,7,0,6305727.5,3847558.5,5187,7057,-1870,-0.004363714431,-0.0045144874,-0.02609690745,0.7350148788,0.0008225854987,0.00183415015,5.069745209e-05,1.638890611,319.6843178,195.0614127,124.6229051,-15.00526728,0.4484831837,1.857142857,3.30658922,3.931543695,1.857142857,2.199661051,5.910001449,1.571428571,0.9852035865,11.16520499
optimistic,0.9,50,cancel,428534,414222,14312,71656,0.1672119365,16,414206,10,6,6,0,6305727.5,3847558.5,4730,6910.5,-2180.5,-0.00508827771,-0.005264085442,-0.03043011053,0.6844656682,0.000750111704,0.001796074056,3.862663016e-05,1.638890611,243.5690041,148.6182192,94.95078484,-22.96452845,0.4176396299,1.5,2.519306073,3.5724123,1.5,1.67593223,5.370145547,1.5,0.750631304,11.98990763
optimistic,0.9,100,cancel,428534,414222,14312,71656,0.1672119365,13,414209,7,6,6,0,6305727.5,3847558.5,4503.5,6910.5,-2407,-0.005616823869,-0.005810893675,-0.03359104611,0.6516894581,0.0007141919786,0.001796074056,3.138413701e-05,1.638890611,197.8998158,120.7523031,77.14751269,-31.19996894,0.3976406075,1.166666667,2.046936184,3.419745107,1.166666667,1.361694937,5.140652148,1.166666667,0.6098879345,11.47751842
