queue_cell,threshold,latency_ms,policy,eligible_opportunities,baseline_fills,cancelled_opportunities,cancel_rate,surviving_fills,baseline_fill_rate,surviving_fill_rate,fill_rate_reduction,cancel_too_late,cancel_too_late_rate,cancel_without_baseline_fill,unnecessary_cancel_rate,baseline_unfilled,baseline_negative_to_positive_ratio,baseline_observed,baseline_mean,baseline_median,baseline_p1,baseline_p5,baseline_p10,baseline_p25,baseline_p50,baseline_p75,baseline_p90,baseline_frac_favourable,baseline_cat_25_rate,baseline_cat_50_rate,baseline_cat_100_rate,surviving_observed,surviving_mean,surviving_median,surviving_p1,surviving_p5,surviving_p10,surviving_p25,surviving_p50,surviving_p75,surviving_p90,surviving_frac_favourable,surviving_cat_25_rate,surviving_cat_50_rate,surviving_cat_100_rate,baseline_cat_25_per_opportunity,surviving_cat_25_per_opportunity,baseline_cat_50_per_opportunity,surviving_cat_50_per_opportunity,baseline_cat_100_per_opportunity,surviving_cat_100_per_opportunity,catastrophic_25_avoided,catastrophic_50_avoided,catastrophic_100_avoided
conservative,0.3,25,cancel,428534,276955,148335,0.34614523,204318,0.6462847755,0.4767836391,0.1695011364,67645,0.4822072682,8053,0.05428927765,151579,10.77584458,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,204303,-57.99601327,-42.5,-324.5,-193.5,-145.5,-86.5,-42.5,-16.5,0.5,0.1187158289,0.671884407,0.4455685917,0.1988419162,0.4285564273,0.3203199746,0.2850905646,0.2124242184,0.128370211,0.09479761232,46383,31140,14387
conservative,0.3,50,cancel,428534,276955,148335,0.34614523,207829,0.6462847755,0.484976688,0.1613080876,71156,0.5072354258,8053,0.05428927765,151579,10.77584458,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,207814,-57.99289509,-42.5,-324.5,-192.5,-145.5,-86.5,-42.5,-16.5,0.5,0.1182644095,0.6720192095,0.4456725726,0.1987835276,0.4285564273,0.3258901277,0.2850905646,0.2161252083,0.128370211,0.0963984188,43996,29554,13701
conservative,0.3,100,cancel,428534,276955,148335,0.34614523,213292,0.6462847755,0.4977248013,0.1485599742,76619,0.5461784121,8053,0.05428927765,151579,10.77584458,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,213277,-58.03068545,-42.5,-324.5,-193.5,-145.5,-86.5,-42.5,-16.5,0.5,0.1179686511,0.6723134703,0.4458474191,0.1991916615,0.4285564273,0.3346035554,0.2850905646,0.2218937121,0.128370211,0.09913565785,40262,27082,12528
conservative,0.4,0,cancel,428534,276955,122630,0.2861616581,231944,0.6462847755,0.5412499358,0.1050348397,73830,0.6212502419,3789,0.03089782272,151579,10.77584458,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,231929,-57.57957177,-42.5,-322.5,-191.5,-144.5,-86.5,-42.5,-15.5,0.5,0.121981296,0.6687693216,0.4434331196,0.197513032,0.4285564273,0.3619479435,0.2850905646,0.239992626,0.128370211,0.1068970023,28544,19326,9202
conservative,0.4,25,cancel,428534,276955,122630,0.2861616581,234892,0.6462847755,0.5481292033,0.09815557225,76778,0.6460564957,3789,0.03089782272,151579,10.77584458,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,234877,-57.5530235,-42.5,-322.5,-191.5,-144.5,-86.5,-42.5,-15.5,0.5,0.1218765567,0.6690012219,0.4435683358,0.1976651609,0.4285564273,0.3666756897,0.2850905646,0.2431172322,0.128370211,0.1083391283,26518,17987,8584
conservative,0.4,50,cancel,428534,276955,122630,0.2861616581,237499,0.6462847755,0.5542127346,0.09207204096,79385,0.6679933693,3789,0.03089782272,151579,10.77584458,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,237484,-57.58398039,-42.5,-322.5,-192.5,-145.5,-86.5,-42.5,-15.5,0.5,0.1216039817,0.6691861346,0.4436846272,0.1979249128,0.4285564273,0.3708480541,0.2850905646,0.2458801402,0.128370211,0.1096855792,24730,16803,8007
conservative,0.4,100,cancel,428534,276955,122630,0.2861616581,241466,0.6462847755,0.5634698764,0.08281489917,83352,0.7013741049,3789,0.03089782272,151579,10.77584458,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,241451,-57.61912562,-42.5,-322.5,-192.5,-145.5,-86.5,-42.5,-15.5,0.5,0.1213786648,0.6692952193,0.443692509,0.1981478644,0.4285564273,0.3771042671,0.2850905646,0.2499918326,0.128370211,0.1116434169,22049,15041,7168
conservative,0.5,0,cancel,428534,276955,106019,0.2473992729,252565,0.6462847755,0.589369805,0.05691497057,79905,0.7661441105,1724,0.01626123619,151579,10.77584458,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,252550,-57.30724411,-41.5,-321.5,-192.5,-144.5,-86.5,-41.5,-15.5,0.5,0.1244070481,0.6670956246,0.4420867155,0.1969867353,0.4285564273,0.3931426678,0.2850905646,0.2605370869,0.128370211,0.1160911386,15176,10522,5262
conservative,0.5,25,cancel,428534,276955,106019,0.2473992729,254562,0.6462847755,0.5940298786,0.05225489693,81902,0.7852917206,1724,0.01626123619,151579,10.77584458,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,254547,-57.30485922,-41.5,-322.5,-192.5,-145.5,-86.5,-41.5,-15.5,0.5,0.1244210303,0.6672323775,0.4422680291,0.1972288025,0.4285564273,0.396332613,0.2850905646,0.2627049429,0.128370211,0.117152898,13809,9593,4807
conservative,0.5,50,cancel,428534,276955,106019,0.2473992729,256270,0.6462847755,0.59801556,0.04826921551,83610,0.8016683446,1724,0.01626123619,151579,10.77584458,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,256255,-57.32231956,-41.5,-322.5,-192.5,-145.5,-86.5,-41.5,-15.5,0.5,0.1242902578,0.6673001502,0.4423835632,0.1974829759,0.4285564273,0.3990325155,0.2850905646,0.2645367695,0.128370211,0.1180909799,12652,8808,4405
