queue_cell,threshold,latency_ms,mechanism_name,eligible_opportunities,baseline_fills,baseline_fill_rate,baseline_unfilled,cancelled_opportunities,cancel_rate,orders_unaffected,fills_prevented,surviving_fills,surviving_fill_rate,fill_rate_reduction,adverse_fills_avoided,favourable_fills_sacrificed,non_negative_fills_sacrificed,prevented_fills_markout_censored,cancel_too_late,cancel_too_late_rate,cancel_without_baseline_fill,unnecessary_cancel_rate,total_baseline_negative_ticks,total_baseline_positive_ticks,adverse_markout_avoided,favourable_markout_sacrificed,net_markout_preserved,net_per_eligible_opportunity,net_per_baseline_fill,net_per_cancelled_order,avoidance_efficiency_ticks,fraction_baseline_negative_removed,fraction_baseline_positive_removed,prevented_share_of_baseline_fills,baseline_negative_to_positive_ratio,random_match_adverse_avoided,random_match_favourable_sacrificed,random_match_net_markout,net_markout_lift_over_random,avoidance_efficiency_lift,catastrophic_25_avoided,catastrophic_25_avoidance_efficiency,catastrophic_25_random_match,catastrophic_25_avoidance_lift,catastrophic_50_avoided,catastrophic_50_avoidance_efficiency,catastrophic_50_random_match,catastrophic_50_avoidance_lift,catastrophic_100_avoided,catastrophic_100_avoidance_efficiency,catastrophic_100_random_match,catastrophic_100_avoidance_lift,baseline_observed,baseline_mean,baseline_median,baseline_p1,baseline_p5,baseline_p10,baseline_p25,baseline_p50,baseline_p75,baseline_p90,baseline_frac_favourable,baseline_cat_25_rate,baseline_cat_50_rate,baseline_cat_100_rate,surviving_observed,surviving_mean,surviving_median,surviving_p1,surviving_p5,surviving_p10,surviving_p25,surviving_p50,surviving_p75,surviving_p90,surviving_frac_favourable,surviving_cat_25_rate,surviving_cat_50_rate,surviving_cat_100_rate,baseline_cat_25_per_opportunity,surviving_cat_25_per_opportunity,baseline_cat_50_per_opportunity,surviving_cat_50_per_opportunity,baseline_cat_100_per_opportunity,surviving_cat_100_per_opportunity
conservative,0.5,0,trade_through,218597,218597,1,0,78676,0.359913448,139921,18493,200104,0.9154014008,0.08459859925,16438,2055,2055,0,60183,0.7649473791,0,0,14466607,1216793.5,1244522.5,173018,1071504.5,4.901734699,4.901734699,13.61920408,7.193023269,0.08602725573,0.1421917523,0.08459859925,11.88912252,1223854.688,102939.0257,1120915.662,0.9559189294,0.6050087598,12309,5.989781022,13133.42494,0.9372269651,8439,4.106569343,8659.343422,0.9745542576,4134,2.011678832,3837.392462,1.077294033,218582,-60.61712996,-45.5,-324.5,-194.5,-147.5,-89.5,-45.5,-20.5,-2.5,0.0685692326,0.7102323156,0.4682819262,0.2075193749,200089,-60.86446032,-46.5,-323.5,-192.5,-146.5,-89.5,-46.5,-21.5,-3.5,0.06463623687,0.7143571111,0.4693861232,0.206038313,0.7101835798,0.6538744814,0.468249793,0.4296445056,0.207505135,0.1885936221
conservative,0.5,0,unfilled,151579,0,0,151579,1724,0.01137360716,149855,0,0,0,0,0,0,0,0,0,,1724,1,-0,0,0,0,0,0,,0,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0
conservative,0.5,50,at_quote,58358,58358,1,0,25619,0.438997224,32739,5384,52974,0.9077418692,0.09225813085,3449,1934,1934,1,20235,0.7898434755,0,0,2915326,396252.5,280386.5,84835,195551.5,3.350894479,3.350894479,7.633065303,3.30508045,0.0961767226,0.2140932865,0.09225813085,7.357243172,268962.5276,36557.51499,232405.0126,0.8414254832,0.4492281107,2555,1.321096174,2620.776723,0.9749018211,1851,0.9570837642,1827.910346,1.012631721,993,0.5134436401,890.3832208,1.115250127,58357,-43.16660384,-22.5,-319.5,-192.5,-138.5,-72.5,-22.5,0.5,0.5,0.3516459037,0.4867796494,0.339513683,0.1653786178,52974,-43.86155472,-23.5,-319.5,-190.5,-137.5,-72.5,-23.5,0.5,0.5,0.3508702382,0.4880129875,0.3390719976,0.163438668,0.4867713081,0.4429898214,0.3395078652,0.3077898489,0.165375784,0.148360122
conservative,0.5,50,trade_through,218597,218597,1,0,78676,0.359913448,139921,15301,203296,0.930003614,0.06999638604,13576,1725,1725,0,63375,0.8055188367,0,0,14466607,1216793.5,1029334.5,145130,884204.5,4.044906838,4.044906838,11.23855432,7.092499828,0.07115244784,0.1192724978,0.06999638604,11.88912252,1012610.208,85171.14756,927439.0608,0.9533828555,0.5965536832,10097,5.853333333,10866.51895,0.9291844096,6957,4.033043478,7164.690083,0.9710119935,3412,1.977971014,3175.036071,1.07463346,218582,-60.61712996,-45.5,-324.5,-194.5,-147.5,-89.5,-45.5,-20.5,-2.5,0.0685692326,0.7102323156,0.4682819262,0.2075193749,203281,-60.83012677,-46.5,-323.5,-192.5,-146.5,-89.5,-46.5,-21.5,-3.5,0.06524466133,0.7140214777,0.4693060345,0.2063547503,0.7101835798,0.6639935589,0.468249793,0.4364241046,0.207505135,0.1918965036
conservative,0.5,50,unfilled,151579,0,0,151579,1724,0.01137360716,149855,0,0,0,0,0,0,0,0,0,,1724,1,-0,0,0,0,0,0,,0,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0
conservative,0.5,100,at_quote,58358,58358,1,0,25619,0.438997224,32739,4972,53386,0.914801741,0.08519825902,3131,1840,1840,1,20647,0.8059252898,0,0,2915326,396252.5,254470,80206,174264,2.986120155,2.986120155,6.802139037,3.172705284,0.08728697923,0.2024113413,0.08519825902,7.357243172,248380.6997,33760.02313,214620.6765,0.8119627745,0.431235615,2315,1.258152174,2420.226944,0.956521869,1680,0.9130434783,1688.033106,0.9952411443,907,0.4929347826,822.2483978,1.103072992,58357,-43.16660384,-22.5,-319.5,-192.5,-138.5,-72.5,-22.5,0.5,0.5,0.3516459037,0.4867796494,0.339513683,0.1653786178,53386,-43.92180534,-23.5,-319.5,-190.5,-137.5,-72.5,-23.5,0.5,0.5,0.3499232008,0.4887423669,0.3396583374,0.1637882591,0.4867713081,0.4471023681,0.3395078652,0.3107200384,0.165375784,0.1498337846
conservative,0.5,100,trade_through,218597,218597,1,0,78676,0.359913448,139921,13036,205561,0.9403651468,0.05963485318,11524,1512,1512,0,65640,0.834307794,0,0,14466607,1216793.5,880730.5,131328,749402.5,3.428237807,3.428237807,9.525172861,6.706342136,0.06088023958,0.1079295706,0.05963485318,11.88912252,862713.9844,72563.30172,790150.6827,0.9484298583,0.5640737679,8589,5.680555556,9257.953147,0.9277428676,5938,3.927248677,6104.104302,0.9727880958,2886,1.908730159,2705.03694,1.066898554,218582,-60.61712996,-45.5,-324.5,-194.5,-147.5,-89.5,-45.5,-20.5,-2.5,0.0685692326,0.7102323156,0.4682819262,0.2075193749,205546,-60.81563738,-45.5,-323.5,-192.5,-146.5,-89.5,-45.5,-21.5,-3.5,0.06556196666,0.7134899244,0.4690920767,0.2066398762,0.7101835798,0.6708920982,0.468249793,0.4410856508,0.207505135,0.194302758
conservative,0.5,100,unfilled,151579,0,0,151579,1724,0.01137360716,149855,0,0,0,0,0,0,0,0,0,,1724,1,-0,0,0,0,0,0,,0,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0
conservative,0.7,0,at_quote,58358,58358,1,0,20445,0.3503375715,37913,647,57711,0.9889132595,0.01108674046,417,230,230,0,19798,0.9683541208,0,0,2915326,396252.5,39894,17385,22509,0.3857054731,0.3857054731,1.100953778,2.294736842,0.01368423291,0.04387354023,0.01108674046,7.357243172,32321.46273,4393.148626,27928.3141,0.8059562749,0.3119017258,319,1.386956522,314.9410364,1.012888011,247,1.073913043,219.6615888,1.124456949,148,0.6434782609,106.9981322,1.383201715,58357,-43.16660384,-22.5,-319.5,-192.5,-138.5,-72.5,-22.5,0.5,0.5,0.3516459037,0.4867796494,0.339513683,0.1653786178,57710,-43.26051811,-22.5,-319.5,-192.5,-137.5,-72.5,-22.5,0.5,0.5,0.3516028418,0.4867094091,0.3390400277,0.1646681684,0.4867713081,0.4813050482,0.3395078652,0.3352753693,0.165375784,0.1628397135
conservative,0.7,0,trade_through,218597,218597,1,0,65431,0.2993224976,153166,3143,215454,0.9856219436,0.01437805642,2724,419,419,0,62288,0.9519646651,0,0,14466607,1216793.5,220513.5,46563.5,173950,0.7957565749,0.7957565749,2.658525775,4.735758695,0.01524293153,0.03826738062,0.01437805642,11.88912252,208001.6917,17495.1256,190506.5661,0.9130918874,0.398327016,2112,5.040572792,2232.106991,0.9461912033,1463,3.491646778,1471.709099,0.9940823228,794,1.894988067,652.1886394,1.217439176,218582,-60.61712996,-45.5,-324.5,-194.5,-147.5,-89.5,-45.5,-20.5,-2.5,0.0685692326,0.7102323156,0.4682819262,0.2075193749,215439,-60.694041,-45.5,-324.5,-193.5,-146.5,-89.5,-45.5,-20.5,-2.5,0.06762471047,0.7107905254,0.4683228199,0.2068613389,0.7101835798,0.7005219651,0.468249793,0.4615571119,0.207505135,0.2038728802
