queue_cell,threshold,latency_ms,file_index,segment_id,eligible_opportunities,baseline_fills,cancelled_opportunities,cancel_rate,fills_prevented,surviving_fills,favourable_fills_sacrificed,adverse_markout_avoided,favourable_markout_sacrificed,net_markout_preserved,net_per_eligible_opportunity,avoidance_efficiency_ticks,avoidance_efficiency_lift,net_markout_lift_over_random,cancel_too_late_rate,catastrophic_25_avoided,catastrophic_25_avoidance_lift,catastrophic_50_avoided,catastrophic_50_avoidance_lift,catastrophic_100_avoided,catastrophic_100_avoidance_lift
conservative,0.1,100,2,5,32396,26415,23148,0.7145326584,16754,9661,3189,1171529,129399.5,1042129.5,32.16846216,9.053582124,1.287337281,0.9865801312,0.1769907157,10780,0.9865429597,8010,0.9857836002,3969,0.9401559297
conservative,0.1,100,2,6,68414,57344,51310,0.7499926916,38465,18879,6328,2833045.5,293296.5,2539749,37.12323501,9.659322563,1.105495054,1.005905806,0.1519874777,26434,0.9969154306,20256,0.9993660475,10746,1.003334528
conservative,0.2,0,2,1,148138,70389,45317,0.3059107049,21854,48535,1927,882618.5,12862.5,869756,5.871255181,68.61951409,0.8541200574,0.8912185429,0.4329674892,12969,0.9389391867,6159,0.8551695689,1567,0.7175307028
conservative,0.2,0,2,2,145274,97566,65871,0.4534259399,42677,54889,6100,2710995.5,309074,2401921.5,16.53373281,8.771347638,1.006771929,0.9557893916,0.2901836205,28088,0.9875333062,18982,0.9757321827,8714,0.960026326
conservative,0.2,0,2,3,236,189,144,0.6101694915,117,72,9,4438.5,172.5,4266,18.07627119,25.73043478,0.8798490393,0.8160131165,0.1333333333,59,0.7876668786,25,0.5384615385,16,1.076923077
conservative,0.2,0,2,4,34076,25052,17786,0.5219509332,12274,12778,1485,654464,27705.5,626758.5,18.39295985,23.62216888,1.028636823,0.8868177402,0.2347403205,7991,0.9449669586,5111,0.9153975052,1809,0.8063511458
conservative,0.2,0,2,5,32396,26415,18724,0.5779725892,13761,12654,2725,938121,124620,813501,25.1111557,7.527852672,1.070392388,0.9376424964,0.2033231054,8658,0.9646801418,6328,0.9481653045,3138,0.9049826354
conservative,0.2,0,2,6,68414,57344,41391,0.605007747,31387,25957,5377,2248233,251306.5,1996926.5,29.18885754,8.946179267,1.023876868,0.9692694545,0.1775541755,21243,0.981809457,16094,0.9730851135,8442,0.9659623486
conservative,0.2,25,2,1,148138,70389,45317,0.3059107049,20852,49537,1861,834145.5,12261.5,821884,5.548097045,68.02964564,0.8467778533,0.8826337481,0.4589657767,12294,0.9328405273,5837,0.8494052675,1486,0.713137911
conservative,0.2,25,2,2,145274,97566,65871,0.4534259399,41043,56523,5931,2609998,293611,2316387,15.9449523,8.889305918,1.020311136,0.9584496443,0.3173607877,27018,0.9877315314,18274,0.9767357108,8389,0.9610158855
conservative,0.2,25,2,3,236,189,144,0.6101694915,111,78,9,4387.5,172.5,4215,17.86016949,25.43478261,0.8697392498,0.849839182,0.1777777778,58,0.8161715434,25,0.5675675676,16,1.135135135
conservative,0.2,25,2,4,34076,25052,17786,0.5219509332,11794,13258,1468,628196.5,27412,600784.5,17.6307225,22.91684299,0.9979231236,0.8846629818,0.2646673733,7605,0.935922109,4879,0.9094098569,1756,0.8145826349
conservative,0.2,25,2,5,32396,26415,18724,0.5779725892,13281,13134,2646,900883,118851.5,782031.5,24.13975491,7.579904334,1.077793662,0.9339479134,0.2311121403,8323,0.9608705215,6089,0.945328565,3014,0.9006369758
conservative,0.2,25,2,6,68414,57344,41391,0.605007747,30291,27053,5258,2171392,244566.5,1926825.5,28.16419885,8.878534059,1.016134975,0.969083118,0.2062730917,20480,0.9807933456,15535,0.9732721262,8135,0.9645141528
conservative,0.2,50,2,1,148138,70389,45317,0.3059107049,19892,50497,1852,792001,12138,779863,5.264435864,65.24971165,0.8121754897,0.8779253407,0.4838743157,11638,0.9256819929,5583,0.8516519598,1426,0.7173704882
conservative,0.2,50,2,2,145274,97566,65871,0.4534259399,39396,58170,5809,2505343,284917,2220426,15.28440051,8.793238031,1.0092845,0.9571531975,0.3447541747,25855,0.984730142,17512,0.9751381852,8054,0.9612115182
conservative,0.2,50,2,3,236,189,144,0.6101694915,107,82,9,4103.5,172.5,3931,16.65677966,23.7884058,0.813441598,0.8222074667,0.2074074074,54,0.7882907237,23,0.541682243,14,1.030373832
conservative,0.2,50,2,4,34076,25052,17786,0.5219509332,11475,13577,1445,611641.5,26255.5,585386,17.17883554,23.29574756,1.014422675,0.8859513949,0.2845563938,7383,0.9338600262,4727,0.9055717597,1720,0.8200635562
conservative,0.2,50,2,5,32396,26415,18724,0.5779725892,12794,13621,2585,859939.5,114813,745126.5,23.00057106,7.489914034,1.064997858,0.9237465915,0.259306432,7975,0.9557407364,5835,0.9403772151,2870,0.8902517829
conservative,0.2,50,2,6,68414,57344,41391,0.605007747,29279,28065,5133,2096558.5,239384,1857174.5,27.14611775,8.758139642,1.002356014,0.9663372614,0.2327909231,19738,0.9779306869,14972,0.9704210708,7878,0.966327625
conservative,0.2,100,2,1,148138,70389,45317,0.3059107049,18563,51826,1796,727030,11690,715340,4.828875778,62.1924722,0.7741214526,0.8629429102,0.5183570743,10702,0.9121761129,5095,0.8328542313,1250,0.6738516245
conservative,0.2,100,2,2,145274,97566,65871,0.4534259399,37109,60457,5571,2353140.5,270203,2082937.5,14.33799235,8.708787467,0.9995912968,0.9532224601,0.3827922294,24255,0.9807240961,16484,0.9744642211,7557,0.9574798448
conservative,0.2,100,2,3,236,189,144,0.6101694915,101,88,9,3887.5,172.5,3715,15.74152542,22.53623188,0.7706236658,0.8231890685,0.2518518519,48,0.7423287783,23,0.5738613861,14,1.091584158
