queue_cell,threshold,latency_ms,statistic,blocks,block_mean,block_median,block_worst,block_best,frac_blocks_positive,block_bootstrap_p05,block_bootstrap_p95
midpoint,0.2,0,net_per_eligible_opportunity,120,10.41235935,9.472937013,0.2975,26.51444444,1,9.196868098,11.59298796
midpoint,0.2,25,net_per_eligible_opportunity,120,9.784439508,8.736041667,0.2804166667,25.07069444,1,8.618005405,10.91909751
midpoint,0.2,50,net_per_eligible_opportunity,120,9.179997386,8.238900389,0.2540277778,23.94375,1,8.111196141,10.24322025
midpoint,0.2,100,net_per_eligible_opportunity,120,8.305784372,7.107413305,0.2529166667,21.37305556,1,7.310030032,9.281460771
midpoint,0.3,0,net_per_eligible_opportunity,120,5.9473309,4.441597222,0.02125,20.77236111,1,5.12250566,6.733099122
midpoint,0.3,25,net_per_eligible_opportunity,120,5.436363276,3.974791667,0.01041666667,19.36888889,1,4.688086871,6.152274129
midpoint,0.3,50,net_per_eligible_opportunity,120,4.975212002,3.762083333,-0.05708333333,18.32541667,0.9916666667,4.267508079,5.643916795
midpoint,0.3,100,net_per_eligible_opportunity,120,4.285531603,3.016388889,-0.07458333333,15.75458333,0.9916666667,3.661596415,4.852796998
midpoint,0.4,0,net_per_eligible_opportunity,120,3.208395367,2.110555556,0,12.87958333,0.9916666667,2.696845075,3.705959833
midpoint,0.4,25,net_per_eligible_opportunity,120,2.841087288,1.744093684,0,11.47263889,0.9916666667,2.388668254,3.28062016
midpoint,0.4,50,net_per_eligible_opportunity,120,2.512997802,1.504509908,0,10.32263889,0.9916666667,2.102223591,2.916762269
midpoint,0.4,100,net_per_eligible_opportunity,120,2.04939048,1.001152689,-0.009861111111,8.364166667,0.9833333333,1.707565172,2.384383177
midpoint,0.5,0,net_per_eligible_opportunity,120,1.626035507,0.7534027778,-0.4065277778,8.761527778,0.9416666667,1.3544603,1.910521211
midpoint,0.5,25,net_per_eligible_opportunity,120,1.387980884,0.6640277778,-0.0425,8.064027778,0.9333333333,1.152510103,1.632347358
midpoint,0.5,50,net_per_eligible_opportunity,120,1.181774375,0.4636805556,-0.4693055556,6.965833333,0.9166666667,0.9733324566,1.399494504
midpoint,0.5,100,net_per_eligible_opportunity,120,0.9121959985,0.3241336052,-1.200694444,5.39375,0.9166666667,0.7478905935,1.090308814
midpoint,0.6,0,net_per_eligible_opportunity,120,0.6970777115,0.3138101557,-2.7325,4.114444444,0.875,0.5598408865,0.8464421144
midpoint,0.6,25,net_per_eligible_opportunity,120,0.5797007939,0.2643055556,-2.260972222,3.660416667,0.85,0.4642926258,0.7093678158
midpoint,0.6,50,net_per_eligible_opportunity,120,0.4868306832,0.1840277778,-2.74875,3.231666667,0.825,0.3802817853,0.6031617728
midpoint,0.6,100,net_per_eligible_opportunity,120,0.3446307644,0.1361712668,-3.073194444,2.638333333,0.7833333333,0.2531376725,0.4360584196
midpoint,0.7,0,net_per_eligible_opportunity,120,0.2263717698,0.1165972222,-3.764166667,1.834444444,0.7583333333,0.1495152437,0.3002267172
midpoint,0.7,25,net_per_eligible_opportunity,120,0.1873106918,0.09340277778,-2.990833333,1.909861111,0.7,0.1250431039,0.2526064928
midpoint,0.7,50,net_per_eligible_opportunity,120,0.1496614038,0.04534722222,-2.9325,1.855,0.65,0.08707676297,0.2084318718
midpoint,0.7,100,net_per_eligible_opportunity,120,0.09574619517,0.01895833333,-2.96375,1.459305556,0.6,0.03918976361,0.1445614501
midpoint,0.8,0,net_per_eligible_opportunity,120,0.06325635772,0.005555555556,-2.423611111,1.065555556,0.5416666667,0.01791449972,0.1047156237
midpoint,0.8,25,net_per_eligible_opportunity,120,0.05515548358,0,-1.422083333,0.9623611111,0.4833333333,0.02629313105,0.08536915368
midpoint,0.8,50,net_per_eligible_opportunity,120,0.03296121195,0,-1.341111111,0.8440277778,0.425,0.007457686193,0.05917227399
midpoint,0.8,100,net_per_eligible_opportunity,120,0.01994124154,0,-1.400277778,0.6919444444,0.375,-0.005816347701,0.04375485103
midpoint,0.9,0,net_per_eligible_opportunity,120,0.007971362832,0,-1.202083333,0.4945833333,0.2416666667,-0.01250221073,0.02543300255
midpoint,0.9,25,net_per_eligible_opportunity,120,0.004790751726,0,-1.286388889,0.4945833333,0.2,-0.01707398157,0.02170222893
midpoint,0.9,50,net_per_eligible_opportunity,120,-8.050703095e-05,0,-1.286388889,0.4945833333,0.1416666667,-0.0211823341,0.01703630961
midpoint,0.9,100,net_per_eligible_opportunity,120,-0.00329145412,0,-1.286388889,0.4945833333,0.075,-0.02318216489,0.01357021684
optimistic,0.1,0,net_per_eligible_opportunity,120,2.894050414,2.442430556,-4.017222222,8.870416667,0.9916666667,2.530251898,3.26612622
optimistic,0.1,25,net_per_eligible_opportunity,120,2.607146691,2.282638889,-2.660694444,8.208055556,0.9916666667,2.278547369,2.937428923
optimistic,0.1,50,net_per_eligible_opportunity,120,2.318936187,2.065902778,-2.731527778,7.905138889,0.9916666667,2.022258025,2.625639624
optimistic,0.1,100,net_per_eligible_opportunity,120,1.905853445,1.543888889,-3.701805556,6.963611111,0.9916666667,1.641037217,2.17049303
optimistic,0.2,0,net_per_eligible_opportunity,120,1.988912198,1.474722222,-4.322638889,6.631805556,0.9916666667,1.67602515,2.289298517
optimistic,0.2,25,net_per_eligible_opportunity,120,1.716850938,1.268819444,-3.081666667,6.112222222,0.9916666667,1.44400142,1.96656538
optimistic,0.2,50,net_per_eligible_opportunity,120,1.468955789,1.067013889,-3.4,5.807361111,0.9916666667,1.231130863,1.688393908
optimistic,0.2,100,net_per_eligible_opportunity,120,1.112858023,0.7591666667,-4.22625,4.99,0.9916666667,0.9187608503,1.302207833
optimistic,0.3,0,net_per_eligible_opportunity,120,1.177721021,0.725,-5.598611111,5.112361111,0.9833333333,0.9405837398,1.399288547
optimistic,0.3,25,net_per_eligible_opportunity,120,0.9833793818,0.6268055556,-4.398888889,4.445972222,0.975,0.7798441463,1.164240257
optimistic,0.3,50,net_per_eligible_opportunity,120,0.8250547214,0.5085416667,-4.642638889,4.195277778,0.975,0.6440646693,0.9799997629
optimistic,0.3,100,net_per_eligible_opportunity,120,0.6001740819,0.3611805556,-5.146388889,3.31875,0.975,0.4568573325,0.7334059251
optimistic,0.4,0,net_per_eligible_opportunity,120,0.6720901959,0.3188194444,-4.329861111,3.616388889,0.9583333333,0.5267352394,0.8247359068
optimistic,0.4,25,net_per_eligible_opportunity,120,0.5406992211,0.2714583333,-3.354861111,3.130833333,0.95,0.4231308488,0.6670913968
optimistic,0.4,50,net_per_eligible_opportunity,120,0.4432670453,0.2184571592,-3.447638889,3.091944444,0.9333333333,0.3383706961,0.5548605351
optimistic,0.4,100,net_per_eligible_opportunity,120,0.3039012074,0.140679515,-3.97,2.1825,0.8916666667,0.2081558737,0.3907697177
optimistic,0.5,0,net_per_eligible_opportunity,120,0.3297964689,0.1802083333,-5.221666667,2.37375,0.8833333333,0.2161067108,0.4429001962
optimistic,0.5,25,net_per_eligible_opportunity,120,0.2574941545,0.1315277778,-4.174166667,2.06875,0.8416666667,0.165395798,0.3453568432
optimistic,0.5,50,net_per_eligible_opportunity,120,0.202141487,0.09430555556,-4.188194444,1.928333333,0.8083333333,0.1127090393,0.2831667148
