queue_cell,latency_ms,ordered_by,statistic,steps,non_decreasing,non_increasing,frac_steps_up,spearman
optimistic,0,threshold,avoidance_efficiency_ticks,8,False,False,0.125,-0.9
optimistic,25,threshold,avoidance_efficiency_ticks,8,False,False,0.25,-0.9333333333
optimistic,50,threshold,avoidance_efficiency_ticks,8,False,False,0.25,-0.9333333333
optimistic,100,threshold,avoidance_efficiency_ticks,8,False,False,0.125,-0.9833333333
conservative,0,threshold,net_markout_lift_over_random,8,False,False,0.125,-0.9833333333
conservative,25,threshold,net_markout_lift_over_random,8,False,False,0.125,-0.95
conservative,50,threshold,net_markout_lift_over_random,8,False,False,0.125,-0.95
conservative,100,threshold,net_markout_lift_over_random,8,False,True,0,-1
midpoint,0,threshold,net_markout_lift_over_random,8,False,False,0.25,-0.3
midpoint,25,threshold,net_markout_lift_over_random,8,False,False,0.25,-0.7833333333
midpoint,50,threshold,net_markout_lift_over_random,8,False,False,0.125,-0.9833333333
midpoint,100,threshold,net_markout_lift_over_random,8,False,True,0,-1
optimistic,0,threshold,net_markout_lift_over_random,8,False,False,0.625,-0.3166666667
optimistic,25,threshold,net_markout_lift_over_random,8,False,False,0.75,0.06666666667
optimistic,50,threshold,net_markout_lift_over_random,8,False,False,0.75,-0.4
optimistic,100,threshold,net_markout_lift_over_random,8,False,False,0.5,-0.5166666667
