queue_cell,threshold,population,fills,fills_with_a_crossing,crossing_rate,lead_p1_ms,lead_p5_ms,lead_p10_ms,lead_p25_ms,lead_p50_ms,lead_p75_ms,lead_p90_ms,lead_mean_ms,frac_lead_le_0ms,frac_lead_0_25ms,frac_lead_25_50ms,frac_lead_50_100ms,frac_lead_100_250ms,frac_lead_250_500ms,frac_lead_gt_100ms,frac_lead_gt_250ms,frac_lead_gt_500ms
conservative,0.4,catastrophic_50,122171,52734,0.4316408968,-15583.23417,-91.000748,-69.684495,-39.98981725,-12.602849,182.9477287,1555.910058,310.0905987,0.6335191717,0.02539158797,0.02245230781,0.03341297834,0.05451890621,0.04752152312,0.2852239542,0.230705048,0.1831835249
conservative,0.4,catastrophic_100,55011,23297,0.4234971188,-16680.19604,-91.22749,-70.699661,-39.269953,-10.014854,256.146954,1795.137068,381.6129188,0.6050135211,0.02652702065,0.0247671374,0.03601322059,0.05623041593,0.05198094175,0.3076791003,0.2514486844,0.1994677426
conservative,0.5,all_fills,276955,104295,0.3765774223,-17564.38166,-3412.431338,-89.9456144,-52.106439,-22.404488,-1.356211,528.1449398,-265.493854,0.7661441105,0.01914761014,0.016376624,0.02566757754,0.03883215878,0.03144925452,0.1726640779,0.1338319191,0.1023826646
conservative,0.5,adverse_fills,241429,92107,0.3815076068,-15669.80978,-117.763541,-73.7772322,-47.642965,-21.615605,-2.136625,426.3659934,-70.73750674,0.779615013,0.01894535703,0.0166002584,0.02573094336,0.03693530351,0.02932458988,0.1591084282,0.1221731247,0.09284853486
conservative,0.5,catastrophic_25,183651,71599,0.3898644712,-16166.946,-98.785574,-73.510642,-47.8070985,-21.855574,-2.705752,382.8739156,-89.17664479,0.7880417324,0.01909244543,0.01615944357,0.0244137488,0.0354194891,0.02779368427,0.1522926298,0.1168731407,0.08907945642
conservative,0.5,catastrophic_50,122171,46918,0.3840354912,-16752.89916,-106.499887,-74.518287,-48.068881,-21.581076,-1.960811,442.3498325,-84.7274595,0.7757363912,0.01980050301,0.01673131847,0.02536339997,0.03759751055,0.02949827358,0.1623683874,0.1247708768,0.09527260327
conservative,0.5,catastrophic_100,55011,20632,0.3750522623,-16340.05336,-99.09970705,-75.4504143,-48.754978,-19.382475,4.86965225,603.6557611,-7.748383663,0.7449592865,0.02205312136,0.01948429624,0.02966265995,0.04110120202,0.03378247383,0.1838406359,0.1427394339,0.1089569601
conservative,0.6,all_fills,276955,93320,0.336950046,-17733.75774,-3935.547269,-97.3557958,-56.406047,-28.6395735,-9.588027,36.632336,-533.7255808,0.8821045864,0.01267681097,0.01006215174,0.01543077583,0.020852979,0.01567723961,0.0797256751,0.0588726961,0.04319545649
conservative,0.6,adverse_fills,241429,83340,0.3451946535,-15769.1524,-193.1506722,-76.2767194,-52.056929,-27.1143115,-9.537568,18.042693,-294.8478474,0.8907607391,0.0124550036,0.009827213823,0.01514278858,0.01924646028,0.01431485481,0.07181425486,0.05256779458,0.03825293976
conservative,0.6,catastrophic_25,183651,65290,0.3555112687,-16144.67578,-137.814464,-76.143649,-51.98986,-27.233829,-9.8284345,10.055219,-309.7027615,0.8939653852,0.01249808546,0.009756471129,0.01536223005,0.01879307704,0.0134476949,0.06841782815,0.04962475111,0.03617705621
conservative,0.6,catastrophic_50,122171,42629,0.3489289602,-16962.66072,-173.200847,-76.9344292,-52.110202,-26.807825,-9.214382,27.513929,-326.3994903,0.8855473973,0.01313659715,0.01053273593,0.01604541509,0.02061976589,0.01426259119,0.07473785451,0.05411808863,0.03985549743
conservative,0.6,catastrophic_100,55011,18587,0.337877879,-16987.66964,-137.9044725,-77.7165938,-53.264405,-25.934435,-7.7633485,72.648216,-280.6540304,0.8660354011,0.01393447033,0.01221283693,0.01996018723,0.02157421854,0.01775434443,0.08785710443,0.06628288589,0.04852854145
conservative,0.7,all_fills,276955,85876,0.3100720334,-17548.91355,-3856.053472,-98.98559,-58.40393925,-31.650283,-13.612881,-3.80582,-636.0464919,0.9558665984,0.005962084867,0.004413340165,0.007755368205,0.007976617448,0.00528669244,0.02600260841,0.01802599096,0.01273929852
conservative,0.7,adverse_fills,241429,77433,0.320727833,-14766.82526,-182.2978202,-77.499746,-54.028292,-30.102193,-12.958565,-3.807576,-374.5043222,0.9594358994,0.005798561337,0.004171348133,0.007554918446,0.007490346493,0.004571694239,0.02303927266,0.01554892617,0.01097723193
conservative,0.7,catastrophic_25,183651,61162,0.3330338523,-15058.73665,-113.5328351,-76.9973883,-53.83052875,-30.011772,-13.3342715,-3.860154,-378.805526,0.9602530983,0.005657107354,0.004054805271,0.007880710245,0.007619109905,0.004251005526,0.0221542788,0.0145351689,0.01028416337
conservative,0.7,catastrophic_50,122171,39845,0.3261412283,-16392.82542,-139.1597106,-77.814933,-54.141273,-29.808108,-13.440462,-3.8515108,-402.7018854,0.9570836993,0.005722173422,0.004617894341,0.0081315096,0.008332287615,0.004567699837,0.0244447233,0.01611243569,0.01154473585
conservative,0.7,catastrophic_100,55011,17269,0.3139190344,-15591.33209,-111.597072,-78.5354496,-55.091476,-29.393467,-12.209905,-2.7783438,-374.0817947,0.9454513869,0.006253981122,0.005559094331,0.01053911634,0.009670507846,0.005501187098,0.03219642133,0.02252591349,0.01702472639
conservative,0.8,all_fills,276955,80935,0.29223159,-17394.51928,-3667.506886,-98.6843298,-59.42928,-33.186264,-15.205776,-5.754108,-654.3651536,0.9870884043,0.002112806573,0.001519738061,0.002631741521,0.002545252363,0.001383826527,0.006647309569,0.004102057206,0.002718230679
conservative,0.8,adverse_fills,241429,73325,0.3037124786,-14491.34481,-159.5364558,-77.9412338,-54.844096,-31.260114,-14.611334,-5.546716,-392.2358061,0.9882577566,0.00204568701,0.00136379134,0.002550289806,0.002454824412,0.001063757245,0.005782475281,0.003327650869,0.002263893624
conservative,0.8,catastrophic_25,183651,58235,0.3170960136,-14461.29429,-99.3876991,-77.3625856,-54.495746,-31.126402,-14.701929,-5.4450328,-387.6507001,0.9882716579,0.001991929252,0.001596977763,0.002713145016,0.002301021722,0.001081823646,0.005426290032,0.003125268309,0.002043444664
conservative,0.8,catastrophic_50,122171,37793,0.3093450983,-15329.6191,-111.4537572,-77.8614096,-54.798405,-31.079242,-14.811802,-5.400205,-407.4093132,0.9865848173,0.002249093748,0.002143254042,0.002672452571,0.002645992644,0.001111316911,0.006350382346,0.003704389702,0.002593072791
