signal,horizon_s,grouping,key,rows,raw_spread_ticks,demeaned_spread_ticks,demeaned_incremental_spread_ticks
obi_l1,1,utc_day,2026-08-18,541240,17.923529456985392,17.68962949335387,
obi_l1,1,utc_day,2026-08-19,861524,40.418172964165144,40.39672665643941,
obi_l1,1,utc_day,2026-08-20,733724,49.77122812644109,49.70880241397758,
obi_l1,1,segment_key,2:1,738231,17.31846511287477,17.130578187721653,
obi_l1,1,segment_key,2:2,724526,47.46667263215286,47.38900997883532,
obi_l1,1,segment_key,2:3,1168,33.273468069398305,33.273468069398305,
obi_l1,1,segment_key,2:4,169753,31.19820585726255,31.05107583730465,
obi_l1,1,segment_key,2:5,161358,53.766463151295255,53.53930575382235,
obi_l1,1,segment_key,2:6,341452,62.62531836285022,62.71831970664491,
obi_l1,2,utc_day,2026-08-18,541210,26.93551131700171,26.46764580307643,
obi_l1,2,utc_day,2026-08-19,861474,53.03500827384195,52.991711937877646,
obi_l1,2,utc_day,2026-08-20,733644,62.66352529648893,62.541893800081894,
obi_l1,2,segment_key,2:1,738181,26.604681087403094,26.226668364943716,
obi_l1,2,segment_key,2:2,724486,61.12392867853469,60.97051917823404,
obi_l1,2,segment_key,2:3,1158,51.30108180030082,51.30108180030082,
obi_l1,2,segment_key,2:4,169733,47.00048047018446,46.71320178299556,
obi_l1,2,segment_key,2:5,161338,66.48049344025499,66.02872908707022,
obi_l1,2,segment_key,2:6,341432,73.08845327934898,73.2769318181087,
obi_l1,5,utc_day,2026-08-18,541120,43.42500670236824,42.25438336179205,
obi_l1,5,utc_day,2026-08-19,861324,72.27888310230068,72.178356716644,
obi_l1,5,utc_day,2026-08-20,733404,76.53435258115654,76.23829118892347,
obi_l1,5,segment_key,2:1,738031,43.49314422575989,42.54239121224303,
obi_l1,5,segment_key,2:2,724366,79.61703119821374,79.24499092686273,
obi_l1,5,segment_key,2:3,1128,82.50936227951154,82.50936227951154,
obi_l1,5,segment_key,2:4,169673,67.72221089332922,67.0243231084695,
obi_l1,5,segment_key,2:5,161278,82.02752351192773,80.90809097217308,
obi_l1,5,segment_key,2:6,341372,81.79523816308253,82.26516289246096,
obi_l1,10,utc_day,2026-08-18,540970,56.72808611274128,54.366371538931105,12.110339110952648
obi_l1,10,utc_day,2026-08-19,861074,87.6227089747865,87.45484901853136,15.212810902360483
obi_l1,10,utc_day,2026-08-20,733004,80.14788189653342,79.55188552496962,3.366718994796351
obi_l1,10,segment_key,2:1,737781,56.49347165495654,54.567707325279315,12.028674279751126
obi_l1,10,segment_key,2:2,724166,93.88332541701374,93.18145384014693,13.870412049662207
obi_l1,10,segment_key,2:3,1078,28.127156821079474,28.127156821079478,-49.1520824479388
obi_l1,10,segment_key,2:4,169573,69.24246400035099,67.7619817048062,0.7773126639498351
obi_l1,10,segment_key,2:5,161178,98.10700457424896,95.856752299043,14.883264776585591
obi_l1,10,segment_key,2:6,341272,81.24449446253334,82.21514558031127,0.02772531091989361
obi_l1,30,utc_day,2026-08-18,540370,75.52702415450261,68.57026544173732,26.38723010316923
obi_l1,30,utc_day,2026-08-19,860074,125.6348768877358,125.13229345538707,52.821396785036704
obi_l1,30,utc_day,2026-08-20,731404,83.21866669824624,81.32368857679737,5.084611314518205
obi_l1,30,segment_key,2:1,736781,74.56662294442805,68.89154302526157,26.408711763416697
obi_l1,30,segment_key,2:2,723366,129.2343919177564,127.16541789495349,47.7390021700473
obi_l1,30,segment_key,2:3,878,-76.40779116959784,-76.40779116959783,-107.13679129258391
obi_l1,30,segment_key,2:4,169173,75.55068911812103,70.71996400190446,3.6546949249340503
obi_l1,30,segment_key,2:5,160778,118.94064477876904,111.62518905452411,30.837783411753243
obi_l1,30,segment_key,2:6,340872,79.05566889090038,82.03502548757021,-0.28900763980332833
obi_l1,60,utc_day,2026-08-18,539470,77.23613688014575,64.00049812876709,21.802447116456108
obi_l1,60,utc_day,2026-08-19,858574,133.14360204886893,132.03872478144424,59.643321658394996
obi_l1,60,utc_day,2026-08-20,729004,71.4130296291944,67.79693777796767,-8.677307174987433
obi_l1,60,segment_key,2:1,735281,76.03144618008673,65.26387216667942,22.729270956122907
obi_l1,60,segment_key,2:2,722166,138.9655612538411,134.73635639842263,55.087505745241074
obi_l1,60,segment_key,2:3,578,-131.06499282639885,-131.06499282639882,-215.24361549497846
obi_l1,60,segment_key,2:4,168573,59.49224864752303,49.546972217750906,-17.415046326790105
obi_l1,60,segment_key,2:5,160178,102.94002818480365,88.33645995144684,7.4118844146480924
obi_l1,60,segment_key,2:6,340272,67.5251832933267,73.7244601276659,-8.607724931105908
obi_l1,120,utc_day,2026-08-18,537670,77.9963658683647,53.691385249663895,11.671523291361366
obi_l1,120,utc_day,2026-08-19,855574,151.78570440145216,149.7493946935262,77.17219907524978
obi_l1,120,utc_day,2026-08-20,724226,49.10811984670305,44.0961958455914,-32.69883437799334
obi_l1,120,segment_key,2:1,732281,74.35639171985085,54.08943697099288,11.649522084747918
obi_l1,120,segment_key,2:2,719766,159.368605845822,152.08439003010636,72.20932683187776
obi_l1,120,segment_key,2:4,167373,43.32291741601567,27.034818902550647,-40.156756442069465
obi_l1,120,segment_key,2:5,158978,45.14149646536245,15.832554174549111,-66.01928144765962
obi_l1,120,segment_key,2:6,339072,62.71037321496762,75.36488396588256,-7.078868115332342
obi_l1,300,utc_day,2026-08-18,532270,76.39931221251052,21.721405192265255,-20.219491042648105
obi_l1,300,utc_day,2026-08-19,846574,142.65990200915593,144.37352677868208,71.49302784686073
