signal,horizon_s,kind,population,rows,anchors,bootstrap_block_s,bootstrap_draws,raw_top_mean_ticks,raw_bottom_mean_ticks,raw_spread_ticks,raw_top_mean_bps,raw_bottom_mean_bps,raw_spread_bps,raw_edge_per_trade_bps,raw_block_spread_mean,raw_spread_p05,raw_spread_p95,raw_blocks,raw_blocks_same_sign,raw_block_sign_share,raw_resolved,raw_anchor_spread_ticks,raw_anchor_rows,raw_anchor_sign_agrees,demeaned_top_mean_ticks,demeaned_bottom_mean_ticks,demeaned_spread_ticks,demeaned_top_mean_bps,demeaned_bottom_mean_bps,demeaned_spread_bps,demeaned_edge_per_trade_bps,demeaned_block_spread_mean,demeaned_spread_p05,demeaned_spread_p95,demeaned_blocks,demeaned_blocks_same_sign,demeaned_block_sign_share,demeaned_resolved,demeaned_anchor_spread_ticks,demeaned_anchor_rows,demeaned_anchor_sign_agrees,raw_pivot_spread_ticks,demeaned_pivot_spread_ticks
obi_l1,1,cumulative,oof_scored_purged,2136488,213651,1800.0,500,20.21121189994758,-19.055282262027905,39.26649416197549,0.29275876963382824,-0.27550456475362534,0.5682633343874536,0.2841316671937268,39.73932238528373,35.990793506817944,43.45725279376775,120,120,1.0,True,38.55603599955459,42587,True,19.698703477728202,-19.465662819098025,39.16436629682623,0.2852494838999641,-0.28144295633949,0.5666924402394541,0.28334622011972704,39.73932238528373,35.99079350681794,43.45725279376774,120,120,1.0,True,38.45745427973624,42587,True,,
obi_l1,1,cumulative,full_corpus,2570299,257034,1800.0,500,17.861056534476653,-16.848383457183985,34.70943999166064,0.2598985233460794,-0.24478907397154784,0.5046875973176272,0.2523437986588136,35.130682474984944,31.347653314446475,38.90046143119762,143,143,1.0,True,34.097011602214764,51270,True,17.4320061610486,-17.160252612417644,34.59225877346624,0.2536155761299657,-0.24927003744806678,0.5028856135780325,0.25144280678901626,35.13068247498494,31.347653314446475,38.90046143119762,143,143,1.0,True,33.98497068688057,51270,True,,
obi_l1,2,cumulative,oof_scored_purged,2136328,106818,1800.0,500,26.88716578040743,-24.30450351771496,51.19166929812239,0.39099575454756197,-0.3524858217203521,0.7434815762679141,0.37174078813395706,51.778890575095545,47.468752918775934,55.6640394575698,120,120,1.0,True,49.201875373016165,21321,True,25.86082083872241,-25.127908551864923,50.98872939058734,0.3759576968470522,-0.36439998761676407,0.7403576844638162,0.3701788422319081,51.778890575095545,47.468752918775934,55.6640394575698,120,120,1.0,True,48.98519104116649,21321,True,,
obi_l1,2,cumulative,full_corpus,2570219,128515,1800.0,500,24.08558055567444,-21.853105959801105,45.938686515475545,0.3521245219679093,-0.31880007083548983,0.6709245928033991,0.33546229640169956,46.45169881346814,42.436226379675496,50.679526073642556,143,143,1.0,True,44.10924401023155,25672,True,23.227869264438993,-22.47723569074978,45.70510495518877,0.3395640120788843,-0.32776722623213295,0.6673312383110173,0.33366561915550863,46.45169881346814,42.436226379675496,50.679526073642556,143,143,1.0,True,43.86203441685785,25672,True,,
obi_l1,5,cumulative,oof_scored_purged,2135848,42720,1800.0,500,36.94308562439134,-30.551967600721024,67.49505322511236,0.5406575930589888,-0.44511974724707604,0.9857773403060648,0.4928886701530324,68.09334527102986,63.44235178046329,72.49243912478153,120,120,1.0,True,64.5489498613592,8591,True,34.372980745083254,-32.620825058171995,66.99380580325524,0.5029991948547656,-0.4750547645612621,0.9780539594160278,0.4890269797080139,68.09334527102986,63.44235178046329,72.49243912478153,120,120,1.0,True,64.14407538283379,8591,True,,
obi_l1,5,cumulative,full_corpus,2569979,51404,1800.0,500,33.92969762292945,-28.45042373870614,62.38012136163559,0.49968385037128027,-0.41775683965834925,0.9174406900296295,0.45872034501481473,62.8052827562285,58.68326724236389,67.40107293101764,143,142,0.993006993006993,True,60.88811217598155,10348,True,31.786281829195712,-30.013549786824477,61.799831616020185,0.4682925439530462,-0.44021443934034543,0.9085069832933916,0.4542534916466958,62.8052827562285,58.68326724236389,67.40107293101764,143,142,0.993006993006993,True,60.389016455992476,10348,True,,
obi_l1,10,cumulative,oof_scored_purged,2135048,21352,1800.0,500,44.773470286270985,-32.50253858223461,77.27600886850558,0.6584157814436903,-0.474983947999524,1.1333997294432143,0.5666998647216072,77.51890237811304,70.76284165314041,83.88090896394347,120,120,1.0,True,63.487818903036654,4361,True,39.64766243678068,-36.62860127644065,76.27626371322133,0.5833185242841316,-0.5346655748209409,1.1179840991050725,0.5589920495525362,77.51890237811303,70.76284165314041,83.88090896394347,120,120,1.0,True,62.300164287711965,4361,True,,
obi_l1,10,incremental,oof_scored_purged,2135048,21352,1800.0,500,7.83962829736211,-1.9472213765485586,9.78684967391067,0.11788418706427468,-0.029820267209960623,0.14770445427423531,0.07385222713711766,9.419234315492302,6.539619332849282,12.705506601793992,120,93,0.775,True,1.829148946910137,4361,True,5.268213849904433,-4.018616045634354,9.286829895538787,0.08022043261886667,-0.05976916309906873,0.1399895957179354,0.0699947978589677,9.419234315492304,6.5396193328492815,12.705506601793992,120,93,0.775,True,1.2416051466281313,4361,True,67.48915919459492,66.98943381768254
obi_l1,10,cumulative,full_corpus,2569579,25699,1800.0,500,42.35173200185245,-31.475949376940978,73.82768137879343,0.6274097034701768,-0.46453694910345583,1.0919466525736325,0.5459733262868163,73.8190203001357,68.2786770745157,80.05313392819733,143,142,0.993006993006993,True,63.34616923303016,5238,True,38.08284619449054,-34.59419734549215,72.67704353998269,0.5648802704431839,-0.509334961000371,1.074215231443555,0.5371076157217775,73.8190203001357,68.2786770745157,80.05313392819733,143,142,0.993006993006993,True,62.05120149284867,5238,True,,
obi_l1,10,incremental,full_corpus,2569579,25699,1800.0,500,8.451711765003482,-3.022606807338164,11.474318572341646,0.12814082983856703,-0.046740440547088195,0.17488127038565524,0.08744063519282762,11.038379774528511,8.433953108351105,13.92817232868881,143,116,0.8111888111888111,True,4.733259347729229,5238,True,6.310587107519554,-4.5915623594931825,10.902149467012737,0.09678257545279885,-0.06927520660461388,0.16605778205741273,0.08302889102870636,11.038379774528511,8.433953108351105,13.92817232868881,143,116,0.8111888111888111,True,4.091571970911533,5238,True,62.353362806451784,61.77489407296996
obi_l1,30,cumulative,oof_scored_purged,2131848,7108,1800.0,500,62.50578373611528,-33.028177404601635,95.53396114071691,0.9223339377662766,-0.4855011559165974,1.407835093682874,0.703917546841437,93.62228720228282,82.55638861063662,106.8591668565745,120,119,0.9916666666666667,True,77.98882720820744,1452,True,46.6619733420292,-45.86580302206848,92.52777636409768,0.6905367361952638,-0.6709855118646734,1.3615222480599372,0.6807611240299686,93.62228720228283,82.55638861063663,106.8591668565745,120,119,0.9916666666666667,True,77.96916718798786,1452,True,,
