signal,horizon_s,leg,rows,raw_mean_ticks,raw_mean_bps,demeaned_mean_ticks,demeaned_mean_bps,frac_favourable_for_leg
obi_l1,1,up_leg_top_decile,213648,20.21121189994758,0.29275876963382824,19.698703477728202,0.2852494838999641,0.3921590653785666
obi_l1,1,down_leg_bottom_decile,213649,-19.055282262027905,-0.27550456475362534,-19.465662819098025,-0.28144295633949,0.4066014818697958
obi_l1,1,up_leg_positive_signal,1049247,8.434866623397541,0.12216240927830371,7.989315010309857,0.11562872844254193,0.2091576149371883
obi_l1,1,down_leg_negative_signal,1087080,-7.350155002391729,-0.10626121079863125,-7.718329086103387,-0.11162367313453883,0.20791754056739153
obi_l1,2,up_leg_top_decile,213632,26.88716578040743,0.39099575454756197,25.86082083872241,0.3759576968470522,0.47728336578789693
obi_l1,2,down_leg_bottom_decile,213633,-24.30450351771496,-0.3524858217203521,-25.127908551864923,-0.36439998761676407,0.48405442979314994
obi_l1,2,up_leg_positive_signal,1049156,11.855230299402567,0.17236361978092707,10.96298855358803,0.15927963803311782,0.2853684294804586
obi_l1,2,down_leg_negative_signal,1087011,-9.860409416280056,-0.1430580382144571,-10.598440679493724,-0.15380717443338865,0.28011124082460986
obi_l1,5,up_leg_top_decile,213584,36.94308562439134,0.5406575930589888,34.372980745083254,0.5029991948547656,0.5626264139635928
obi_l1,5,down_leg_bottom_decile,213585,-30.551967600721024,-0.44511974724707604,-32.620825058171995,-0.4750547645612621,0.5561439239646979
obi_l1,5,up_leg_positive_signal,1048852,17.476755538436308,0.2556626586334878,15.246801376486685,0.22295879329391996,0.38606114113335344
obi_l1,5,down_leg_negative_signal,1086837,-12.860473097621815,-0.18770748138822402,-14.707293346536849,-0.21460881594683343,0.3734626259503495
obi_l1,10,up_leg_top_decile,213504,44.773470286270985,0.6584157814436903,39.64766243678068,0.5833185242841316,0.5962604916067147
obi_l1,10,down_leg_bottom_decile,213505,-32.50253858223461,-0.474983947999524,-36.62860127644065,-0.5346655748209409,0.5793728484110442
obi_l1,10,up_leg_positive_signal,1048399,22.516175139426878,0.3307602161164325,18.068858713712086,0.26553932932169333,0.44438043149602396
obi_l1,10,down_leg_negative_signal,1086490,-13.750565582748116,-0.2015780009742325,-17.430438881327508,-0.2551752366206929,0.42944619830831393
obi_l1,30,up_leg_top_decile,213184,62.50578373611528,0.9223339377662766,46.6619733420292,0.6905367361952638,0.6019025818072651
obi_l1,30,down_leg_bottom_decile,213185,-33.028177404601635,-0.4855011559165974,-45.86580302206848,-0.6709855118646734,0.5855618359640687
obi_l1,30,up_leg_positive_signal,1046769,35.095220148858054,0.5180912080864761,21.468485639232597,0.31839070337501085,0.504394952468023
