signal,horizon_s,population,decile,rows,signal_mean,signal_min,signal_max,raw_mean_ticks,raw_median_ticks,raw_mean_bps,demeaned_mean_ticks,demeaned_median_ticks,demeaned_mean_bps,frac_up,frac_down
obi_l1,1,oof_scored_purged,0,213649,-0.9300297014678,-0.999994154,-0.854286726,-19.055282262027905,0.0,-0.27550456475362534,-19.465662819098025,-0.8541690626797009,-0.28144295633949,0.06404429695435036,0.4066014818697958
obi_l1,1,oof_scored_purged,1,213649,-0.7601248795079172,-0.854286428,-0.656439058,-9.722184517596618,0.0,-0.14047968367413735,-10.089229012613869,-0.18666666666666668,-0.14581358799003535,0.06141381424673179,0.2390977725147321
obi_l1,1,oof_scored_purged,2,213649,-0.5429121060113082,-0.6564385,-0.431338465,-5.504446545502202,0.0,-0.07950348692346969,-5.875633513501298,-0.08499137435307648,-0.08492118473703247,0.06891677470992141,0.17272254960238523
obi_l1,1,oof_scored_purged,3,213649,-0.32515733491691984,-0.431338452,-0.219985291,-2.709387827698702,0.0,-0.03920565753755086,-3.034164053254707,-0.04622222222222222,-0.043944973648022315,0.0743087962031182,0.12760649476477776
obi_l1,1,oof_scored_purged,4,213648,-0.1164647732675499,-0.219985016,-0.0172413793,-0.4089179397888115,0.0,-0.0060148812700783,-0.7746283478022465,-0.049444444444444444,-0.011368301572655238,0.08737268778551636,0.10316501909683218
obi_l1,1,oof_scored_purged,5,213649,0.08139639013966643,-0.0172413793,0.18319644,0.9318133948672823,0.0,0.013636530126833541,0.5361802828223418,-0.07833333333333334,0.007824536827060788,0.10173696109038657,0.0933961778430978
obi_l1,1,oof_scored_purged,6,213649,0.2925559635517367,0.18319702,0.407420557,3.1561416154533837,0.0,0.045846549378270096,2.720455500953387,-0.06833333333333333,0.03944272248002982,0.13093906360432297,0.08490561622099799
obi_l1,1,oof_scored_purged,7,213649,0.5278376850367331,0.407421082,0.650187916,6.401483273968051,0.0,0.09257488219592787,5.95898811904413,-0.018333333333333333,0.08608676915647127,0.17517985106412856,0.07377521074285394
obi_l1,1,oof_scored_purged,8,213649,0.7576679599511676,0.650188747,0.853273138,10.762290017739376,0.0,0.1557038306547703,10.32507894126014,0.0415,0.14931072157048628,0.23550777209348042,0.06101596543864001
obi_l1,1,oof_scored_purged,9,213648,0.9275631113550278,0.853273412,0.999970128,20.21121189994758,0.0,0.29275876963382824,19.698703477728202,0.5327777777777778,0.2852494838999641,0.3921590653785666,0.05573185800943608
obi_l1,1,full_corpus,0,257030,-0.930259851902451,-0.999994154,-0.856492844,-16.848383457183985,0.0,-0.24478907397154784,-17.160252612417644,-0.4077777777777778,-0.24927003744806678,0.054266038983776216,0.37125238299031244
obi_l1,1,full_corpus,1,257030,-0.7633701949793642,-0.856492844,-0.658869815,-8.617745010310081,0.0,-0.12506203901062674,-8.906466965285025,-0.11444444444444445,-0.1292363708002044,0.05237520911955803,0.21651558183869588
obi_l1,1,full_corpus,2,257030,-0.5443300143694082,-0.658869679,-0.431402261,-4.935470567638019,0.0,-0.07157603608655748,-5.239490868938747,-0.03333333333333333,-0.07600075699523798,0.05959615609072871,0.15574835622300898
obi_l1,1,full_corpus,3,257030,-0.32389869051855813,-0.43140184,-0.217831553,-2.3912422674395986,0.0,-0.03473233886541547,-2.654966084282882,-0.013555555555555555,-0.03856918662649357,0.06501186631910671,0.11335252694238027
obi_l1,1,full_corpus,4,257030,-0.11370285037027895,-0.217831005,-0.012890914,-0.3898183091467922,0.0,-0.00579474560499861,-0.692464622361582,-0.013555555555555555,-0.010217077315949697,0.07662140606154924,0.09209819865385363
obi_l1,1,full_corpus,5,257030,0.0854937800561922,-0.0128900023,0.186499286,0.7660973427226394,0.0,0.011216557812336495,0.4465915744423316,-0.03166666666666667,0.006530827455216011,0.08830486713613198,0.08096331167567988
obi_l1,1,full_corpus,6,257030,0.29574939376200055,0.186501655,0.410803062,2.7493833404660935,0.0,0.04002156224531767,2.3901473056724516,-0.03166666666666667,0.034747487671161766,0.11543010543516322,0.07338832042952184
obi_l1,1,full_corpus,7,257030,0.5318144652803525,0.41080402,0.653382059,5.6402093140878495,0.0,0.08179442429887529,5.275488278375878,0.0,0.07645428313218323,0.1546940045909038,0.06296541259775124
obi_l1,1,full_corpus,8,257030,0.7603083351685329,0.653386454,0.85501542,9.474357078940201,0.0,0.13763601547274168,9.109475654647525,0.05444444444444444,0.13230573561429806,0.21251215811383886,0.0514375753803058
obi_l1,1,full_corpus,9,257029,0.9270881936820593,0.85501582,0.999970128,17.861056534476653,0.0,0.2598985233460794,17.4320061610486,0.3,0.2536155761299657,0.3592123845947344,0.047103634220263084
obi_l1,2,oof_scored_purged,0,213633,-0.9300285779550116,-0.999994154,-0.854284888,-24.30450351771496,0.0,-0.3524858217203521,-25.127908551864923,-2.4794444444444443,-0.36439998761676407,0.11038088684800569,0.48405442979314994
obi_l1,2,oof_scored_purged,1,213633,-0.760115563156502,-0.854284888,-0.65642473,-13.724595451077315,0.0,-0.19916265054585178,-14.461037877478761,-0.46111111111111114,-0.2098640748598979,0.1077408452813938,0.3245425566274873
obi_l1,2,oof_scored_purged,2,213633,-0.5429011250893635,-0.656422233,-0.43133241,-7.713363572107306,0.0,-0.11192373657541127,-8.457657713771928,-0.15666666666666668,-0.12278678731136806,0.11789845201818071,0.24732602172885276
obi_l1,2,oof_scored_purged,3,213633,-0.3251499473483685,-0.431332103,-0.219982799,-3.997025272312798,0.0,-0.05801179428383701,-4.6476239242056225,-0.09888888888888889,-0.06750583065070825,0.12204107043387491,0.19276984361030366
obi_l1,2,oof_scored_purged,4,213632,-0.11646799811913243,-0.219981339,-0.0172501638,-0.4657705774415818,0.0,-0.006840628311023683,-1.197765053159667,-0.09888888888888889,-0.01755620988740679,0.14165012732174956,0.16268162073097664
obi_l1,2,oof_scored_purged,5,213633,0.08138367697968989,-0.0172491646,0.183190495,1.4986870006038393,0.0,0.022048215617643516,0.7069952087196156,-0.13666666666666666,0.010417917363454628,0.16161360838447245,0.14851169997144636
obi_l1,2,oof_scored_purged,6,213633,0.2925410687654576,0.183191267,0.407390084,4.640645405906391,0.0,0.06774108435930029,3.7685965013480103,-0.09888888888888889,0.05492347955058689,0.1988784504266663,0.13909367934729186
obi_l1,2,oof_scored_purged,7,213633,0.5278148327943155,0.407390084,0.650176217,9.449848572083901,0.0,0.13715848595779614,8.563249126504488,0.010944444444444444,0.12415889237009403,0.2551806134819995,0.12383854554305748
obi_l1,2,oof_scored_purged,8,213633,0.7576625454858332,0.650176813,0.853268627,15.868435588134792,0.0,0.2303563482889899,14.992446891094948,0.28555555555555556,0.21754740344756313,0.3214016561111813,0.10628975860470995
obi_l1,2,oof_scored_purged,9,213632,0.9275623093885139,0.853268765,0.999970128,26.88716578040743,0.0,0.39099575454756197,25.86082083872241,1.8766666666666667,0.3759576968470522,0.47728336578789693,0.09813136608747754
obi_l1,2,full_corpus,0,257022,-0.9302600221085549,-0.999994154,-0.856492844,-21.853105959801105,0.0,-0.31880007083548983,-22.47723569074978,-1.5788055555555556,-0.32776722623213295,0.09426041350545868,0.4525565904864175
obi_l1,2,full_corpus,1,257022,-0.7633627273816016,-0.856492844,-0.658855715,-12.43423520165589,0.0,-0.18143468962930595,-13.012083454819498,-0.30444444444444446,-0.18978876425254634,0.09199990662277938,0.30053069387056364
obi_l1,2,full_corpus,2,257022,-0.5443229093765359,-0.658854939,-0.431392198,-7.067589544863864,0.0,-0.10313005389563953,-7.676240974634151,-0.09888888888888889,-0.11198841917034913,0.10294449502377229,0.2276458824536421
obi_l1,2,full_corpus,3,257022,-0.32389592753749874,-0.431391905,-0.217827298,-3.6008551797122426,0.0,-0.052534297367701724,-4.128271533861647,-0.020777777777777777,-0.06020804024025323,0.10793628560979215,0.17423022153745593
obi_l1,2,full_corpus,4,257022,-0.11370004885895682,-0.21782674,-0.012890914,-0.47942977643937096,0.0,-0.0071311532902123154,-1.0843849580623564,-0.02,-0.015971484788188633,0.12587638412275992,0.14720529760098358
obi_l1,2,full_corpus,5,257022,0.08549063622486823,-0.0128900023,0.186494511,1.2025877162266265,0.0,0.017687784146622285,0.5638966078751572,-0.020777777777777777,0.008320564430883281,0.14212012979433666,0.13084483040362305
obi_l1,2,full_corpus,6,257022,0.29574604956518513,0.186495177,0.410802587,4.133683108838932,0.0,0.06051582350719422,3.4156074316458387,-0.02,0.04997333097705215,0.17840107072546318,0.12140594968524095
obi_l1,2,full_corpus,7,257022,0.5318079336301017,0.410802601,0.653391685,8.419252048462777,0.0,0.12260050525007987,7.689537175817201,0.08183333333333333,0.11191602968703566,0.22878197197127095,0.10692080833547322
obi_l1,2,full_corpus,8,257022,0.7603100941861863,0.653392879,0.855014632,14.211139513349051,0.0,0.20737013031703289,13.481396505428288,0.28555555555555556,0.19670997446607594,0.29625868602687705,0.09034635167417575
obi_l1,2,full_corpus,9,257021,0.9270892425603472,0.855014707,0.999970128,24.08558055567444,0.0,0.3521245219679093,23.227869264438993,1.198888888888889,0.3395640120788843,0.4476015578493586,0.08342119904599235
obi_l1,5,oof_scored_purged,0,213585,-0.9300187810725286,-0.999994154,-0.854278554,-30.551967600721024,-12.0,-0.44511974724707604,-32.620825058171995,-12.658833333333334,-0.4750547645612621,0.19493878315424773,0.5561439239646979
obi_l1,5,oof_scored_purged,1,213585,-0.7600928313883278,-0.854277829,-0.65640779,-19.39486387152656,0.0,-0.28327530937076617,-21.237802151816886,-2.285444444444445,-0.31005773847854357,0.1897745628204228,0.43325139874054824
obi_l1,5,oof_scored_purged,2,213585,-0.5429014352801508,-0.656407268,-0.431349669,-10.672310789615375,0.0,-0.1559480316359187,-12.531700372045433,-0.5787222222222222,-0.18308804930698105,0.1996535337219374,0.34871830887000493
obi_l1,5,oof_scored_purged,3,213585,-0.32518033250006795,-0.431349529,-0.220023557,-4.6101224336915045,0.0,-0.06788853121621448,-6.236917490789313,-0.15833333333333333,-0.09163292077110154,0.2081325935810099,0.2872486363742772
obi_l1,5,oof_scored_purged,4,213584,-0.11652695208211898,-0.220023557,-0.0173271056,-0.4564574125402652,0.0,-0.006548287607811598,-2.2845564384750614,-0.09305555555555556,-0.03331689004215959,0.23112218143681174,0.2542559367742902
obi_l1,5,oof_scored_purged,5,213585,0.08133753523195057,-0.0173254836,0.183162685,2.6716365849661727,0.0,0.039677302457106045,0.6981466760445462,-0.09305555555555556,0.010680981398068877,0.2564740033242035,0.23503523187489758
obi_l1,5,oof_scored_purged,6,213585,0.2924947841871339,0.183162795,0.40734235,7.42622609265632,0.0,0.10863664872211982,5.249879696535823,-0.04722222222222222,0.07664380082607664,0.30268043167825454,0.2288362946836154
obi_l1,5,oof_scored_purged,7,213585,0.5277627833971392,0.407342584,0.650154411,15.38133529976356,0.0,0.2245965672618001,13.165910211618964,0.5388888888888889,0.1921100055121992,0.3656015169604607,0.2096167802046024
obi_l1,5,oof_scored_purged,8,213585,0.7576486877432311,0.65015569,0.853258749,23.617555071751294,0.0,0.3451393968300852,21.425034419272023,1.5027777777777778,0.31307533761991463,0.4302221597958658,0.18618816864480184
obi_l1,5,oof_scored_purged,9,213584,0.9275485530561044,0.853259888,0.999970128,36.94308562439134,14.0,0.5406575930589888,34.372980745083254,11.746333333333332,0.5029991948547656,0.5626264139635928,0.17929713836242414
obi_l1,5,full_corpus,0,256998,-0.9302657071566004,-0.999994154,-0.856504247,-28.45042373870614,-8.0,-0.41775683965834925,-30.013549786824477,-9.392888888888889,-0.44021443934034543,0.16870559303963456,0.5421832076514214
obi_l1,5,full_corpus,1,256998,-0.7633724117692278,-0.856503868,-0.658872173,-18.237025190857516,0.0,-0.2682664935956558,-19.680085766648393,-1.565,-0.28912956909450654,0.16457715624246103,0.4178709561942116
obi_l1,5,full_corpus,2,256998,-0.5443493832300368,-0.658872077,-0.431438127,-10.38684736846201,0.0,-0.15300227976264702,-11.904500103128457,-0.5167222222222222,-0.17509075373033078,0.17811811765072103,0.33302982902590683
obi_l1,5,full_corpus,3,256998,-0.3239302635915883,-0.431438127,-0.217867623,-4.428721235184709,0.0,-0.06569909856172919,-5.7459328235156395,-0.051444444444444445,-0.08486702191900745,0.1888575008365824,0.26964023066327364
obi_l1,5,full_corpus,4,256998,-0.11373395944545288,-0.217866199,-0.0129399586,-0.4281161721102888,0.0,-0.006268709604774357,-1.9377328396798852,-0.04722222222222222,-0.028333316580316046,0.21156584876146897,0.23604852956054131
obi_l1,5,full_corpus,5,256998,0.08546137902273326,-0.012939164,0.186462181,2.0899656806667757,0.0,0.030984414953757453,0.4974936159827991,-0.042444444444444444,0.007625289644152767,0.23277613055354515,0.21524292017836716
obi_l1,5,full_corpus,6,256998,0.2957242901876707,0.186463702,0.410778005,6.789278515786115,0.0,0.0998487979940915,4.9980270147304955,0.059722222222222225,0.07354843668108908,0.2803990692534572,0.20418057728075706
obi_l1,5,full_corpus,7,256998,0.5317840251144211,0.410778443,0.653388609,13.954943229130187,0.0,0.20455763160500126,12.132358323134628,0.6728888888888889,0.17786975844798636,0.3387536089775018,0.18521544914746418
obi_l1,5,full_corpus,8,256998,0.7603139907913291,0.653389003,0.855022213,21.69193145471949,0.0,0.3189623407446832,19.867764219746196,1.5027777777777778,0.29231093777936573,0.4105635063307886,0.16158880613856919
obi_l1,5,full_corpus,9,256997,0.9270926873606268,0.855022296,0.999970128,33.92969762292945,10.0,0.49968385037128027,31.786281829195712,8.621,0.4682925439530462,0.5471075537846746,0.1550913045677576
obi_l1,10,oof_scored_purged,0,213505,-0.9300267092317744,-0.999994154,-0.854272147,-32.50253858223461,-19.0,-0.474983947999524,-36.62860127644065,-20.583333333333332,-0.5346655748209409,0.26633568300508187,0.5793728484110442
obi_l1,10,oof_scored_purged,1,213505,-0.7600721744128803,-0.854272128,-0.65639359,-21.27717149481277,0.0,-0.3126673176326563,-24.93826272987937,-6.400895953757225,-0.36586518045342836,0.2614271328540315,0.4892110255029156
obi_l1,10,oof_scored_purged,2,213505,-0.5428816900643685,-0.656393443,-0.431349752,-11.42076532165523,0.0,-0.16766035067937948,-15.12256408344288,-1.1921111111111111,-0.22168722121385057,0.26932390342146556,0.41184047212009084
obi_l1,10,oof_scored_purged,3,213505,-0.3252083464972389,-0.431349669,-0.220086178,-4.839706330062528,0.0,-0.07186374304099157,-8.087281507271115,-0.31666666666666665,-0.11926697572452734,0.27655558417835646,0.3563148404018641
obi_l1,10,oof_scored_purged,4,213504,-0.1165909786954755,-0.220086178,-0.0173922437,-0.24016880245803357,0.0,-0.003151487401990816,-3.886819946972513,-0.206,-0.0565535779629551,0.30134798411270985,0.321830035971223
obi_l1,10,oof_scored_purged,5,213505,0.08128359046166345,-0.0173922437,0.183118081,4.7230720592023605,0.0,0.06979638974494577,0.7949011343646932,-0.2847222222222222,0.012075459901717944,0.32478864663591017,0.30105618135406664
obi_l1,10,oof_scored_purged,6,213505,0.2924507046397836,0.183119882,0.407265774,10.269714994964989,0.0,0.15098731882753916,5.933459840998916,-0.06894444444444445,0.0872440467645206,0.36837076415072245,0.3014308798388797
obi_l1,10,oof_scored_purged,7,213505,0.5276566090845133,0.407266682,0.650026678,20.388136109224607,0.0,0.2990432816510451,15.970307930112465,1.6888888888888889,0.2342678912750371,0.4319711482166694,0.2814032458256247
obi_l1,10,oof_scored_purged,8,213505,0.7575744755130045,0.65002767,0.853226295,30.7019929275661,0.0,0.45028440329126707,26.31736569591849,5.722777777777778,0.38616120697868783,0.4882555443666425,0.2575302686119763
