signal,horizon_s,adjustment,cumulative_ticks,pivot_on_this_population_ticks,incremental_after_pivot_ticks,residual_ticks,pivot_on_5s_population_ticks,rows,rows_at_5s
obi_l1,10,raw,77.27600886850558,67.48915919459492,9.78684967391067,0.0,67.49505322511236,2135048,2135848
obi_l1,10,demeaned,76.27626371322133,66.98943381768254,9.286829895538787,0.0,66.99380580325524,2135048,2135848
obi_l1,30,raw,95.53396114071691,67.50654152814343,28.027419612573496,-1.4210854715202004e-14,67.49505322511236,2131848,2135848
obi_l1,30,demeaned,92.52777636409768,67.00832312858839,25.519453235509296,-1.4210854715202004e-14,66.99380580325524,2131848,2135848
obi_l1,60,raw,93.15260160452314,67.61582070978963,25.536780894733496,1.4210854715202004e-14,67.49505322511236,2127048,2135848
obi_l1,60,demeaned,87.33380239451677,67.12708109378286,20.206721300733893,1.4210854715202004e-14,66.99380580325524,2127048,2135848
obi_l1,120,raw,90.13175393275937,67.7429810103567,22.38877292240268,-1.4210854715202004e-14,67.49505322511236,2117470,2135848
obi_l1,120,demeaned,80.04360443619977,67.2728122753123,12.770792160887463,0.0,66.99380580325524,2117470,2135848
obi_l1,300,raw,101.07711662927476,67.89101254741757,33.186104081857195,-1.4210854715202004e-14,67.49505322511236,2090470,2135848
obi_l1,300,demeaned,83.23086141230483,67.41478743982566,15.816073972479163,1.4210854715202004e-14,66.99380580325524,2090470,2135848
obi_l1,600,raw,70.83562457528097,67.76434511383692,3.071279461444078,-2.842170943040401e-14,67.49505322511236,2045470,2135848
obi_l1,600,demeaned,51.73462708081568,67.33622883628232,-15.60160175546665,7.105427357601002e-15,66.99380580325524,2045470,2135848
obi_l5,10,raw,77.27155778378179,68.16122771265626,9.110330071125532,0.0,68.18849379015877,2135048,2135848
obi_l5,10,demeaned,76.23183954284946,67.64169660224276,8.590142940606695,0.0,67.6669100980194,2135048,2135848
obi_l5,30,raw,96.91522825132273,68.15926326560628,28.755964985716446,0.0,68.18849379015877,2131848,2135848
obi_l5,30,demeaned,93.77892175985822,67.64059432091844,26.138327438939776,1.4210854715202004e-14,67.6669100980194,2131848,2135848
obi_l5,60,raw,95.54520711317294,68.2579211933568,27.287285919816124,1.4210854715202004e-14,68.18849379015877,2127048,2135848
obi_l5,60,demeaned,89.39379130259337,67.74606090365407,21.64773039893931,0.0,67.6669100980194,2127048,2135848
obi_l5,120,raw,91.37079628046679,68.39032430211526,22.980471978351524,1.4210854715202004e-14,68.18849379015877,2117470,2135848
obi_l5,120,demeaned,80.46483073674665,67.89646432290587,12.568366413840781,0.0,67.6669100980194,2117470,2135848
obi_l5,300,raw,97.3824833649849,68.48280530215693,28.899678062827988,-1.4210854715202004e-14,68.18849379015877,2090470,2135848
obi_l5,300,demeaned,76.56702869951246,67.98291123765458,8.58411746185791,-2.842170943040401e-14,67.6669100980194,2090470,2135848
obi_l5,600,raw,72.53319041589464,68.30419414608868,4.228996269805947,1.4210854715202004e-14,68.18849379015877,2045470,2135848
obi_l5,600,demeaned,45.434424364971946,67.84509697390371,-22.41067260893176,0.0,67.6669100980194,2045470,2135848
obi_l10,10,raw,77.7226272159964,68.32714092776607,9.395486288230341,-1.4210854715202004e-14,68.35276470021181,2135048,2135848
obi_l10,10,demeaned,76.55382851075106,67.74479900833335,8.809029502417712,0.0,67.77004426988861,2135048,2135848
obi_l10,30,raw,96.95659786238883,68.3380554036794,28.618542458709417,1.4210854715202004e-14,68.35276470021181,2131848,2135848
obi_l10,30,demeaned,93.39446564208566,67.75468552689213,25.63978011519354,0.0,67.77004426988861,2131848,2135848
obi_l10,60,raw,95.94169494802264,68.42630374123333,27.51539120678931,0.0,68.35276470021181,2127048,2135848
obi_l10,60,demeaned,88.85869805294271,67.84733333797766,21.01136471496507,-1.4210854715202004e-14,67.77004426988861,2127048,2135848
obi_l10,120,raw,93.86996982247682,68.54047518973114,25.329494632745682,0.0,68.35276470021181,2117470,2135848
obi_l10,120,demeaned,80.76528528956817,67.9766808032847,12.788604486283464,1.4210854715202004e-14,67.77004426988861,2117470,2135848
obi_l10,300,raw,92.03049792630365,68.7163771783379,23.314120747965774,-1.4210854715202004e-14,68.35276470021181,2090470,2135848
obi_l10,300,demeaned,65.47560287347707,68.14199266994518,-2.6663897964681214,1.4210854715202004e-14,67.77004426988861,2090470,2135848
obi_l10,600,raw,75.71052863156146,68.58976421067041,7.120764420891049,0.0,68.35276470021181,2045470,2135848
obi_l10,600,demeaned,35.82091552092638,68.05468238902698,-32.23376686810061,7.105427357601002e-15,67.77004426988861,2045470,2135848
direction_p2_logistic,10,raw,80.66315801663164,69.7228372687994,10.940320747832251,0.0,69.74836903817153,2135048,2135848
direction_p2_logistic,10,demeaned,78.73941049715387,68.7554025123041,9.98400798484974,2.842170943040401e-14,68.78076787647817,2135048,2135848
direction_p2_logistic,30,raw,99.69685007764488,69.74851169865289,29.948338378992,0.0,69.74836903817153,2131848,2135848
direction_p2_logistic,30,demeaned,93.99945466341498,68.78656226363296,25.21289239978202,0.0,68.78076787647817,2131848,2135848
direction_p2_logistic,60,raw,99.36805795585832,69.8512096822456,29.516848273612734,-1.4210854715202004e-14,69.74836903817153,2127048,2135848
direction_p2_logistic,60,demeaned,88.2167082747483,68.89434201964927,19.322366255099038,-1.4210854715202004e-14,68.78076787647817,2127048,2135848
direction_p2_logistic,120,raw,102.14831142826108,70.00266355603621,32.14564787222486,0.0,69.74836903817153,2117470,2135848
direction_p2_logistic,120,demeaned,81.11882219993558,69.05651812935771,12.062304070577849,1.4210854715202004e-14,68.78076787647817,2117470,2135848
direction_p2_logistic,300,raw,118.41665271446134,70.20182542681789,48.214827287643445,0.0,69.74836903817153,2090470,2135848
direction_p2_logistic,300,demeaned,71.24796829182347,69.2456213168657,2.0023469749577973,-2.842170943040401e-14,68.78076787647817,2090470,2135848
direction_p2_logistic,600,raw,108.71646369782982,70.17939153348618,38.53707216434364,0.0,69.74836903817153,2045470,2135848
direction_p2_logistic,600,demeaned,29.425508458958227,69.25452328847103,-39.82901482951281,0.0,68.78076787647817,2045470,2135848
direction_p2_lightgbm,10,raw,72.99367534984432,61.33772450421185,11.655950845632479,0.0,61.351260082418904,2135048,2135848
direction_p2_lightgbm,10,demeaned,71.31068431935441,60.48242678972156,10.828257529632864,-1.4210854715202004e-14,60.491487050818975,2135048,2135848
direction_p2_lightgbm,30,raw,92.25721036274061,61.343032664613006,30.914177698127606,0.0,61.351260082418904,2131848,2135848
direction_p2_lightgbm,30,demeaned,87.42483989665044,60.50483708628036,26.920002810370086,0.0,60.491487050818975,2131848,2135848
direction_p2_lightgbm,60,raw,94.56687690036495,61.41472923108599,33.15214766927897,-1.4210854715202004e-14,61.351260082418904,2127048,2135848
direction_p2_lightgbm,60,demeaned,85.47290077694748,60.58810174598091,24.88479903096657,0.0,60.491487050818975,2127048,2135848
direction_p2_lightgbm,120,raw,92.85545485886459,61.46621439737044,31.389240461494143,0.0,61.351260082418904,2117470,2135848
direction_p2_lightgbm,120,demeaned,75.71260233216879,60.65991661977543,15.052685712393352,0.0,60.491487050818975,2117470,2135848
direction_p2_lightgbm,300,raw,111.10075963778482,61.60576329724894,49.49499634053586,1.4210854715202004e-14,61.351260082418904,2090470,2135848
direction_p2_lightgbm,300,demeaned,71.62685403718001,60.81862953949768,10.808224497682325,0.0,60.491487050818975,2090470,2135848
direction_p2_lightgbm,600,raw,87.6820681799293,61.3605234982669,26.321544681662402,0.0,61.351260082418904,2045470,2135848
direction_p2_lightgbm,600,demeaned,24.125492942245646,60.59744408252929,-36.47195114028368,3.197442310920451e-14,60.491487050818975,2045470,2135848
sweep_dir_p4a,10,raw,84.4829425006845,79.0701114954584,5.412831005226088,1.4210854715202004e-14,79.07994549238805,2135048,2135848
sweep_dir_p4a,10,demeaned,84.1808980999206,78.91352815059341,5.267369949327199,-1.4210854715202004e-14,78.92156424231001,2135048,2135848
sweep_dir_p4a,30,raw,91.59364647087445,79.14033986661232,12.453306604262117,1.4210854715202004e-14,79.07994549238805,2131848,2135848
sweep_dir_p4a,30,demeaned,90.86984678530341,78.99383505913005,11.876011726173356,0.0,78.92156424231001,2131848,2135848
sweep_dir_p4a,60,raw,81.33470051507395,79.22841457674853,2.1062859383254278,-1.4210854715202004e-14,79.07994549238805,2127048,2135848
sweep_dir_p4a,60,demeaned,80.03115429822176,79.09036357752318,0.9407907206985916,0.0,78.92156424231001,2127048,2135848
sweep_dir_p4a,120,raw,77.32803062144919,79.4054909868853,-2.07746036543611,0.0,79.07994549238805,2117470,2135848
sweep_dir_p4a,120,demeaned,75.17088967762318,79.27883069196147,-4.107941014338314,1.4210854715202004e-14,78.92156424231001,2117470,2135848
sweep_dir_p4a,300,raw,96.6048281008577,79.61891105827877,16.98591704257896,-2.842170943040401e-14,79.07994549238805,2090470,2135848
sweep_dir_p4a,300,demeaned,91.72219451329164,79.49662368691784,12.225570826373819,-2.842170943040401e-14,78.92156424231001,2090470,2135848
sweep_dir_p4a,600,raw,40.87499694446751,79.62437972690873,-38.74938278244122,0.0,79.07994549238805,2045470,2135848
sweep_dir_p4a,600,demeaned,31.03647995005035,79.51268459033066,-48.4762046402803,-1.4210854715202004e-14,78.92156424231001,2045470,2135848
