signal,horizon_s,population,purge_s,rows,anchors,bootstrap_block_s,bootstrap_blocks,demean_blocks,mid_ticks_mean,raw_signed_markout_mean_ticks,raw_signed_markout_median_ticks,raw_signed_markout_mean_bps,raw_hit_rate,raw_moved_rows,raw_unconditional_mean_ticks,demeaned_signed_markout_mean_ticks,demeaned_signed_markout_median_ticks,demeaned_signed_markout_mean_bps,demeaned_hit_rate,demeaned_moved_rows,demeaned_unconditional_mean_ticks
obi_l1,1,oof_scored_purged,61.0,2136488,213651,1800.0,120,120,673768.5365995503,7.882311999880177,0.0,0.11406241386940079,0.7421380818868937,600267,0.4062632226345292,7.850830891417997,0.06833333333333333,0.11358217739732039,0.5443882671000259,2136488,-2.5541768597050717e-17
obi_l1,1,full_corpus,61.0,2570299,257034,1800.0,143,143,668552.3034357092,6.9607691556507625,0.0,0.10115290892846031,0.7507939444153413,643307,0.3308375795967706,6.928228899925302,0.0415,0.10065552983460223,0.5377313418808105,2553580,-6.510799915738162e-17
obi_l1,2,oof_scored_purged,62.0,2136328,106818,1800.0,120,120,673768.1412561648,10.839327809212817,0.0,0.15743930101202325,0.6994565393649896,863356,0.81394078999105,10.776672318288838,0.20966666666666667,0.15648312356917385,0.558124501481046,2136328,3.0993000273866734e-16
obi_l1,2,full_corpus,62.0,2570219,128515,1800.0,143,143,668551.8518781862,9.735372160893682,0.0,0.1421317055626001,0.7109128669172188,938461,0.6616936144351901,9.670472126561442,0.15805555555555556,0.14113950188193758,0.5529443210870357,2570219,1.9533007707851213e-16
obi_l1,5,oof_scored_purged,65.0,2135848,42720,1800.0,120,120,673766.9583914679,15.126435963607896,0.0,0.2210642923946761,0.6478385513212227,1251568,2.0353964795247603,14.971134975991216,0.8222222222222222,0.21869326748023415,0.5669481161580787,2135848,-5.791202344039381e-17
obi_l1,5,full_corpus,65.0,2569979,51404,1800.0,143,143,668550.498954077,14.013604002211691,0.0,0.20612270859349047,0.6630131187350639,1398458,1.6524557204553034,13.851751291458829,0.7254444444444444,0.20364748953905548,0.5681544479546331,2569979,1.6137469761755067e-16
obi_l1,10,oof_scored_purged,70.0,2135048,21352,1800.0,120,120,673765.0010957599,18.053827127071617,0.0,0.26499692845066974,0.6120659721652442,1523491,4.0575865273286595,17.742631990836063,1.8666666666666667,0.2602454418624549,0.561431874131167,2135048,6.815732118606632e-17
obi_l1,10,full_corpus,70.0,2569579,25699,1800.0,143,143,668548.2549575241,17.24833250894407,0.0,0.2551213308428855,0.6281100828363211,1746939,3.2930279629464594,16.926064790123224,1.9584444444444444,0.25019112206037125,0.5688850196861043,2569579,5.436625462471548e-16
obi_l1,30,oof_scored_purged,90.0,2131848,7108,1800.0,120,120,673757.235746404,21.97395639839238,0.0,0.32455766811317704,0.5691579703227859,1860552,12.479759344943917,21.06836138052082,6.83897250198031,0.31071236175029543,0.5476609964687914,2131848,1.6109272302221251e-15
obi_l1,30,full_corpus,90.0,2567979,8563,1800.0,143,143,668539.2743760755,21.76310281353547,0.0,0.32417981861569845,0.5808501799992661,2207509,9.852075503732701,20.808917601201127,8.446833333333334,0.30957938563063164,0.5580614171689099,2567979,-7.026683194517905e-16
obi_l1,60,oof_scored_purged,120.0,2127048,3547,1800.0,120,120,673745.7859688639,20.197075712442786,7.0,0.30009704124230485,0.5451029144912415,2002099,24.465655217935844,18.527044040584435,11.021527777777777,0.2745228694853641,0.5337336063878201,2127048,3.530145186115826e-15
obi_l1,60,full_corpus,120.0,2565579,4279,1800.0,143,143,668525.8017658002,20.436509068713143,8.0,0.30621583464890023,0.5513715056583977,2401740,19.686128160543877,18.656168260760644,11.806138888888889,0.27890454532065495,0.5392774886292724,2565579,4.083826288110455e-16
obi_l1,120,oof_scored_purged,180.0,2117470,1767,1800.0,120,120,673722.7158760219,20.13351357988543,12.0,0.2996724000494267,0.5254437130339277,2080455,48.30353605954276,17.249423515585242,11.947555555555555,0.2553447773646454,0.51849565755359,2117470,-3.8484949151040804e-16
obi_l1,120,full_corpus,180.0,2560801,2137,1800.0,143,143,668499.0629861515,19.500041393298424,11.0,0.2921486336402637,0.527932283346019,2510697,39.291251448277315,16.24712545669572,11.111833333333337,0.24212684533954018,0.5203754606468836,2560801,3.409538319072865e-15
obi_l1,300,oof_scored_purged,360.0,2090470,700,3600.0,60,119,673671.0912883227,17.547318306409565,15.0,0.26061550300163994,0.5127958927355877,2086060,117.74743215640503,12.26488572192078,3.626138888888889,0.17863223682433876,0.5054552325553584,2090470,-6.7940076934306864e-15
obi_l1,300,full_corpus,360.0,2548201,854,3600.0,72,143,668437.8471388246,15.774571943108098,16.0,0.2358355649012818,0.5142822877140554,2543150,96.8794223846549,9.346762392411293,3.3811944444444464,0.1366785191621306,0.5052176025360636,2548201,-7.309647666063066e-16
obi_l1,600,oof_scored_purged,660.0,2045470,344,7200.0,30,119,673585.8496088919,13.219816716940361,7.0,0.1996880476713437,0.506430305945229,2041738,210.98616723784752,5.6643584172734505,3.381055555555548,0.08120426877724304,0.5023202491358955,2045470,-6.032855096215095e-15
obi_l1,600,full_corpus,660.0,2527201,426,7200.0,36,143,668339.5262127944,11.227852078247832,10.0,0.17151964050249474,0.5081437600833497,2523343,185.0934349899355,2.704025617291448,0.8458611111111125,0.03803766500099765,0.5004762185516705,2527201,1.105558174378071e-15
obi_l5,1,oof_scored_purged,61.0,2136488,213651,1800.0,120,120,673768.5365995503,7.962828014947895,0.0,0.11519559605532462,0.7402922366213701,600267,0.4062632226345292,7.931170984202924,0.07005555555555555,0.11471294824607102,0.5462511373805985,2136488,-2.5541768597050717e-17
obi_l5,1,full_corpus,61.0,2570299,257034,1800.0,143,143,668552.3034357092,7.032544657255829,0.0,0.10216789289182171,0.7490358413634548,643307,0.3308375795967706,7.000097806724277,0.042388888888888886,0.10167218495274986,0.5393897978524268,2553580,-6.510799915738162e-17
obi_l5,2,oof_scored_purged,62.0,2136328,106818,1800.0,120,120,673768.1412561648,10.93828288539962,0.0,0.15883291990490872,0.6978685501693391,863356,0.81394078999105,10.875333860077541,0.20966666666666667,0.1578727677936759,0.5598424024775221,2136328,3.0993000273866734e-16
obi_l5,2,full_corpus,62.0,2570219,128515,1800.0,143,143,668551.8518781862,9.830376322017695,0.0,0.14348429362884454,0.7094274562288684,938461,0.6616936144351901,9.76570907420899,0.15955555555555556,0.14249609278712677,0.5545099464286896,2570219,1.9533007707851213e-16
obi_l5,5,oof_scored_purged,65.0,2135848,42720,1800.0,120,120,673766.9583914679,15.16227887003195,0.0,0.22156660714399787,0.6472552829730386,1251568,2.0353964795247603,15.005775449472331,0.8222222222222222,0.2191785499396781,0.5689505994808619,2135848,-5.791202344039381e-17
obi_l5,5,full_corpus,65.0,2569979,51404,1800.0,143,143,668550.498954077,14.070486957286422,0.0,0.20695971572922647,0.6624489258883713,1398458,1.6524557204553034,13.908927511443997,0.7596666666666667,0.20449015632815204,0.5699688596677249,2569979,1.6137469761755067e-16
obi_l5,10,oof_scored_purged,70.0,2135048,21352,1800.0,120,120,673765.0010957599,18.02014732221477,0.0,0.264448307727843,0.6119530735659088,1523491,4.0575865273286595,17.705958461711152,1.8666666666666667,0.25965410611215173,0.5633831183186514,2135048,6.815732118606632e-17
obi_l5,10,full_corpus,70.0,2569579,25699,1800.0,143,143,668548.2549575241,17.261175857990743,0.0,0.25529906000203195,0.6280471155546931,1746939,3.2930279629464594,16.938847553221414,1.9584444444444444,0.25037059546714885,0.5706031999794519,2569579,5.436625462471548e-16
obi_l5,30,oof_scored_purged,90.0,2131848,7108,1800.0,120,120,673757.235746404,22.208243974242066,0.0,0.3277357305263495,0.56982067687439,1860552,12.479759344943917,21.292823529704485,7.060666666666667,0.31375040740476007,0.5493501412858703,2131848,1.6109272302221251e-15
obi_l5,30,full_corpus,90.0,2567979,8563,1800.0,143,143,668539.2743760755,22.13137743727655,1.0,0.3295074831108146,0.5819034033383329,2207509,9.852075503732701,21.175303712204677,8.446833333333334,0.314886372107694,0.559991339493041,2567979,-7.026683194517905e-16
