problem,feature,mean_coefficient,median_coefficient,min_coefficient,max_coefficient,folds_positive,folds
fill_1000ms,signed_depth_flow_pressure_l5_500ms,0.03075196021,0.02079652436,-0.005653116386,0.1062635481,0.7,10
fill_1000ms,signed_log_volume_1000ms,-0.02232386763,-0.01795639191,-0.07851687074,-0.005428149831,0,10
fill_1000ms,signed_log_volume_100ms,-0.1524252698,-0.1483610868,-0.177155003,-0.1314419657,0,10
fill_1000ms,signed_log_volume_250ms,-0.02664966155,-0.02721782494,-0.02985054813,-0.02031521127,0,10
fill_1000ms,signed_log_volume_5000ms,-0.008590137935,-0.01085594669,-0.0264557898,0.03193580732,0.2,10
fill_1000ms,signed_log_volume_500ms,-0.01606422914,-0.01679185871,-0.01971189305,-0.008578972891,0,10
fill_1000ms,signed_microprice_offset_ticks,-0.1537464984,-0.1854066327,-0.2151573598,-0.08037883043,0,10
fill_1000ms,signed_net_depth_flow_l1_1000ms,0.0001144574489,0.011775102,-0.07520718873,0.01948070526,0.6,10
fill_1000ms,signed_net_depth_flow_l1_100ms,0.04923734106,0.04686319828,0.04194410145,0.06179769337,1,10
fill_1000ms,signed_net_depth_flow_l1_250ms,0.008229366527,0.01002990664,-0.01290827524,0.02181149647,0.7,10
fill_1000ms,signed_net_depth_flow_l1_5000ms,-0.02337949369,-0.01410646457,-0.09977107495,0.0004934706958,0.1,10
fill_1000ms,signed_net_depth_flow_l1_500ms,-0.002964279405,-0.008237901027,-0.02924616262,0.0224853456,0.4,10
fill_1000ms,signed_net_depth_flow_l5_1000ms,0.02588785794,0.01517227525,0.007575211115,0.08455234766,1,10
fill_1000ms,signed_net_depth_flow_l5_100ms,-0.03113664836,-0.03042029403,-0.03852685168,-0.02431062981,0,10
fill_1000ms,signed_net_depth_flow_l5_250ms,-0.01711909235,-0.01733544935,-0.02616165951,-0.007594626863,0,10
fill_1000ms,signed_net_depth_flow_l5_5000ms,-0.04102912201,-0.04260907881,-0.06825389713,-0.009013430215,0,10
fill_1000ms,signed_net_depth_flow_l5_500ms,-0.001559570234,-0.003264118801,-0.01240012515,0.01101994328,0.4,10
fill_1000ms,signed_obi_l1,-0.1721068725,-0.1893297061,-0.2186565399,-0.1153723896,0,10
fill_1000ms,signed_obi_l10,-0.004785736778,0.004449944769,-0.0519435145,0.05474745855,0.6,10
fill_1000ms,signed_obi_l5,-0.07907829694,-0.06470435858,-0.1459962428,-0.049584914,0,10
fill_1000ms,signed_trade_imbalance_1000ms,0.03455768526,0.03152239695,0.0221850872,0.0756739229,1,10
fill_1000ms,signed_trade_imbalance_100ms,0.09388174117,0.09432905167,0.07783438265,0.1061038747,1,10
fill_1000ms,signed_trade_imbalance_250ms,0.01730381632,0.01754684839,0.01098788623,0.0217790436,1,10
fill_1000ms,signed_trade_imbalance_5000ms,0.04494957989,0.04863736778,-0.001019497402,0.06685117632,0.9,10
fill_1000ms,signed_trade_imbalance_500ms,0.01974388435,0.01859218813,0.01604436338,0.02956488356,1,10
fill_1000ms,signed_weighted_obi_l10,-0.05506221587,-0.06363288127,-0.08057776839,0.007373134606,0.1,10
fill_1000ms,signed_weighted_obi_l5,-0.1018292479,-0.1013204418,-0.1464717686,-0.05888036638,0,10
fill_1000ms,spread_ticks,-0.008949523792,0,-0.03100981563,0,0,10
fill_1000ms,time_since_bbo_change_ms,-0.175745067,-0.1589868888,-0.2229899168,-0.1465661377,0,10
fill_1000ms,time_since_depth_ms,0.003040865937,0.00342545379,-0.01242549159,0.01308019087,0.7,10
fill_1000ms,time_since_mid_change_ms,-0.1757438034,-0.1589868888,-0.2229878455,-0.1465661377,0,10
fill_1000ms,time_since_trade_ms,-0.1219727345,-0.09180278704,-0.2240886986,-0.02320126817,0,10
fill_1000ms,trade_count_1000ms,0.01812884286,0.01899218373,-0.0148050338,0.03672555462,0.9,10
fill_1000ms,trade_count_100ms,0.1210757531,0.1250300966,0.1012258381,0.1441319436,1,10
fill_1000ms,trade_count_250ms,0.04426162057,0.05085716955,0.0121388752,0.08415328711,1,10
fill_1000ms,trade_count_5000ms,0.2282688454,0.2230665162,0.1540819705,0.2934917808,1,10
fill_1000ms,trade_count_500ms,0.02249023332,0.02266880777,0.007391640451,0.03659680486,1,10
fill_1000ms_ask_only,backward_mid_abs_change_ticks_1000ms,0.01501316405,0.01800942421,-0.01010222733,0.03696667776,0.8,10
fill_1000ms_ask_only,backward_mid_abs_change_ticks_100ms,-0.03545843353,-0.04238331132,-0.06434641778,-0.01560958754,0,10
fill_1000ms_ask_only,backward_mid_abs_change_ticks_250ms,-0.04157540109,-0.04906709306,-0.07945258915,-0.01236244105,0,10
fill_1000ms_ask_only,backward_mid_abs_change_ticks_5000ms,-0.234188132,-0.2277022079,-0.3465873301,-0.09310044348,0,10
fill_1000ms_ask_only,backward_mid_abs_change_ticks_500ms,-0.009866398724,-0.007015041076,-0.02601777948,-0.0006649339339,0,10
fill_1000ms_ask_only,bbo_change_count_1000ms,-0.0669251631,-0.05979984999,-0.1086519957,-0.01193180773,0,10
fill_1000ms_ask_only,bbo_change_count_100ms,-0.03614798123,-0.03761926852,-0.05059878528,-0.01367276255,0,10
fill_1000ms_ask_only,bbo_change_count_250ms,0.01412279964,0.01288276957,0.005391271319,0.02512194589,1,10
fill_1000ms_ask_only,bbo_change_count_5000ms,0.2998004727,0.2183368057,0.09808028489,0.4793412685,1,10
fill_1000ms_ask_only,bbo_change_count_500ms,0.01566996966,0.0154550462,0.01029032003,0.02455603518,1,10
fill_1000ms_ask_only,depth_event_count_1000ms,-0.01582735261,-0.01643508906,-0.02591810748,0.001569265849,0.1,10
fill_1000ms_ask_only,depth_event_count_100ms,-0.0318163326,-0.03163811099,-0.04544491693,-0.02010142617,0,10
fill_1000ms_ask_only,depth_event_count_250ms,-0.005342804804,-0.008188910084,-0.01592407934,0.01412177179,0.2,10
fill_1000ms_ask_only,depth_event_count_5000ms,-0.01289793146,-0.01358534163,-0.01836597547,-0.005937880371,0,10
fill_1000ms_ask_only,depth_event_count_500ms,-0.004057812866,-0.006041877903,-0.01335567422,0.007955890149,0.3,10
fill_1000ms_ask_only,log_opp_depth_add_l1_1000ms,0.1454710998,0.149872914,0.1183984205,0.1705229729,1,10
fill_1000ms_ask_only,log_opp_depth_add_l1_100ms,0.06444949992,0.06473647058,0.05160748959,0.07527541369,1,10
fill_1000ms_ask_only,log_opp_depth_l1,0.0478639846,0.04645737447,-0.03225328401,0.1850501597,0.8,10
fill_1000ms_ask_only,log_opp_depth_l10,-0.1354952164,-0.1180278063,-0.2266711742,-0.08494250476,0,10
fill_1000ms_ask_only,log_opp_depth_l5,-0.07534185275,-0.07540629432,-0.1045692414,-0.05222727358,0,10
fill_1000ms_ask_only,log_opp_depth_remove_l1_1000ms,0.02226219464,0.0255466383,-0.00358080701,0.04066993669,0.9,10
fill_1000ms_ask_only,log_opp_depth_remove_l1_100ms,0.0270655619,0.02760838624,-0.01423333958,0.05589519814,0.9,10
fill_1000ms_ask_only,log_own_depth_add_l1_1000ms,0.03816194166,0.03402611706,0.002834890503,0.07715512067,1,10
fill_1000ms_ask_only,log_own_depth_add_l1_100ms,0.03183384738,0.02667715307,-0.004631752614,0.05794490501,0.9,10
fill_1000ms_ask_only,log_own_depth_l1,-0.3437543064,-0.3425804675,-0.3791006804,-0.3056656122,0,10
fill_1000ms_ask_only,log_own_depth_l10,0.1389625642,0.1406490281,0.05378615856,0.2155345678,1,10
fill_1000ms_ask_only,log_own_depth_l5,-0.01289737788,0.008224862395,-0.1479755342,0.1194877923,0.6,10
fill_1000ms_ask_only,log_own_depth_remove_l1_1000ms,0.1834059164,0.1787589565,0.09380629659,0.2341683358,1,10
fill_1000ms_ask_only,log_own_depth_remove_l1_100ms,0.1157466598,0.1085654497,0.1007265896,0.1333951503,1,10
fill_1000ms_ask_only,log_queue_ahead_lots,-0.3437543064,-0.3425804675,-0.3791006804,-0.3056656122,0,10
fill_1000ms_ask_only,opp_concentration_l10,-0.07148100249,-0.07962112129,-0.1316925734,-0.02958933264,0,10
fill_1000ms_ask_only,opp_concentration_l5,0.01995908921,0.02423874009,-0.002510593506,0.0409610793,0.8,10
fill_1000ms_ask_only,opp_dispersion_ticks_l10,-0.04418022977,-0.04499191605,-0.09642247111,-0.01154722087,0,10
fill_1000ms_ask_only,own_concentration_l10,0.09488555975,0.09537575021,0.03343441337,0.1543985307,1,10
fill_1000ms_ask_only,own_concentration_l5,-0.02791818138,-0.02707125153,-0.03803748637,-0.01597823575,0,10
fill_1000ms_ask_only,own_dispersion_ticks_l10,0.05424938006,0.0658588782,0.01013832446,0.09218735993,1,10
