group,metric,population,observed,unobserved_within_window,mean_ms,std_ms,p10_ms,p25_ms,p50_ms,p75_ms,p90_ms,p99_ms,frac_lt_10ms,frac_lt_50ms,frac_lt_100ms,frac_gt_100ms,frac_unobserved
side=bid;category=at_quote,first_mid_move_latency_ms,667791,511128,156663,1129.16461,1268.509345,51.592812,117.4150948,603.9012665,1740.042287,3200.83311,4788.889073,0.01184502337,0.0736203393,0.1781919792,0.5872091717,0.234598849
side=bid;category=at_quote,qty_reaction_exchange_lag_ms,667791,650828,16963,443.2301269,684.8685712,68,114,209,426,1038,3814,0.003691274665,0.05700436214,0.1959565193,0.7735399249,0.0254016601
side=bid;category=outside_quote,depth_qty_reaction_latency_ms,468386,461173,7213,201.3307282,482.3619178,19.1607368,45.475857,79.559768,101.59027,386.4539918,2891.753974,0.05026196342,0.273731495,0.7139688206,0.2706314877,0.01539969171
side=bid;category=outside_quote,quote_removal_latency_ms,468386,396649,71737,516.8551969,918.7536675,34.3461336,67.121498,99.549614,481.99826,1604.87314,4394.240963,0.0220437844,0.137954593,0.4289304121,0.4179117224,0.1531578655
side=bid;category=outside_quote,best_price_change_latency_ms,468386,459498,8888,280.9463764,603.1481412,20.6044938,49.22152325,86.3737905,183.392967,702.4844739,3431.864956,0.0472516258,0.2493264103,0.6275102159,0.3535139821,0.01897580201
side=bid;category=outside_quote,mid_adverse_move_latency_ms,468386,390201,78185,519.1305141,932.76428,34.818547,67.21533,99.182471,473.978802,1614.12881,4542.30367,0.02113641313,0.1348246959,0.4269747601,0.4061009509,0.1669242889
side=bid;category=outside_quote,first_mid_move_latency_ms,468386,459819,8567,273.7022461,594.6681731,20.433544,48.774602,85.635724,177.0295445,686.4757678,3362.978701,0.04767221907,0.2519417745,0.6358900565,0.3458194737,0.01829046983
side=bid;category=outside_quote,qty_reaction_exchange_lag_ms,468386,461173,7213,952.2284869,1925.965361,74,111,170,596,2878,8391,0.01830968475,0.06914169083,0.1208212884,0.8633242667,0.01539969171
side=bid;category=through_quote,depth_qty_reaction_latency_ms,1416379,1415644,735,58.87032762,129.8959508,9.7007144,23.860844,47.065189,72.58521275,90.8163709,283.5674993,0.1032174298,0.5296202499,0.9489126851,0.050568386,0.0005189289025
side=bid;category=through_quote,quote_removal_latency_ms,1416379,1398042,18337,88.24887131,295.6805563,9.8380744,24.27202525,47.9217725,74.14309725,93.9188631,1246.225191,0.100504173,0.5141985302,0.914786226,0.07226738041,0.01294639359
side=bid;category=through_quote,best_price_change_latency_ms,1416379,1415910,469,59.03363381,122.9690333,9.750774,23.93498925,47.147652,72.70495,90.9650439,338.8506975,0.1027330962,0.5289481135,0.9479517841,0.05171708985,0.0003311260616
side=bid;category=through_quote,mid_adverse_move_latency_ms,1416379,1391874,24505,93.38661498,318.45847,9.8639526,24.31185,48.02987,74.37890825,94.4061295,1519.836469,0.09977131827,0.5107220596,0.9081411119,0.07455772784,0.01730116021
side=bid;category=through_quote,first_mid_move_latency_ms,1416379,1415932,447,58.84213836,122.060216,9.744177,23.91974025,47.109314,72.670042,90.8947908,332.9200915,0.1027860481,0.5292855938,0.9486571038,0.05102730272,0.0003155934958
side=bid;category=through_quote,qty_reaction_exchange_lag_ms,1416379,1415644,735,225.9877045,895.9917972,17,35,61,86,102,5511,0.04863881772,0.3843356898,0.8817943502,0.1083608272,0.0005189289025
category=at_quote,depth_qty_reaction_latency_ms,1320201,1285877,34324,353.7679401,679.932121,19.7743206,48.238146,93.280398,309.563736,934.6674774,3724.050775,0.04896224136,0.2526471348,0.5231726078,0.4508283208,0.02599907135
category=at_quote,quote_removal_latency_ms,1320201,688408,631793,1266.130468,1362.401029,49.1396758,110.5645747,722.3815485,2053.078688,3527.393391,4852.808752,0.008935003079,0.05327219113,0.125474833,0.3959669778,0.4785581892
category=at_quote,best_price_change_latency_ms,1320201,1003858,316343,1134.197326,1273.712196,51.6345963,117.020268,605.525834,1750.898893,3216.634481,4794.867248,0.01176411774,0.07305402738,0.1774351027,0.5829475966,0.2396173007
category=at_quote,mid_adverse_move_latency_ms,1320201,682182,638019,1264.718653,1362.887361,48.7945639,108.3260842,717.9657795,2054.007143,3526.228525,4850.875046,0.00893727546,0.05326007176,0.1251150393,0.3916108229,0.4832741378
category=at_quote,first_mid_move_latency_ms,1320201,1003887,316314,1133.898317,1273.751697,51.5656868,116.5841495,605.107011,1750.58648,3216.39908,4794.853154,0.01179441615,0.07317900835,0.1777085459,0.5826961198,0.2395953343
category=at_quote,qty_reaction_exchange_lag_ms,1320201,1285877,34324,449.6238396,694.2289226,67,113,210,435,1058,3854,0.003727462712,0.0581275124,0.1987871544,0.7700077488,0.02599907135
category=outside_quote,depth_qty_reaction_latency_ms,962244,947068,15176,205.8846138,510.7112769,18.8600771,45.265176,78.8415015,101.1713392,378.768834,3030.633231,0.05067010031,0.275896758,0.7192396107,0.2649889217,0.01577146753
category=outside_quote,quote_removal_latency_ms,962244,817300,144944,496.952783,919.502979,31.6034505,63.63404875,97.4459435,410.8129655,1525.625196,4457.896284,0.02453327846,0.1493986972,0.4529422891,0.3964264781,0.1506312328
category=outside_quote,best_price_change_latency_ms,962244,944436,17808,272.6978373,607.9152543,19.8048075,47.62296075,83.9887565,166.4048253,676.3261505,3466.900567,0.04895016233,0.2590704645,0.6498497263,0.3316435332,0.01850674049
category=outside_quote,mid_adverse_move_latency_ms,962244,800804,161440,508.9703642,938.3450634,33.1527964,64.93284725,97.701128,425.599409,1588.194522,4511.037943,0.02275514319,0.1414121574,0.4427297027,0.3894958036,0.1677744938
category=outside_quote,first_mid_move_latency_ms,962244,945087,17157,266.0385135,598.4715203,19.6643856,47.2234725,83.373699,158.57658,644.209546,3438.01097,0.04946042792,0.2617132453,0.6580056618,0.3241641413,0.01783019691
category=outside_quote,qty_reaction_exchange_lag_ms,962244,947068,15176,859.5819213,1718.399372,83,112,171,555,2583,8242.33,0.01422612144,0.06267744979,0.1109936773,0.8728295526,0.01577146753
category=through_quote,depth_qty_reaction_latency_ms,2892461,2891204,1257,60.89731765,139.5592376,9.77378,24.01389775,47.518686,73.2260615,91.7441775,316.435137,0.1023343098,0.5252579032,0.9439774642,0.0555879578,0.0004345780289
category=through_quote,quote_removal_latency_ms,2892461,2848062,44399,92.64911961,309.259821,9.9015743,24.4143285,48.390561,74.98029675,95.2814451,1439.843041,0.09943919728,0.5081890473,0.9057062481,0.07894384747,0.01534990446
category=through_quote,best_price_change_latency_ms,2892461,2891530,931,60.03046728,117.794905,9.8057394,24.101586,47.648422,73.44114025,92.0543796,373.2779252,0.1020065612,0.524040255,0.9417043134,0.05797381538,0.000321871237
category=through_quote,mid_adverse_move_latency_ms,2892461,2832504,59957,97.80969101,330.7007753,9.9215756,24.456015,48.468055,75.1526185,95.6364544,1666.739075,0.09870833176,0.5045845043,0.898703215,0.08056806989,0.0207287151
category=through_quote,first_mid_move_latency_ms,2892461,2891579,882,59.88504954,117.1484495,9.8020728,24.092272,47.62522,73.403288,91.9856354,371.085793,0.1020425167,0.5242743117,0.9422730332,0.05742203611,0.0003049306456
category=through_quote,qty_reaction_exchange_lag_ms,2892461,2891204,1257,252.2218021,1009.791099,16,35,62,86,104,6566,0.05005149594,0.3832884869,0.8772183964,0.1127323756,0.0004345780289
