executed_trade_count,gross_executable_edge_bp_per_trade,additional_cost_bp_per_side,net_edge_bp_per_trade,hit_rate,net_trade_sharpe,cumulative_net_pnl_bp,best_day_pnl_fraction,best_5pct_trade_pnl_fraction,positive_days,days,model,side,horizon_ms,tail,fold,cost_bp_per_side,utc_date
8640,0.010713602020472557,3.0,-5.989286397979527,0.0,-9198.747243312666,-51747.43447854312,,,0,0,obi_only,long,250,0.1,2,3.0,2026-08-21
8640,0.007007266520115962,3.0,-5.992992733479884,0.0,-15899.612635202115,-51779.4572172662,,,0,0,obi_only,long,250,0.1,3,3.0,2026-08-22
8640,0.007262791815527692,5.0,-9.992737208184472,0.00011574074074074075,-7877.495472072509,-86337.24947871384,,,0,1,obi_only,long,250,0.1,0,5.0,2026-08-19
8639,0.00844500995562214,5.0,-9.991554990044378,0.0,-23025.929644387805,-86317.04355899338,,,0,0,obi_only,long,250,0.1,1,5.0,2026-08-20
8640,0.010713602020473445,5.0,-9.989286397979527,0.0,-15342.215183944687,-86307.43447854312,,,0,0,obi_only,long,250,0.1,2,5.0,2026-08-21
8640,0.007007266520115962,5.0,-9.992992733479884,0.0,-26511.748068892102,-86339.4572172662,,,0,0,obi_only,long,250,0.1,3,5.0,2026-08-22
4320,0.011111146821484175,1.0,-1.9888888531785158,0.0002314814814814815,-798.5777808835129,-8591.999845731189,,,0,1,obi_only,long,250,0.05,0,1.0,2026-08-19
4320,0.009752714928590978,1.0,-1.990247285071409,0.0,-3105.6635131257863,-8597.868271508487,,,0,0,obi_only,long,250,0.05,1,1.0,2026-08-20
4320,0.012526676143197246,1.0,-1.9874733238568028,0.0,-2033.929169520466,-8585.884759061388,,,0,0,obi_only,long,250,0.05,2,1.0,2026-08-21
4320,0.008947535677941376,1.0,-1.9910524643220586,0.0,-3391.481994982446,-8601.346645871294,,,0,0,obi_only,long,250,0.05,3,1.0,2026-08-22
4320,0.011111146821483953,2.0,-3.988888853178516,0.0002314814814814815,-1601.6169045703662,-17231.99984573119,,,0,1,obi_only,long,250,0.05,0,2.0,2026-08-19
