side,age_bucket,observations,mean_age_ms,hazard_100ms,hazard_250ms,hazard_1000ms,sweep_100ms,sweep_1000ms,mean_relative_remaining,mean_replenish_events
0,0,21416,57.29881668,0.3298468292,0.4691819251,0.7055472732,0.1845816225,0.4282779098,1.674403906,0.0003236585762
0,1,21425,317.6533813,0.1053908989,0.2240477949,0.5108289719,0.06683780998,0.2837471962,5.002158642,0.3005969822
0,2,21415,712.9246216,0.06299322844,0.1412094384,0.4060238004,0.04006537423,0.2261965871,7.76796484,0.9881952405
0,3,21423,1280.642334,0.04611865804,0.1088082865,0.3408952951,0.03043458052,0.1798235327,5.230222225,1.576253653
0,4,21419,2052.668945,0.03352164105,0.0842242837,0.2825995684,0.02180307172,0.147766009,7.07092762,2.025873899
0,5,21422,3149.525635,0.02632807381,0.06540311128,0.2252462506,0.01573149115,0.1170346886,9.405399323,2.413557053
0,6,21419,4746.507324,0.01932863332,0.04897749424,0.1804556847,0.01111163013,0.09384629875,8.191551208,2.778802872
0,7,21420,7161.986328,0.01484593842,0.03683473542,0.1401493996,0.009290383197,0.07105509192,6.393553257,3.13401103
0,8,21421,11072.96582,0.009990196675,0.02572242171,0.100462161,0.006769058295,0.05349890143,7.120279312,3.498179436
0,9,21418,17888.24609,0.006163040642,0.01722849905,0.06873045117,0.004062003922,0.03590605408,7.764373302,3.898940802
0,10,21420,31482.64648,0.004014939535,0.01134453807,0.04561370611,0.002754435176,0.02549138665,9.707601547,4.380738735
0,11,21420,76353.20312,0.00312791788,0.007236227859,0.02969187684,0.001727357623,0.01582633145,12.72943687,5.170416832
1,0,21424,57.29795456,0.3298636973,0.4691467583,0.7052838206,0.1788181514,0.4228902161,1.762518287,0.0001941226219
1,1,21416,317.6166077,0.1057153493,0.2242820412,0.5110903382,0.06327044964,0.2822787762,6.662912846,0.2992765307
1,2,21423,712.9334717,0.06287635118,0.1411567032,0.4061055779,0.03645614535,0.2107547969,4.981194973,0.9915719032
1,3,21417,1280.686401,0.04603819549,0.1086520031,0.3408507407,0.0287155062,0.1792201698,7.904343128,1.572448611
1,4,21420,2052.666992,0.03347339109,0.08422035724,0.2825863659,0.02054155059,0.1489729285,6.260841846,2.019507885
1,5,21419,3149.477539,0.02633176185,0.06545896083,0.225231111,0.01699425653,0.1170977652,6.036996841,2.404373646
1,6,21421,4746.425781,0.01928014494,0.04901960865,0.1804388463,0.01246440411,0.09397759289,7.65228796,2.762617111
1,7,21419,7161.931641,0.01484663133,0.03678976744,0.1402026266,0.008917316794,0.07376628369,7.935212135,3.113440037
1,8,21420,11072.90234,0.009897292592,0.02563025244,0.1003734842,0.00625583576,0.04934640601,10.57227802,3.480683565
1,9,21420,17888.2793,0.006209150422,0.01727357693,0.0687707141,0.003688141936,0.03478220105,10.53763866,3.886562347
1,10,21419,31483.0957,0.004015126731,0.01134506706,0.04561583698,0.002521126065,0.02091698535,10.99945927,4.382543087
1,11,21420,76353.34375,0.00312791788,0.007236227859,0.02969187684,0.001727357623,0.01479925308,6.329843044,5.195037842
