problem,family,task,model,target,feature_set,n,positives,base_rate,roc_auc,pr_auc,pr_auc_lift,log_loss,brier,accuracy,primary_metric,blocks,block_mean,block_median,block_worst,block_best,block_frac_expected_sign,block_bootstrap_p05,block_bootstrap_p95
trade_through_within_1000ms__queue_lifecycle,ablation,classification,lightgbm,trade_through_within_1000ms,queue_lifecycle,428522,67056,0.1564820476,0.8463996781,0.5697710869,3.641127501,0.313650294,0.09598318647,0.8697919827,roc_auc,120,0.7854947239,0.7790258805,0.7138109953,0.9089912281,1,0.7786898805,0.7928443889
trade_through_within_1000ms__all,ablation,classification,naive,trade_through_within_1000ms,all,428522,67056,0.1564820476,0.6743056725,0.2435590612,1.556466476,0.4530023946,0.1353708491,0.8435179524,roc_auc,120,0.5012282264,0.5,0.4794330562,0.5834629064,0.05,0.4998646119,0.5028606073
trade_through_within_1000ms__all,ablation,classification,linear,trade_through_within_1000ms,all,428522,67056,0.1564820476,0.8559585244,0.5840028014,3.732075407,0.309124008,0.09452817652,0.8720555771,roc_auc,120,0.7997330703,0.7924001548,0.7248878789,0.9007456934,1,0.7932028336,0.8068122358
trade_through_within_1000ms__all,ablation,classification,lightgbm,trade_through_within_1000ms,all,428522,67056,0.1564820476,0.858016,0.5949662148,3.802137203,0.3038837595,0.09297311051,0.8732387135,roc_auc,120,0.8005541988,0.7907975653,0.7295434579,0.9399671053,1,0.7938374349,0.8076776753
catastrophic_25__static_book,ablation,classification,naive,catastrophic_25,static_book,276939,183651,0.6631460358,0.5223646009,0.6784790894,1.023121685,0.6410891445,0.2243869838,0.6631460358,roc_auc,119,0.4991221563,0.5,0.4324561404,0.5550944185,0.02521008403,0.4975009864,0.5005381483
catastrophic_25__static_book,ablation,classification,linear,catastrophic_25,static_book,276939,183651,0.6631460358,0.5996913202,0.724344198,1.092284593,0.628048826,0.218409144,0.6645542881,roc_auc,119,0.5948029235,0.5946343477,0.4797819972,0.7493228078,0.9915966387,0.5891293195,0.6009926244
catastrophic_25__static_book,ablation,classification,lightgbm,catastrophic_25,static_book,276939,183651,0.6631460358,0.5852870633,0.7173426548,1.081726522,0.6355990896,0.221584412,0.6575346918,roc_auc,119,0.5813151841,0.5796657066,0.4682392454,0.6997380102,0.9915966387,0.5766972866,0.5862978491
catastrophic_25__static_book_plus_flow,ablation,classification,naive,catastrophic_25,static_book_plus_flow,276939,183651,0.6631460358,0.5223646009,0.6784790894,1.023121685,0.6410891445,0.2243869838,0.6631460358,roc_auc,119,0.4991221563,0.5,0.4324561404,0.5550944185,0.02521008403,0.4975009864,0.5005381483
catastrophic_25__static_book_plus_flow,ablation,classification,linear,catastrophic_25,static_book_plus_flow,276939,183651,0.6631460358,0.6045684415,0.723950333,1.091690659,0.6257697425,0.2171814035,0.6692917935,roc_auc,119,0.6011774304,0.6076768721,0.5049409773,0.7405607358,1,0.5952482791,0.607877421
catastrophic_25__static_book_plus_flow,ablation,classification,lightgbm,catastrophic_25,static_book_plus_flow,276939,183651,0.6631460358,0.6109482769,0.737036634,1.111424323,0.6243248375,0.2165552754,0.6674718981,roc_auc,119,0.6042877797,0.6038501657,0.498884524,0.7528469223,0.9915966387,0.5998283151,0.6093696553
catastrophic_25__queue_lifecycle,ablation,classification,naive,catastrophic_25,queue_lifecycle,276939,183651,0.6631460358,0.5223646009,0.6784790894,1.023121685,0.6410891445,0.2243869838,0.6631460358,roc_auc,119,0.4991221563,0.5,0.4324561404,0.5550944185,0.02521008403,0.4975009864,0.5005381483
catastrophic_25__queue_lifecycle,ablation,classification,linear,catastrophic_25,queue_lifecycle,276939,183651,0.6631460358,0.5818833698,0.7112853171,1.072592278,0.6385082026,0.2232357369,0.6550540011,roc_auc,119,0.5858141934,0.5850075054,0.4616433872,0.7449262978,0.974789916,0.579382398,0.5921755717
catastrophic_25__queue_lifecycle,ablation,classification,lightgbm,catastrophic_25,queue_lifecycle,276939,183651,0.6631460358,0.575735923,0.7124770959,1.074389437,0.649954195,0.2274884388,0.639830432,roc_auc,119,0.5779597452,0.5745365662,0.4087715003,0.7409852113,0.9495798319,0.5728478327,0.5841722184
catastrophic_25__all,ablation,classification,naive,catastrophic_25,all,276939,183651,0.6631460358,0.5223646009,0.6784790894,1.023121685,0.6410891445,0.2243869838,0.6631460358,roc_auc,119,0.4991221563,0.5,0.4324561404,0.5550944185,0.02521008403,0.4975009864,0.5005381483
catastrophic_25__all,ablation,classification,linear,catastrophic_25,all,276939,183651,0.6631460358,0.6067407008,0.7256439571,1.094244583,0.6258741618,0.2172325267,0.6688873723,roc_auc,119,0.6033455354,0.6123642571,0.4988263028,0.7512692115,0.9915966387,0.5974024991,0.6098609786
catastrophic_25__all,ablation,classification,lightgbm,catastrophic_25,all,276939,183651,0.6631460358,0.6096936314,0.7347485036,1.107973906,0.6294446044,0.2182469777,0.6642618049,roc_auc,119,0.6038051014,0.6053077993,0.4620602221,0.730447367,0.9831932773,0.5986511676,0.6092437644
