problem,feature,mean_coefficient,median_coefficient,folds_positive,folds
catastrophic_25_conservative,signed_log_volume_5000ms,0.01507735457,0.02314157505,0.7,10
catastrophic_25_conservative,signed_log_volume_500ms,-0.02155295275,-0.02798959427,0.1,10
catastrophic_25_conservative,signed_microprice_offset_ticks,-0.06077396704,-0.05642476492,0.1,10
catastrophic_25_conservative,signed_net_depth_flow_l1_1000ms,-0.02448227657,-0.02591893543,0,10
catastrophic_25_conservative,signed_net_depth_flow_l1_100ms,0.02893036772,0.02581778727,1,10
catastrophic_25_conservative,signed_net_depth_flow_l1_250ms,-0.01810993177,-0.01667162683,0.1,10
catastrophic_25_conservative,signed_net_depth_flow_l1_5000ms,0.001972471271,0.003147625015,0.6,10
catastrophic_25_conservative,signed_net_depth_flow_l1_500ms,0.01305951662,0.01230465295,0.8,10
catastrophic_25_conservative,signed_net_depth_flow_l5_1000ms,-0.02116476507,-0.02059253491,0,10
catastrophic_25_conservative,signed_net_depth_flow_l5_100ms,-0.03143619038,-0.03095706459,0,10
catastrophic_25_conservative,signed_net_depth_flow_l5_250ms,0.01471331757,0.01338337548,0.9,10
catastrophic_25_conservative,signed_net_depth_flow_l5_5000ms,-0.01790891569,-0.017403787,0,10
catastrophic_25_conservative,signed_net_depth_flow_l5_500ms,-0.03137013158,-0.01901810616,0,10
catastrophic_25_conservative,signed_obi_l1,0.1031372856,0.06177654117,0.7,10
catastrophic_25_conservative,signed_obi_l10,-0.3510099381,-0.3722552806,0,10
catastrophic_25_conservative,signed_obi_l5,0.178218421,0.104404632,0.6,10
catastrophic_25_conservative,signed_trade_imbalance_1000ms,0.0650870584,0.06498204172,1,10
catastrophic_25_conservative,signed_trade_imbalance_100ms,0.009119844576,0.009019332821,0.7,10
catastrophic_25_conservative,signed_trade_imbalance_250ms,0.02509376118,0.02720303461,1,10
catastrophic_25_conservative,signed_trade_imbalance_5000ms,0.08381548263,0.06762710214,1,10
catastrophic_25_conservative,signed_trade_imbalance_500ms,0.02950476892,0.03184929211,1,10
