grouping,queue_cell,phase2_block,eligible_opportunities,filled,fill_rate,markout_100ms_observed,markout_100ms_mean,markout_100ms_median,markout_100ms_std,markout_100ms_p1,markout_100ms_p5,markout_100ms_p10,markout_100ms_p25,markout_100ms_p50,markout_100ms_p75,markout_100ms_p90,markout_100ms_p95,markout_100ms_p99,markout_100ms_frac_favourable,markout_500ms_observed,markout_500ms_mean,markout_500ms_median,markout_500ms_std,markout_500ms_p1,markout_500ms_p5,markout_500ms_p10,markout_500ms_p25,markout_500ms_p50,markout_500ms_p75,markout_500ms_p90,markout_500ms_p95,markout_500ms_p99,markout_500ms_frac_favourable,markout_1000ms_observed,markout_1000ms_mean,markout_1000ms_median,markout_1000ms_std,markout_1000ms_p1,markout_1000ms_p5,markout_1000ms_p10,markout_1000ms_p25,markout_1000ms_p50,markout_1000ms_p75,markout_1000ms_p90,markout_1000ms_p95,markout_1000ms_p99,markout_1000ms_frac_favourable,markout_5000ms_observed,markout_5000ms_mean,markout_5000ms_median,markout_5000ms_std,markout_5000ms_p1,markout_5000ms_p5,markout_5000ms_p10,markout_5000ms_p25,markout_5000ms_p50,markout_5000ms_p75,markout_5000ms_p90,markout_5000ms_p95,markout_5000ms_p99,markout_5000ms_frac_favourable,catastrophic_10_rate,catastrophic_25_rate,catastrophic_50_rate,catastrophic_100_rate,utc_day,file_index,segment_id,side
phase2_validation_block,conservative,9,42854,35408,0.8262472581,35408,-41.15167476,-33.5,42.7664781,-183.965,-113.5,-89.5,-59.5,-33.5,-12.5,-0.5,0.5,25.465,0.09701197469,35408,-61.8222718,-51.5,70.70750709,-285.5,-185.5,-145.5,-94.5,-51.5,-18.5,0.5,14.5,104.5,0.1220628107,35406,-66.83951873,-56.5,88.60120881,-332.5,-218.25,-171.5,-107.5,-56.5,-16.5,0.5,55.5,157.5,0.152036378,35402,-71.27415118,-66.5,173.7189793,-535.49,-346.5,-269.5,-162.5,-66.5,6.5,121.5,201.5,397.5,0.2889102311,0.7814777156,0.7015195165,0.5370558662,0.2785403604,,,,
phase2_validation_block,midpoint,-1,85544,50021,0.5847400168,50021,-16.95894724,-6.5,25.47493572,-105.5,-62.5,-44.5,-28.5,-6.5,0.5,0.5,0.5,0.5,0.4211831031,50021,-25.30789069,-12.5,37.55115481,-158.5,-96.5,-70.5,-38.5,-12.5,0.5,0.5,0.5,0.5,0.3936746566,50011,-27.86562956,-14.5,41.69475327,-183.5,-105.5,-78.5,-40.5,-14.5,0.5,0.5,0.5,18.5,0.3792965548,50011,-36.66973266,-24.5,56.59901819,-229.5,-144.5,-106.5,-58.5,-24.5,0.5,0.5,1.5,86.5,0.3221891184,0.5354222071,0.4147487553,0.2037351783,0.05636759913,,,,
phase2_validation_block,midpoint,0,42856,25855,0.6032994213,25855,-17.27824405,-5.5,34.98969685,-96.5,-61.5,-45.5,-28.5,-5.5,0.5,0.5,0.5,0.5,0.438445175,25855,-27.15641075,-12.5,44.56167873,-158.5,-103.5,-75.5,-41.5,-12.5,0.5,0.5,0.5,18.5,0.4049506865,25855,-30.37128215,-16.5,50.36786146,-192.5,-117.5,-86.5,-47.5,-16.5,0.5,0.5,0.5,53.5,0.3912976213,25855,-39.5344034,-24.5,84.53133636,-324.5,-175.5,-125.5,-67.5,-24.5,0.5,0.5,50.5,162.5,0.3545155676,0.5355250435,0.4274221621,0.2344227422,0.07476310191,,,,
phase2_validation_block,midpoint,1,42856,25621,0.5978392757,25621,-18.1227899,-9.5,33.36226723,-105.5,-60.5,-45.5,-29.5,-9.5,0.5,0.5,0.5,0.5,0.3960813395,25621,-28.4822021,-17.5,39.46261281,-159.5,-98.5,-77.5,-42.5,-17.5,0.5,0.5,0.5,0.5,0.3705944343,25621,-31.08713555,-19.5,42.18799429,-179.5,-109.5,-87.5,-47.5,-19.5,0.5,0.5,0.5,6.5,0.3579485578,25621,-41.34610281,-29.5,62.04572352,-250.3,-152.5,-115.5,-68.5,-29.5,0.5,0.5,21.5,98.5,0.3071308692,0.5668787323,0.4490457047,0.2331681043,0.06463447953,,,,
phase2_validation_block,midpoint,2,42856,23106,0.5391543775,23106,-19.17495456,-9.5,27.2589409,-112.5,-64.5,-49.5,-32.5,-9.5,0.5,0.5,0.5,0.5,0.4096338613,23106,-29.97297239,-17.5,41.68411775,-172.5,-109.5,-82.5,-44.5,-17.5,0.5,0.5,0.5,0.5,0.3842292045,23106,-32.34661993,-19.5,44.32382775,-184.5,-120.5,-86.5,-49.5,-19.5,0.5,0.5,0.5,0.5,0.3635419372,23106,-39.73054618,-28.5,58.03705988,-232.5,-144.5,-112.5,-67.5,-28.5,0.5,0.5,0.5,93.5,0.3139011512,0.5606336017,0.4562884099,0.2457803168,0.0825759543,,,,
phase2_validation_block,midpoint,3,42850,23123,0.5396266044,23123,-13.7842408,-4.5,20.64873552,-80.5,-49.5,-38.5,-25.5,-4.5,0.5,0.5,0.5,0.5,0.4449249665,23123,-23.83170436,-10.5,34.18603343,-145.5,-90.5,-67.5,-36.5,-10.5,0.5,0.5,0.5,0.5,0.3999481036,23123,-25.52106128,-13.5,36.73588617,-159.5,-99.5,-75.5,-38.5,-13.5,0.5,0.5,0.5,1.5,0.3842926956,23123,-35.3541928,-22.5,49.41370783,-204.5,-131.5,-98.5,-56.5,-22.5,0.5,0.5,0.5,65.5,0.3205898889,0.5252778619,0.3810059248,0.1779180902,0.04778791679,,,,
phase2_validation_block,midpoint,4,42856,26008,0.6068695165,26008,-15.22998693,-5.5,26.16062472,-92.5,-61.5,-46.5,-28.5,-5.5,0.5,0.5,0.5,30.5,0.4350968933,26008,-31.37165488,-18.5,50.72777211,-195.5,-117.5,-88.5,-50.5,-18.5,0.5,0.5,0.5,47.5,0.3659643187,26008,-35.18280914,-20.5,59.12294814,-242.36,-142.5,-100.5,-56.5,-20.5,0.5,0.5,0.5,77.5,0.3570824362,26008,-44.34102968,-26.5,100.8733017,-368.5,-215.5,-158.5,-81.5,-26.5,0.5,27.5,92.5,237.5,0.3404337127,0.560788988,0.4621270378,0.2846431867,0.1003152876,,,,
phase2_validation_block,midpoint,5,42856,36357,0.8483526227,36357,-25.98087026,-16.5,105.8378936,-156.5,-96.5,-74.5,-45.5,-16.5,0.5,0.5,0.5,71.5,0.3493137498,36357,-45.33872432,-31.5,137.0068302,-316.94,-177.5,-132.5,-78.5,-31.5,0.5,0.5,27.5,161.5,0.3073135847,36357,-49.79892455,-36.5,161.2608443,-386.5,-213.5,-157.5,-90.5,-36.5,0.5,11.5,70.5,242.5,0.3024451962,36357,-59.83234315,-48.5,301.9291578,-760.5,-372.5,-264.5,-142.5,-48.5,10.5,132.5,239.5,599.5,0.3351211596,0.6409494733,0.5663283549,0.4164535028,0.2141815881,,,,
phase2_validation_block,midpoint,6,42846,36199,0.8448629977,36199,-30.65964529,-21.5,59.87428457,-167.5,-102.5,-79.5,-49.5,-21.5,0.5,0.5,0.5,42.52,0.2904223874,36192,-47.77597259,-34.5,85.03972567,-290.5,-176.5,-130.5,-77.5,-34.5,0.5,0.5,11.5,124.5,0.2646717507,36179,-53.40613339,-39.5,103.9810053,-369.5,-208.5,-154.5,-89.5,-39.5,0.5,0.5,53.5,191.5,0.2632466348,36163,-62.96067804,-52.5,205.8321644,-652.26,-352.5,-261.5,-144.5,-52.5,8.5,123.5,215.5,491.5,0.324890081,0.6750048371,0.5905635866,0.428618812,0.2163409713,,,,
phase2_validation_block,midpoint,7,42852,34177,0.7975590404,34177,-22.81625069,-11.5,37.10260589,-134.5,-83.5,-64.5,-39.5,-11.5,0.5,0.5,0.5,40.5,0.3951195248,34177,-37.10640197,-22.5,67.18996867,-236.5,-143.5,-105.5,-61.5,-22.5,0.5,0.5,0.5,101.5,0.3580478099,34177,-41.53881265,-27.5,82.41445897,-278.5,-167.5,-123.5,-69.5,-27.5,0.5,0.5,21.5,159.5,0.340433625,34164,-53.45325489,-40.5,159.2996942,-523.5,-263.5,-195.5,-106.5,-40.5,0.5,66.5,140.5,366.5,0.3218007259,0.5950200427,0.513825087,0.3410188138,0.1443953536,,,,
